character1,character2
Sir Gaurav,Sir Gaurav Vinay
Sir Gaurav,Miss Saif Vinay
Miss Saif Vinay,Sir Gaurav Vinay
Teddy Ranbir,Miss Saif Vinay
Teddy Ranbir,Sir Gaurav Vinay
Captain Ronak,Miss Saif Vinay
Captain Ronak,Sir Gaurav Vinay
Sir Gaurav,Master Krish
Master Krish,Sir Gaurav Vinay
Chitrangada Siddharth,Miss Saif Vinay
Chitrangada Siddharth,Sir Gaurav Vinay
Master Krish,Miss Saif Vinay
Mr. Monali,Miss Saif Vinay
Mr. Monali,Sir Gaurav Vinay
Sir Gaurav,Naman Sagar
Miss Saif Vinay,Naman Sagar
Sir Gaurav Vinay,Naman Sagar
Mr. Monali,Naman Sagar
Master Krish,Naman Sagar
Sergeant Om,Dr. Vikrant
Sergeant Om,Mr. Monali
Sergeant Om,Naman Sagar
Young Mahesh Neha,Sir Gaurav
Young Mahesh Neha,Sir Gaurav Vinay
Sergeant Om,Young Mahesh Neha
Sergeant Om,Sir Gaurav Vinay
Young Mahesh Neha,Mr. Monali
Sir Gaurav,Mr. Monali
Young Mahesh Neha,Naman Sagar
Young Mahesh Neha,Sergeant Om
Young Mahesh Neha,Miss Saif Vinay
Sergeant Om,Miss Saif Vinay
Sir Gaurav Vinay,Miss Saif Vinay
Naman Sagar,Miss Saif Vinay
Young Mahesh Neha,Superintendent Sanjay
Sergeant Om,Inspector Fawad
Captain Rajkummar,Sir Gaurav
Captain Rajkummar,Superintendent Sanjay
Young Mahesh Neha,Inspector Fawad
Sir Gaurav,Captain Rajkummar
Sir Gaurav,Superintendent Sanjay
Sir Gaurav Vinay,Captain Rajkummar
Sir Gaurav Vinay,Superintendent Sanjay
Captain Rajkummar,Miss Saif Vinay
Superintendent Sanjay,Miss Saif Vinay
Superintendent Sanjay,Sir Gaurav Vinay
Captain Rajkummar,Sir Gaurav Vinay
Superintendent Sanjay,Mr. Monali
Captain Rajkummar,Young Mahesh Neha
Dr. Vikrant,Superintendent Sanjay
Inspector Fawad,Superintendent Sanjay
Urmila Arjun,Miss Saif Vinay
Urmila Arjun,Sir Gaurav Vinay
Young Mahesh Neha,Chitrangada Siddharth
Chitrangada Siddharth,Sir Gaurav
Captain Rajkummar,Inspector Fawad
Captain Rajkummar,Sergeant Om
Inspector Fawad,Sergeant Om
Superintendent Sanjay,Sergeant Om
Superintendent Sanjay,Urmila Arjun
Superintendent Sanjay,Young Mahesh Neha
Captain Rajkummar,Chitrangada Siddharth
Chitrangada Siddharth,Urmila Arjun
Chitrangada Siddharth,Superintendent Sanjay
Superintendent Sanjay,Sir Gaurav
Chitrangada Siddharth,Master Krish
Sir Gaurav Vinay,Master Krish
Master Krish,Superintendent Sanjay
Superintendent Sanjay,Master Krish
Miss Saif Vinay,Master Krish
Young Mahesh Neha,Master Krish
Chitrangada Siddharth,Naman Sagar
Chitrangada Siddharth,Captain Ronak
Mr. Sanjeev,Naman Sagar
Sir Gaurav,Mr. Sanjeev
Mr. Sanjeev,Sir Gaurav Vinay
Master Krish,Mr. Sanjeev
Chitrangada Siddharth,Mr. Sanjeev
Young Mahesh Neha,Captain Ronak
Sir Gaurav Vinay,Mr. Sanjeev
Miss Saif Vinay,Mr. Sanjeev
Mr. Monali,Master Krish
Mr. Sanjeev,Master Krish
Superintendent Sanjay,Naman Sagar
Mr. Monali,Mr. Sanjeev
Mr. Sanjeev,Sir Gaurav
Mr. Sanjeev,Miss Saif Vinay
Superintendent Sanjay,Mr. Sanjeev
Captain Ronak,Superintendent Sanjay
Superintendent Sanjay,Captain Ronak
Captain Ronak,Mr. Sanjeev
Sir Gaurav,Captain Ronak
Young Mahesh Neha,Mr. Sanjeev
Mr. Gauri Reema,Superintendent Sanjay
Mr. Gauri Reema,Captain Ronak
Young Mahesh Neha,Mr. Gauri Reema
Captain Ronak,Chitrangada Siddharth
Superintendent Sanjay,Henry Kareena
Captain Ronak,Henry Kareena
Sir Gaurav Vinay,Chitrangada Siddharth
Urmila Arjun,Mr. Sanjeev
Captain Ronak,Mr. Monali
Mr. Monali,Sergeant Om
