canonical_name,alias_name
Mlle. Carére,Mlle Carére
Dr. Jason Mcgregor,Mcgregor
Dr. Jason Mcgregor,Dr Mcgregor
Dr. Jason Mcgregor,Dr. Mcgregor
Dr. Jason Mcgregor,Jason Mcgregor
Mrs. Astin Baldwin,Mrs. Baldwin
Mrs. Astin Baldwin,Astin Baldwin
Mrs. Astin Baldwin,Mrs Astin Baldwin
Sir Koshy Burnett,Burnett
Mr. Bateman Gere,Gere
Mr. Bateman Gere,Mr. Gere
Mr. Bateman Gere,Bateman Gere
Mr. Bateman Gere,Mr Bateman Gere
Sir Foster Cruz,Cruz
Sir Foster Cruz,Foster Cruz
Sir Foster Cruz,SIR FOSTER CRUZ
Koshy Eastwood,Eastwood
Sir Zeta. Cruz,Sir Zeta Cruz
Mr. Hathaway,Hathaway
Mrs. Mendes,Mendes
Dr. Franco,Franco
Sir Foster,Foster
Sir Foster,SIR FOSTER
Sir Foster,SIR Foster
Mrs. Paley,PALEY
Mrs. Paley,Paley
Sir Zeta.,Zeta
Sir Zeta.,SIR ZETA
Sir Zeta.,Sir Zeta
Tyson,TYSON
