character1,character2
Sir Foster Cruz,Mr. Bateman Gere
Sir Foster Cruz,Sir Foster
Mr. Bateman Gere,Sir Foster
Mr. Bateman Gere,Dr. Franco
Mr. Bateman Gere,Dr. Jason Mcgregor
Sir Foster Cruz,Dr. Jason Mcgregor
Mrs. Paley,Sir Foster Cruz
Sir Zeta.,Sir Foster Cruz
Sir Zeta.,Sir Foster
Sir Zeta.,Mr. Bateman Gere
Sir Foster,Dr. Jason Mcgregor
Mr. Bateman Gere,Sir Foster Cruz
Mrs. Paley,Sir Zeta.
Mrs. Paley,Dr. Jason Mcgregor
Sir Zeta.,Dr. Jason Mcgregor
Koshy Eastwood,Mr. Bateman Gere
Mrs. Paley,Mr. Bateman Gere
Sir Foster,Mrs. Mendes
Mr. Hathaway,Dr. Jason Mcgregor
Mrs. Paley,Sir Foster
Sir Foster Cruz,Dr. Franco
Mrs. Mendes,Dr. Jason Mcgregor
Mr. Hathaway,Mrs. Mendes
Sir Zeta.,Mrs. Mendes
Mrs. Astin Baldwin,Sir Zeta.
Sir Foster Cruz,Mrs. Mendes
Mrs. Paley,Tyson
Mr. Bateman Gere,Mrs. Mendes
Tyson,Mrs. Mendes
Mrs. Mendes,Dr. Franco
Mrs. Astin Baldwin,Mr. Bateman Gere
Mrs. Astin Baldwin,Mrs. Mendes
