node,is_victim,pagerank,victim_connection_weight,degree,strength
Anthony,0,0.007229313330900286,1,2,2.0
Barrymore,0,0.024950705500039316,0,3,4.0
Clayton,0,0.011007736623115712,1,6,6.0
Coombe,0,0.016931092887297865,2,3,5.0
Dr. Doyle,0,0.030943400847008296,3,7,14.0
Dr. Watson Cartwright,0,0.043312583068274665,7,10,29.0
Eliza,0,0.005969420689771517,1,2,2.0
Fraser,0,0.023809523809523808,0,1,1.0
Garcia,0,0.020409449576471523,0,2,3.0
George,0,0.007962002126564923,0,3,3.0
Holmes,0,0.011918738507952175,0,2,3.0
Hottentot,0,0.02885633422333721,6,6,20.0
Hottentot Haslemere,0,0.01739830974316615,4,3,12.0
Hugo,0,0.023809523809523808,0,1,1.0
Jove,0,0.006948373960883333,0,1,1.0
L Haslemere,0,0.021752832811754854,7,5,14.0
Michaelmas,0,0.01439859522746632,2,4,8.0
Miss Theophilus,0,0.0216072588892089,0,2,15.0
Mlle,0,0.023809523809523808,0,1,1.0
Morland,0,0.024470104447637028,2,7,12.0
Morland Monsieur,0,0.008302647374855116,0,2,3.0
Mortimer,0,0.006449775955975803,0,1,1.0
Mr. Stapletons,0,0.009586851149687443,0,3,4.0
Mr. Vandeleur Hindhead,0,0.05058849695431947,9,13,34.0
Mrs. Halloa,0,0.02485155654283435,4,8,17.0
Mrs. Laura Stapleton,0,0.011604803314581365,1,5,6.0
Mrs. Theophilus,0,0.06318612022331889,4,13,44.0
Rodger,0,0.013606301815708485,2,3,9.0
Selden Baskerville,0,0.013661250734021711,2,5,7.0
Sherlock,0,0.012632295525381653,0,2,3.0
Sir A?,0,0.08289127583374811,27,9,65.0
Sir Antonio,0,0.05550047850904662,23,10,43.0
Sir Antonio Haslemere,1,0.14133285573216112,0,21,106.0
Sir Morland Carere,0,0.0053046900664201636,0,1,1.0
Tracey,1,0.0193866294934524,0,5,8.0
Watson,0,0.022001419606860875,0,3,12.0
Watson Desmond,0,0.008246615809376868,0,1,3.0
William,0,0.008910441911964221,2,2,3.0
charles,0,0.014658817134916284,0,2,2.0
johnson,0,0.023809523809523808,0,1,1.0
kneller,0,0.011287603736095282,3,4,5.0
perkins,0,0.00470472487632816,1,1,1.0
