char_id,name,story_title
1,Hercule,The Hunter's Lodge Case
2,Manisha,The Hunter's Lodge Case
3,Vinay,The Hunter's Lodge Case
4,Ronit,The Hunter's Lodge Case
5,Anaya,The Hunter's Lodge Case
6,Shakuntala,The Hunter's Lodge Case
7,Miss Anaya Shakuntala,The Hunter's Lodge Case
8,Chaitanya,The Hunter's Lodge Case
9,Urmila,The Hunter's Lodge Case
10,my uncle,The Hunter's Lodge Case
11,I,The Hunter's Lodge Case
12,Mr. Shakuntala,The Hunter's Lodge Case
13,Uncle Chaitanya,The Hunter's Lodge Case
14,Hercule Manisha,The Hunter's Lodge Case
15,Neeraj,The Hunter's Lodge Case
16,Dharmendra,The Hunter's Lodge Case
17,Miss Shakuntala,The Hunter's Lodge Case
18,Madame Dharmendra,The Hunter's Lodge Case
19,Mrs. Dharmendra,The Hunter's Lodge Case
20,Aishwarya,The Hunter's Lodge Case
21,Sonakshi,The Hunter's Lodge Case
22,Rohit,The Hunter's Lodge Case
23,Chaitanya Shakuntala,The Hunter's Lodge Case
24,Anaya Shakuntala,The Hunter's Lodge Case
25,Akshara Mohit,The Hunter's Lodge Case
26,Neha Mohit,The Hunter's Lodge Case
