canonical_name,alias_name
Rev. J. D. Hunchback,Hunchback
M. Jules Furneaux,Miss Furneaux
"Jenner, the Honan",Honan
"Jenner, the Honan",The Honan
Detective-Inspector Weymouth,Weymouth
Major-General Platt-Houston,Platt-Houston
Professor Doctor Mason,Mason
Mr. Singapore Charlie,Charlie
Mr. Singapore Charlie,Singapore Charlie
Sir Caesar Stradwick,Stradwick
Mr. Southery Eltham,Eltham
Mr. Southery Eltham,Mr. Eltham
Mr. Southery Eltham,Southery Eltham
Sir Crichton Davey,Davey
Sir Crichton Davey,SIR CRICHTON DAVEY
Mr. Graham Vernon,Vernon
Mr. Graham Vernon,Mr. Vernon
Mr. Graham Vernon,Graham Vernon
Sir Amenti West,SIR Amenti West
Mr. Kwee Barber,Barber
Mr. Kwee Barber,Mr. Barber
Mr. Kwee Barber,Kwee Barber
Sir Moses Shen,Shen
Sir Moses Shen,Moses Shen
Hadrian Fear,FEAR
Hadrian Fear,Dr. Fear
Lord Andaman,Andaman
Dusk Edward,Edward
DOCTOR Inspector-Siva,INSPECTOR-SIVA
DOCTOR Inspector-Siva,Inspector-Siva
DOCTOR Inspector-Siva,DR. INSPECTOR-SIVA
DOCTOR Inspector-Siva,Dr. Inspector-Siva
Inspector Denby,Denby
Dr. Chinaman,Chinaman
Sir Moses,SIR MOSES
Mr. Li,Li
