canonical_name,alias_name
O Delaney of Cathay,
M. Page le Roi,
Grand Duke Waller,
Jason High Street,
M. Jules Furneaux,
Rev. J. D. Ashley,
Rev. J. D. Ashley,ASHLEY
Rev. J. D. Ashley,Ashley
Rev. J. D. Ashley,J. D. Ashley
Detective-Inspector Nicholson,
Detective-Inspector Nicholson,Nicholson
Inspector Nicholson,
Mrs. Nicholson,
Mr. Nicholson,
Major-General Platt-Houston,
Professor Roberts Devine,
Wright Aniston-Beales,
Wright Aniston-Beales,Aniston-Beales
Wright Aniston-Beales,Dr. Aniston-Beales
Wright Aniston-Beales,DOCTOR Aniston-Beales
Mr. Campbell Black,
Mr. Campbell Black,Black
Mr. Campbell Black,Mr. Black
Mr. Campbell Black,CAMPBELL BLACK
Mr. Campbell Black,Campbell Black
Elliott Nicholson,
Sir Penn Eastwood,
Sir Penn Eastwood,Penn Eastwood
Sir Ellis Goodman,
Sir Ellis Goodman,Ellis Goodman
Sir Crichton Davy,
Sir Downey Sheen,
Sir Downey Sheen,Sheen
Sir Downey Sheen,Downey Sheen
Mr. Graham Acker,
Mr. Graham Acker,Acker
Mr. Graham Acker,Mr. Acker
Mr. Graham Acker,Graham Acker
Ronan Gyllenhaal,
Singapore Neeson,
Singapore Neeson,Neeson
James Johansson,
James Johansson,JOHANSSON
James Johansson,Johansson
Parson Dicaprio,
Hathaway Ashley,
Miss Ashley,
Mr. Ashley,
James Nicholson,
Koshy Chastain,
Stradwick Hall,
Mr. Choi Paley,
Mr. Choi Paley,Paley
Mr. Choi Paley,Choi Paley
Lord Atkinson,
Lord Atkinson,Atkinson
NAYLAND Black,
Adler Wilkins,
Arquette Wood,
Wright Lamarr,
Wright Lamarr,Lamarr
Wright Lamarr,Dr. Lamarr
Jolie Ruffalo,
Dookie Barbra,
Dookie Barbra,Barbra
Dookie Barbra,Dr. Barbra
Bassey Berry,
Bassey Berry,BERRY
Bassey Berry,Berry
Swift Vance,
King Irwin,
Zayat Kiss,
Mr. C. S.,
Sir F. M.,
Christenson-Ferrell,
Professor Bergman,
Professor Bergman,Bergman
Inspector Sandler,
Inspector Sandler,Sandler
Dreyfuss--SECOND,
Aniston-Beale,
Wright--Criss,
Miss Kendrick,
Miss Kendrick,Kendrick
Mr. Harrelson,
Mrs. Watanabe,
Yen-Sun-Yat,
Mcconaughey,
Mr. Corbin,
Mr. Corbin,Corbin
Sir Downey,
Sir Downey,Downey
Washington,
Mr. Cooper,
Mr. Cooper,Cooper
Sutherland,
Shyamalan,
Deschanel,
Barrymore,
Dinklage,
Shadwell,
Sir Penn,
Sir Penn,Penn
Sir Penn,SIR PENN
Mcgregor,
Hathaway,
Dreyfuss,
Campbell,
Tragedy,
Ferrell,
Zendaya,
Delaney,
Delaney,DELANEY
Elliott,
SPECTOR,
Jackman,
Akerman,
Lautner,
Wright,
O'neal,
Franco,
Elgort,
Wayans,
Barlow,
Barlow,BARLOW
O'hara,
Palmer,
Bassey,
Brolin,
Foster,
Glover,
Dehaan,
Jason,
Diana,
Criss,
Malay,
Dunst,
Smith,
S-SH,
Fate,
Leto,
Choi,
Rock,
Elba,
Cruz,
Dela,
Arab,
Hal,
Day,
Gad,
rohmer,
petrie,
davey,
fear,
chalmers,
cleeve,
burboyne,
weymouth,
daveys,
wills,
tongking,
stanislaus,
satan,
fumanchu,
mason,
cadby,
ryman,
wapping,
dolan,
doctor,
god,
hunchback,
shen,
yan,
guthrie,
lisle,
manchu,
shenyan,
barber,
charlie,
fu,
eltham,
greba,
dan,
vernon,
denby,
edwards,
rex,
nanyang,
caesar,
hadrian,
li,
hung,
said,
effendi,
honan,
lionel,
barton,
lhassa,
kwee,
strozza,
edmonds,
croxted,
chinaman,
rembold,
mekara,
amen,
moses,
amenti,
fellah,
mohammed,
shakespeare,
lafitte,
edward,
martin,
siva,
big,
ben,
kali,
karamaneh,
andaman,
frank,
west,
norris,
bayard,
taylor,
moreau,
lewin,
southery,
narcombe,
henry,
aziz,
von,
homber,
henderson,
stradwicks,
inspector,
logan,
astern,
john,
thames,
jenner,
monde,
jack,
mary,
dusk,
kent,
