node,is_victim,pagerank,victim_connection_weight,degree,strength
Brown,0,0.005059756889824153,0,1,1.0
Clara,0,0.0033716714372261153,0,1,1.0
Ebenezer Gryce,0,0.0123826695549406,0,9,20.0
Elner,0,0.003219795770850048,0,1,1.0
Everett,0,0.004158974400356931,0,1,2.0
Everett Raymond,0,0.012506732375141674,0,7,16.0
Fred,0,0.004539192702374925,0,1,1.0
Hannah,0,0.030056382178517117,0,14,63.0
Hannah Chester,0,0.009603786215478943,0,6,18.0
Henry IV,0,0.019706093155280838,0,5,43.0
Henry Ritchie Clavering,0,0.039877654859214046,0,14,87.0
Horatio,0,0.009115155696311716,7,2,15.0
Horatio Leavenworth,1,0.008707199435176751,0,2,14.0
James Trueman Harwell,0,0.019717909994239828,0,10,27.0
Juliet,0,0.018867924528301886,0,1,5.0
Kate,0,0.00817020488721553,0,4,7.0
Miss Eleanore,0,0.08133948478361253,0,21,200.0
Miss Eleanore Leavenworth,0,0.060873432176906696,0,13,164.0
Miss Elenor,0,0.004560436074452736,0,2,2.0
Miss Mary,0,0.0942673815759513,0,20,243.0
Miss Mary Leavenworth,0,0.05488332164076557,0,12,152.0
Molly,0,0.014875111744614256,0,9,16.0
Mr. Fobbs,0,0.003468755283583781,0,2,2.0
Mr. Robbins,0,0.009932895472338981,0,6,9.0
Mrs. Amy Belden,0,0.012740902344500753,0,8,20.0
Mrs. Veeley,0,0.008042330110493105,0,4,4.0
Reverend Eleanore Leavenworth,0,0.174085044171145,7,25,458.0
Romeo,0,0.018867924528301886,0,1,5.0
Smith,0,0.0034989512746693625,0,2,2.0
Thomas,0,0.013469497938443802,0,5,6.0
Thomas Dougherty,0,0.004739133350419562,0,1,1.0
Timothy Cook,0,0.01101442000547248,0,6,10.0
Trueman,0,0.011366792229183888,0,3,16.0
Uncle,0,0.03512734730635736,0,14,83.0
anna,0,0.006560335633479965,0,3,3.0
black,0,0.019393123306529054,0,12,14.0
cressida,0,0.018867924528301886,0,1,1.0
eleanor,0,0.0034896554580885813,0,1,2.0
faerie,0,0.018867924528301886,0,1,1.0
faith,0,0.0060549670072921336,0,6,9.0
green,0,0.010490701336263439,0,4,4.0
herod,0,0.0033564419867680166,0,1,1.0
hope,0,0.01690750025854166,0,13,26.0
humph,0,0.0034829972889449494,0,2,2.0
indade,0,0.0031758760543913454,0,1,1.0
le,0,0.0056444486832586994,0,1,3.0
levenworth,0,0.004007692202623077,0,1,1.0
loworthy,0,0.004739133350419562,0,1,1.0
mustache,0,0.004007692202623077,0,1,1.0
queene,0,0.018867924528301886,0,1,1.0
smoke,0,0.0033829325510749413,0,1,1.0
troilus,0,0.018867924528301886,0,1,1.0
troth,0,0.003620538474829732,0,1,1.0
