character1,character2,count
Miss Arvind,Miss Niharika Rohit,98
Miss Arvind,Miss Arvind Rohit,86
Miss Arvind Rohit,Miss Niharika Rohit,86
Miss Niharika,Miss Niharika Rohit,81
Kalyani IV,Mrs. Kalyani Chaitanya,37
Miss Arvind,Miss Niharika,34
Miss Niharika Rohit,Tanvi,14
Miss Niharika Rohit,Mrs. Kalyani Chaitanya,11
Kavita,Mrs. Kavita Rahul,10
Kritika,Kritika Sonakshi,10
Miss Arvind,Mrs. Kalyani Chaitanya,9
Miss Arvind,Tanvi,8
Miss Niharika,Mrs. Kalyani Chaitanya,8
Miss Arvind,Mr. Leena,7
Miss Niharika,Mrs. Kavita Rahul,6
Miss Niharika,Tanvi,6
Miss Niharika Rohit,Mr. Leena,6
Miss Niharika Rohit,Mrs. Kavita Rahul,6
Manas,Manas Kirti,5
Miss Arvind Rohit,Mr. Leena,5
Miss Arvind Rohit,Miss Niharika,4
Miss Niharika,Payal Varun,4
Miss Niharika Rohit,Payal Varun,4
Mrs. Kavita Rahul,Tanvi,4
Kritika Sonakshi,Miss Niharika,3
Kritika Sonakshi,Miss Niharika Rohit,3
Miss Arvind,Roshan,3
Miss Arvind Rohit,Mrs. Kalyani Chaitanya,3
Miss Niharika,Sushmita,3
Pritam,Reema,3
Roshan,Tanvi,3
Aditya,Kritika Sonakshi,2
Gully,Mrs. Kavita Rahul,2
Kalyani IV,Miss Niharika Rohit,2
Kritika,Miss Niharika,2
Kritika Sonakshi,Miss Arvind,2
Kritika Sonakshi,Miss Arvind Rohit,2
Mansi,Roshan,2
Miss Arvind,Payal Varun,2
Miss Arvind,Ronit,2
Miss Arvind Rohit,Tanvi,2
Miss Niharika,Mr. Leena,2
Miss Niharika Rohit,Mr. Tarun,2
Mr. Leena,Tanvi,2
Mr. Pankaj Mukesh,Mrs. Kalyani Chaitanya,2
Mr. Tarun,Mrs. Kavita Rahul,2
Mrs. Kalyani Chaitanya,Payal Varun,2
Payal,Payal Varun,2
Abir,Sneha,1
Aditya,Tanvi,1
Amol,Miss Niharika,1
Aparna,Miss Niharika,1
Aparna,Miss Niharika Rohit,1
Esha Pranav,Miss Niharika Rohit,1
Esha Pranav,Mr. Tarun,1
Ishaan,Miss Arvind,1
Ishaan,Miss Arvind Rohit,1
Ishaan,Miss Niharika Rohit,1
Kalyani IV,Miss Arvind,1
Kalyani IV,Miss Arvind Rohit,1
Kalyani IV,Mr. Leena,1
Kavita,Mr. Pankaj Mukesh,1
Kritika Sonakshi,Mansi,1
Kritika Sonakshi,Roshan,1
Manas Kirti,Miss Arvind,1
Mansi,Miss Niharika,1
Mayank,Mr. Leena,1
Miss Arvind,Mr. Pankaj Mukesh,1
Miss Arvind,Mr. Tarun,1
Miss Arvind,Mrs. Kavita Rahul,1
Miss Arvind Rohit,Mr. Tarun,1
Miss Arvind Rohit,Mrs. Kavita Rahul,1
Miss Arvind Rohit,Payal Varun,1
Miss Niharika,Mrs. Tanushree,1
Miss Niharika,Niharika Chaitanya,1
Miss Niharika,Roshan,1
Miss Niharika Rohit,Mr. Juhi,1
Miss Niharika Rohit,Mr. Pankaj Mukesh,1
Miss Niharika Rohit,Roshan,1
Mitali,Monali,1
Mr. Akshaye,Mrs. Tanushree,1
Mr. Akshaye,Payal Varun,1
Mr. Leena,Mrs. Kalyani Chaitanya,1
Mr. Pankaj Mukesh,Mrs. Kavita Rahul,1
Mrs. Kalyani Chaitanya,Niharika Chaitanya,1
Mrs. Kalyani Chaitanya,Sushmita,1
Mrs. Kalyani Chaitanya,Tanvi,1
Mrs. Kalyani Chaitanya,Vipin,1
Mrs. Tanushree,Payal Varun,1
Mrs. Tanushree,Ravi,1
Parth,Roshan,1
Shreya,Zoya,1
