char_id,name,story_title
1,Denis Gervais,The Lerouge Case
2,Clergot Paul,The Lerouge Case
3,corporal,The Lerouge Case
4,gendarmes,The Lerouge Case
5,commissary,The Lerouge Case
6,Paul,The Lerouge Case
7,Herve Malmaison,The Lerouge Case
8,Brosette,The Lerouge Case
9,Joseph,The Lerouge Case
10,Crime,The Lerouge Case
11,Marly,The Lerouge Case
12,the corporal,The Lerouge Case
13,the commissary,The Lerouge Case
14,the magistrate,The Lerouge Case
15,Commissary,The Lerouge Case
16,Albert,The Lerouge Case
17,Lubin,The Lerouge Case
18,Dereme,The Lerouge Case
19,Herve Rheteau,The Lerouge Case
20,Husson,The Lerouge Case
21,Brosette Joseph,The Lerouge Case
22,Widow,The Lerouge Case
23,Geovrol,The Lerouge Case
24,Martin,The Lerouge Case
25,Old Lubin,The Lerouge Case
26,Dred Francs,The Lerouge Case
27,Kienloung,The Lerouge Case
28,Beaugrau,The Lerouge Case
29,Brosette Lubin,The Lerouge Case
30,Tabaret,The Lerouge Case
31,Madame Taburon,The Lerouge Case
32,Germain Taburon,The Lerouge Case
33,Buron,The Lerouge Case
34,Jacques,The Lerouge Case
35,Prudhomme,The Lerouge Case
36,Germain,The Lerouge Case
37,Clergot Paul Rheteau,The Lerouge Case
38,Taburon,The Lerouge Case
39,Tellier Damocles,The Lerouge Case
40,Durand,The Lerouge Case
41,Jonchere Mannette,The Lerouge Case
42,Contois de Lesurques,The Lerouge Case
43,La,The Lerouge Case
44,Chaffour,The Lerouge Case
45,Count,The Lerouge Case
46,Schmidt Paul,The Lerouge Case
47,de Lesurques,The Lerouge Case
48,Schmidt,The Lerouge Case
49,ame Taburon,The Lerouge Case
50,old Lubin,The Lerouge Case
51,Count de Lesurques,The Lerouge Case
52,viscount,The Lerouge Case
53,Lambreth,The Lerouge Case
54,Tellier d'Arlange,The Lerouge Case
55,The Count,The Lerouge Case
56,Madame d'Arlange,The Lerouge Case
57,Brosette de Lesurques,The Lerouge Case
58,the count,The Lerouge Case
59,Clergeot,The Lerouge Case
60,Chance,The Lerouge Case
61,Sairmeuse,The Lerouge Case
62,Madame Sairmeuse,The Lerouge Case
63,Madame Sairmeuse Hortense,The Lerouge Case
64,Monsieur,The Lerouge Case
65,Maliron,The Lerouge Case
66,Guy,The Lerouge Case
67,Madame Hortense,The Lerouge Case
68,lain Germain Taburon,The Lerouge Case
69,Gaboriau,The Lerouge Case
70,ph,The Lerouge Case
71,Prosny,The Lerouge Case
72,Cooper,The Lerouge Case
73,Count Contois de Lesurques,The Lerouge Case
74,Viscount Lambreth de Lesurques,The Lerouge Case
75,Lambreth de Lesurques,The Lerouge Case
76,arie Joseph,The Lerouge Case
77,Balan XIV,The Lerouge Case
78,Marchioness d'Arlange,The Lerouge Case
79,her,The Lerouge Case
80,de Voltaire,The Lerouge Case
81,curate,The Lerouge Case
82,granddaughter,The Lerouge Case
83,father,The Lerouge Case
84,M d'Arlange,The Lerouge Case
85,Baron,The Lerouge Case
86,M,The Lerouge Case
87,M Madame d'Arlange's,The Lerouge Case
88,Tellier Judas,The Lerouge Case
89,Marat,The Lerouge Case
90,Tellier M,The Lerouge Case
91,madame d'ar Lange,The Lerouge Case
92,the marchioness,The Lerouge Case
93,M's father,The Lerouge Case
94,Cottevise,The Lerouge Case
95,d'Arlange,The Lerouge Case
96,Daburons,The Lerouge Case
97,marquis,The Lerouge Case
98,Auvergne,The Lerouge Case
99,Auvergne mule,The Lerouge Case
100,She,The Lerouge Case
101,Tellier,The Lerouge Case
102,Tellier Goello,The Lerouge Case
103,Lesurques,The Lerouge Case
104,Parricide,The Lerouge Case
105,Benjamin,The Lerouge Case
106,the Count,The Lerouge Case
107,the Viscount,The Lerouge Case
108,the Minister of July,The Lerouge Case
109,Blauville,The Lerouge Case
110,Jonchere Chatou,The Lerouge Case
111,XIV,The Lerouge Case
112,Bougival,The Lerouge Case
113,Viscount,The Lerouge Case
114,Viscount de Lesurques,The Lerouge Case
115,Louis,The Lerouge Case
116,Claire,The Lerouge Case
117,V Beaugrau Rousseau,The Lerouge Case
118,Denis,The Lerouge Case
119,Tellier M d'Arlange,The Lerouge Case
120,his son,The Lerouge Case
121,Pierremarie,The Lerouge Case
122,Jesus,The Lerouge Case
123,the viscount,The Lerouge Case
124,the Marquis de Courtivois,The Lerouge Case
125,Marquis de Courtivois,The Lerouge Case
126,Madame Dabiron,The Lerouge Case
127,M. de Lesurques,The Lerouge Case
128,Virginia Balan Marie Lambreth de Contois de Lesurques,The Lerouge Case
129,Brosette. de Lesurques,The Lerouge Case
130,Justice,The Lerouge Case
131,Prudhomme Joseph,The Lerouge Case
132,Providence,The Lerouge Case
133,Dr. Gaboriau,The Lerouge Case
134,emorse,The Lerouge Case
135,Viscount Lambreth,The Lerouge Case
136,rques,The Lerouge Case
137,Brosette. Joseph,The Lerouge Case
138,Contois,The Lerouge Case
139,tler,The Lerouge Case
140,de Courtivois,The Lerouge Case
141,Marquis de Chouze,The Lerouge Case
142,M.,The Lerouge Case
143,Emile,The Lerouge Case
144,mbreth,The Lerouge Case
145,schmidt,The Lerouge Case
146,clergot paul,The Lerouge Case
147,benjamin,The Lerouge Case
148,M. Her,The Lerouge Case
149,Cinderella,The Lerouge Case
150,V,The Lerouge Case
151,the advocate,The Lerouge Case
152,the doctor,The Lerouge Case
153,Goello Guide,The Lerouge Case
154,Lecoq,The Lerouge Case
155,the usurer,The Lerouge Case
156,the de Lesurques,The Lerouge Case
