character1,character2,count
Jett,Jett Knopfler,30
Campbell McKnight,Wilson Budd Corbin,16
Gadot Pinckney Acker,Wilson Budd Corbin,8
Washington,flier,7
Campbell,Jett,5
Gadot Pinckney Acker,Jett,5
Blythe,Blythe Brolin,4
Campbell McKnight,Gadot Pinckney Acker,4
Campbell McKnight,Mr. Francis Hart,4
Campbell McKnight,Mrs. Young,4
Cresson,Wilson Budd Corbin,4
Mr. Francis Hart,Washington,4
Ontario,Pittsburg,4
Bening Tatum,Campbell McKnight,3
Bening Tatum,Mr. Bening,3
Bening Tatum,Say,3
Bening Tatum,Washington,3
Campbell,Jett Knopfler,3
Campbell,Wilson Budd Corbin,3
Campbell McKnight,Jett,3
Campbell McKnight,Mr. D'arcy Elba,3
Gadot Pinckney Acker,Jordan,3
Gadot Pinckney Acker,Mr. Nicholson Goodman,3
Giamatti,Pittsburg,3
Jett,Mrs. Young,3
Jett,Say,3
Jett Knopfler,Mrs. Young,3
Jett Knopfler,Say,3
Mr. Bening,Washington,3
Mrs. Young,Pittsburg,3
Pittsburg,Washington,3
Andrew Brolin,Blythe Brolin,2
Banks,Blythe Brolin,2
Benning,Doctor Adele Sandler,2
Blanche Kauffman,Campbell McKnight,2
Blythe Brolin,Gadot Pinckney Acker,2
Blythe Brolin,Mr. D'arcy Elba,2
Blythe Brolin,Pittsburg,2
Blythe Brolin,Washington,2
Bohemian,Cresson,2
Bruce Acker,Gadot Pinckney Acker,2
Campbell,Campbell McKnight,2
Campbell McKnight,Pittsburg,2
Campbell McKnight,Washington,2
Cher,Shyamalan,2
Cresson,Jett Knopfler,2
Gadot,Gadot Pinckney Acker,2
Gadot Pinckney Acker,O'neal Iger,2
Giamatti,Ontario,2
Heaven,Mrs. Dreyfuss,2
Jett,Oldman,2
Jett,Wilson Budd Corbin,2
Jett Knopfler,O'neal Iger,2
Jordan,O'neal Iger,2
Jordan,Say,2
Jordan,Wilson Budd Corbin,2
Mr. D'arcy Elba,Washington,2
Mr. Nicholson Goodman,Ontario,2
Mr. Nicholson Goodman,Pittsburg,2
Mr. Nicholson Goodman,Say,2
Mrs. Young,Say,2
O'neal Iger,Say,2
Roberts,Watanabe,2
Say,Wilson Budd Corbin,2
Washington,Wilson Budd Corbin,2
Arquette,Wilson Budd Corbin,1
Banks,Mr. Francis Hart,1
Bell,Campbell McKnight,1
Bell,Gadot Pinckney Acker,1
Bell,Mckellen Ferrell,1
Bell,Mrs. Young,1
Bell,Porter,1
Bell,Swift,1
Bell,Wilson Budd Corbin,1
Bening Tatum,Blythe Brolin,1
Bening Tatum,Mr. D'arcy Elba,1
Bening Tatum,Pittsburg,1
Bening Tatum,Ruffalo,1
Benning,Gadot Pinckney Acker,1
Benning,Jett,1
Benning,Jett Knopfler,1
Benning,Mrs. Young,1
Blanche Kauffman,Blythe Brolin,1
Blanche Kauffman,Pittsburg,1
Blunt,Mr. Francis Hart,1
Blythe Brolin,Campbell McKnight,1
Blythe Brolin,Jett Knopfler,1
Blythe Brolin,Mr. Bening,1
Blythe Brolin,Wilson Budd Corbin,1
Blythe Brolin,flier,1
Boomer,Campbell McKnight,1
Bruce Acker,Edgar Allan Bean,1
Campbell,Mr. Francis Hart,1
Campbell,Say,1
Campbell,Swift,1
Campbell McKnight,Elba nurse,1
Campbell McKnight,Ellis,1
Campbell McKnight,Ice,1
Campbell McKnight,Jett Knopfler,1
Campbell McKnight,Mr. Bening,1
Campbell McKnight,Mrs. Dreyfuss,1
Campbell McKnight,Mrs. Sutherland,1
Campbell McKnight,Ontario,1
Campbell McKnight,Parsons,1
Campbell McKnight,Patch,1
Campbell McKnight,Roberts,1
Campbell McKnight,Watanabe,1
Campbell McKnight,flier,1
Campbell McKnight,gray,1
Cher,Perry,1
Cresson,Gadot Pinckney Acker,1
Cresson,Jett,1
Doctor Adele Sandler,Gadot Pinckney Acker,1
Doctor Adele Sandler,Jett,1
Doctor Adele Sandler,Jett Knopfler,1
Doctor Lewis,Washington,1
Dunst,Irwin,1
Dunst,Mrs. Portman,1
Edgar Allan Bean,Gadot Pinckney Acker,1
Edgar Allan Bean,Jackman Criss,1
Elba nurse,Mr. D'arcy Elba,1
Gadot Pinckney Acker,Heaven,1
Gadot Pinckney Acker,Henry Acker,1
Gadot Pinckney Acker,Jett Knopfler,1
Gadot Pinckney Acker,Mr. Francis Hart,1
Gadot Pinckney Acker,Mrs. Young,1
Gadot Pinckney Acker,Roberts,1
Gadot Pinckney Acker,Say,1
Gadot Pinckney Acker,Washington,1
Giamatti,Mr. Nicholson Goodman,1
Giamatti,Porter,1
Giamatti,Say,1
Giamatti,Washington,1
Heaven,Mrs. Young,1
Heaven,Wilson Budd Corbin,1
Irwin,Oldman,1
Jett,Lee,1
Jett,Mr. Francis Hart,1
Jett,Mrs. Dreyfuss,1
Jett,Mrs. Sutherland,1
Jett,O'neal Iger,1
Jett,Pittsburg,1
Jett,Roberts,1
