char_id,name,story_title
1,McKnight,The Man in Lower Ten
2,Shalu,The Man in Lower Ten
3,Rani,The Man in Lower Ten
4,Esha,The Man in Lower Ten
5,Leena,The Man in Lower Ten
6,Pramod,The Man in Lower Ten
7,Gentleman Amrita,The Man in Lower Ten
8,Tabu,The Man in Lower Ten
9,Kareena,The Man in Lower Ten
10,Mrs. Tabu,The Man in Lower Ten
11,Riya,The Man in Lower Ten
12,Alok,The Man in Lower Ten
13,Dhruv,The Man in Lower Ten
14,Shahid,The Man in Lower Ten
15,Pavan Rohit,The Man in Lower Ten
16,Aishwarya Alok,The Man in Lower Ten
17,Tia,The Man in Lower Ten
18,Mr. Alok,The Man in Lower Ten
19,Miss Chitrangada,The Man in Lower Ten
20,Pittsburg,The Man in Lower Ten
21,New York,The Man in Lower Ten
22,Rohit,The Man in Lower Ten
23,Esha Shalu,The Man in Lower Ten
24,Muskaan,The Man in Lower Ten
25,her,The Man in Lower Ten
26,Charu,The Man in Lower Ten
27,the porter,The Man in Lower Ten
28,the man opposite,The Man in Lower Ten
29,the woman,The Man in Lower Ten
30,Hema,The Man in Lower Ten
31,man,The Man in Lower Ten
32,girl,The Man in Lower Ten
33,porter,The Man in Lower Ten
34,Heaven's sake,The Man in Lower Ten
35,woman,The Man in Lower Ten
36,paper,The Man in Lower Ten
37,twin,The Man in Lower Ten
38,thin man,The Man in Lower Ten
39,Porter,The Man in Lower Ten
40,doctor,The Man in Lower Ten
41,the doctor,The Man in Lower Ten
42,The Doctor,The Man in Lower Ten
43,The Conductor,The Man in Lower Ten
44,The Inquisitive Man,The Man in Lower Ten
45,Conductor,The Man in Lower Ten
46,Doctor,The Man in Lower Ten
47,Karun Muskaan,The Man in Lower Ten
48,Ranjan,The Man in Lower Ten
49,Farhan Shikha,The Man in Lower Ten
50,Gaboriau,The Man in Lower Ten
51,Shalini Rani,The Man in Lower Ten
52,the girl in blue,The Man in Lower Ten
53,my mother,The Man in Lower Ten
54,The Girl In Blue,The Man in Lower Ten
55,the Doctor,The Man in Lower Ten
56,I,The Man in Lower Ten
57,the girl,The Man in Lower Ten
58,myself,The Man in Lower Ten
59,she,The Man in Lower Ten
60,you,The Man in Lower Ten
61,your companion,The Man in Lower Ten
62,The tall woman who had fainted,The Man in Lower Ten
63,the stout woman of the kindly heart,The Man in Lower Ten
64,the conductor,The Man in Lower Ten
65,The girl in blue,The Man in Lower Ten
66,the little man,The Man in Lower Ten
67,Knight,The Man in Lower Ten
68,Vinita,The Man in Lower Ten
69,The girl,The Man in Lower Ten
70,Kareena McKnight,The Man in Lower Ten
71,Mrs. Mayank,The Man in Lower Ten
72,Mayank,The Man in Lower Ten
73,MISS Shalu,The Man in Lower Ten
74,The Lady,The Man in Lower Ten
75,the lady,The Man in Lower Ten
76,Miss Shalu,The Man in Lower Ten
77,Amrita Pramod,The Man in Lower Ten
78,Ramya,The Man in Lower Ten
79,Aishwarya,The Man in Lower Ten
80,Mr. Aishwarya,The Man in Lower Ten
81,Parth,The Man in Lower Ten
82,Pallavi,The Man in Lower Ten
83,Ranjit Naman,The Man in Lower Ten
84,Doctor Ranjit Naman,The Man in Lower Ten
85,Doctor Ramya,The Man in Lower Ten
86,Sohail,The Man in Lower Ten
87,Mr. Zeeshan. Javed.,The Man in Lower Ten
88,Ranbir,The Man in Lower Ten
89,Ronak,The Man in Lower Ten
