canonical_name,alias_name
Ravenclaw Pinckney Narcissa,
Ravenclaw Pinckney Narcissa,Narcissa
Ravenclaw Pinckney Narcissa,Ravenclaw Narcissa
Mrs. Narcissa,
Mr. Narcissa,
Henry Pinckney Narcissa,
Edgar Allan Gryffindor,
Edgar Allan Gryffindor,Gryffindor
Wilson Budd Buckbeak,
Wilson Budd Buckbeak,Buckbeak
Wilson Budd Buckbeak,Mr Buckbeak
Wilson Budd Buckbeak,Mr. Buckbeak
Mr. Fantastic Dursley,
Mr. Fantastic Dursley,Dursley
Mr. Fantastic Dursley,Mr. Dursley
Mr. Fantastic Dursley,Fantastic Dursley
Doctor Minerva Padma,
Doctor Minerva Padma,Minerva Padma
Patronus Cattermole,
Patronus Cattermole,Cattermole
Patronus Cattermole,Miss Cattermole
Mr. Lucius Quaffle,
Mr. Lucius Quaffle,Quaffle
Mr. Lucius Quaffle,Lucius Quaffle
Dumbledore MacLure,
Lestrange McKnight,
Lestrange McKnight,McKnight
Lestrange McKnight,Mcknight
Lestrange McKnight,Mr. McKnight
Prisoner Quibbler,
Quirrell Peverell,
Quirrell Peverell,Peverell
Andrew Hufflepuff,
Andrew Hufflepuff,Hufflepuff
Andrew Hufflepuff,Mr. Hufflepuff
Mr. Leta Buckbeak,
Dobby Hufflepuff,
Samuel Forbeses,
Gentleman Dobby,
Where Credence,
Howler Astoria,
Howler Astoria,Astoria
Howler Astoria,Mr Astoria
Howler Astoria,Mr. Astoria
Sprout Crimes,
Sprout Crimes,Mrs. Crimes
Blanche Find,
Blanche Find,Find
Blanche Find,Mrs Find
Blanche Find,Mrs. Find
My Companion,
Hat Narcissa,
Them Quaffle,
English girl,
English girl,Girl
Old Quaffle,
John Stone,
Bad News,
My wife,
Sprout-sit-by-the-fire,
Mrs. Broomstick,
Mrs. Broomstick,Mrs Broomstick
Doctor Snidget,
Mr. Pettigrew,
Mr. Pettigrew,Pettigrew
Har-Narcissa,
Mr. Angelina,
Miss Azkaban,
Mrs. Cursed,
Mrs. Cursed,Mrs Cursed
Mrs. Potter,
Mrs. Potter,Potter
Mrs. Potter,Mrs Potter
Nymphadora,
Cannonball,
Mr. Howler,
Mr. Howler,Howler
Washington,
Voldemort,
Manticore,
Mr. Bones,
Mr. Bones,Bones
Lestrange,
Puffskein,
Graphorn,
Seiberts,
Wormtail,
Dungbomb,
Kreacher,
Patronus,
Gaboriau,
Queenie,
Bludger,
Weasley,
Severus,
Cresson,
Petunia,
Porter,
Hagrid,
Riddle,
Mother,
Malfoy,
Fluffy,
Peeves,
Keeper,
Heaven,
Browne,
Elwell,
Fenrir,
Vernon,
Rubeus,
Oliver,
Ginny,
Peter,
Child,
Snape,
James,
Harry,
Errol,
Rose,
Lily,
Krum,
Fire,
McK,
Mc,
mary,
rinehart,
wests,
sullivan,
lollie,
andy,
klopton,
richey,
euphemia,
george,
north,
south,
blakeley,
lawrence,
gilmore,
whistler,
gardner,
alison,
west,
bronson,
harrington,
gray,
simon,
godey,
poe,
conan,
doyle,
curtis,
williams,
jove,
rich,
candida,
van,
kirk,
johnson,
hotchkiss,
humerus,
flanders,
eliza,
robison,
shaw,
miller,
dallas,
stogie,
dal,
flier,
jonah,
rafferty,
carter,
br,
obadiah,
conway,
pullman,
arnold,
stuart,
francis,
peck,
mike,
alice,
jennie,
thomas,
blake,
joy,
dorothy,
martin,
blobs,
sammy,
forbes,
sam,
junior,
allie,
granger,
dolly,
janet,
jenkins,
polly,
cavalcanti,
springer,
fido,
sherlock,
satan,
fiddlededee,
ida,
heaton,
