character1,character2,count
L Delilah,Miss Delilah,42
Sir Hampsly,Sir Hampsly Pagett,33
Adam,Adam B,26
Anne Fate,Sir Hampsly,12
Eric,Sir Hampsly,9
Miss Mamma,Rev. Milray Smuts,9
Anne Fate,Loamsley,8
Adam,Long,7
Eric,Nasby,7
Adam,Adam Edgar,6
Long,Sir Hampsly,6
Miss Mamma,Sir Hampsly,6
Sir Lawrence Chichesterpettigrew,Sir Pedler Chichesterpettigrew,6
Anne Fate,Eric,5
Adam B,Long,4
Adam Edgar,Sir Lawrence Chichesterpettigrew,4
Anne Fate,Guy,4
Anne Fate,Long,4
Anne Fate,Ned,4
L Delilah,Rev. Milray Smuts,4
Nadina,Sir Lawrence Chichesterpettigrew,4
Nadina Chichesterpettigrew,Sir Lawrence Chichesterpettigrew,4
Adam,Eric,3
L. B. Emery,Race,3
Long,Nasby,3
Long,Race,3
Nadina,Nadina Chichesterpettigrew,3
Nasby,Ned,3
Nasby,Sir Hampsly,3
Race,lucas,3
Adam,Adam John,2
Adam,Desdemona,2
Adam,Sir Hampsly,2
Adam,Suzanne,2
Adam Edgar,Race,2
Anne Fate,Stevenson Grunberg,2
Anne Fate,Suzanne,2
Arthur Pamela,Miss Mamma,2
Desdemona,Long,2
Eric,Miss Mamma,2
L Delilah,Professor Delilah,2
L. B. Emery,Suzanne,2
Lady Pagett,Sir Hampsly Pagett,2
Long,Sir Hampsly Pagett,2
Nasby,Nasby Clarence,2
Ned,Sir Hampsly,2
Rev. Milray Smuts,Sir Hampsly,2
Adam,Harry,1
Adam,Race,1
Adam,Roos,1
Adam,Tylman,1
Adam B,Adam Edgar,1
Adam Edgar,Nadina,1
Adam Edgar,Nadina Chichesterpettigrew,1
Adam Edgar,Suzanne,1
Adam John,Suzanne,1
Anne Fate,L Delilah,1
Anne Fate,Miss Mamma,1
Anne Fate,Nadina,1
Anne Fate,Nasby,1
Anne Fate,Race,1
Anne Fate,Rev. Milray Smuts,1
Anne Fate,lucas,1
Arthur Pamela,Rev. Milray Smuts,1
Augustus,Eric,1
Augustus,Miss L.,1
Crippen,Marlow,1
Eric,L Delilah,1
Eric,Lawrence,1
Eric,Long,1
Eric,Meadow,1
Eric,Miss L.,1
Eric,Rev. Milray Smuts,1
Eric,Sir Hampsly Pagett,1
Eric,Sir Lawrence Chichesterpettigrew,1
Eric,Suzanne,1
Eustace,Mrs. Edward,1
Guy,Loamsley,1
Guy,Long,1
Henry,Long,1
Henry,Mary,1
Jarvis,Long,1
Jarvis,Long Nadina Silver,1
Jarvis,Nadina,1
Jeanne,butler,1
L Delilah,Nadina Chichesterpettigrew,1
L Delilah,Sir Lawrence Chichesterpettigrew,1
L Delilah,gipsy,1
L. B. Emery,lucas,1
Lawrence,Paggett,1
Lawrence,Sir Lawrence Chichesterpettigrew,1
Loamsley,Sir Hampsly,1
Long,Long Nadina Silver,1
Long,Nadina,1
Long,Rhodes,1
Long,Roos,1
Long Nadina Silver,Nadina,1
Meadow,Sir Hampsly,1
Meadows,Nadina,1
Miss Delilah,Rev. Milray Smuts,1
Mrs. Edward,Sir Hampsly,1
Mrs. Edward,Sir Hampsly Pagett,1
Mrs. Edward,grey,1
Nasby,Othello,1
Nasby,Race,1
Nasby,Roos,1
Nasby,Suzanne,1
Nasby,eardsley,1
Ned,Race,1
Ned,lucas,1
Parker,Rhodes,1
Race,Rhodes,1
Race,Sir Hampsly,1
Race,Suzanne,1
Sir Hampsly,Stevenson Grunberg,1
Sir Hampsly,grey,1
Sir Lawrence Chichesterpettigrew,Suzanne,1
carton,papa,1
