node,is_victim,pagerank,victim_connection_weight,degree,strength
AGATHA CHRISTIE,0,0.012195121951219511,0,3,3.0
Aberforth,0,0.010572307222151932,0,6,9.0
Aberforth Harold Fluffy,0,0.023283273866010253,0,13,30.0
Arthur,0,0.0036411910595519218,0,1,2.0
Arthur Andromeda,0,0.00746093396685793,0,5,7.0
Binns,0,0.002360370333639186,0,1,1.0
Bolster Bar,0,0.007426198977431523,0,2,2.0
Broomstick,0,0.0027582180951132417,0,1,1.0
Brother Bill,0,0.007426198977431523,0,2,2.0
Charles Lovegood,0,0.04359516064857644,0,9,116.0
Chudley,0,0.01162436641517312,2,11,14.0
Clever Halfblood,0,0.022492905897017478,0,14,36.0
Colonel,0,0.07274747520395697,0,18,165.0
Colonel Hufflepuff,0,0.07224347955438566,0,21,167.0
Count,0,0.005778132886132936,0,3,3.0
Count Wands Colin,0,0.0034664880704768984,0,1,1.0
Cursed,0,0.010223155868848187,0,8,11.0
DODD,0,0.012195121951219511,0,3,3.0
De Beer,0,0.00253504832044077,0,1,1.0
De Beers,0,0.006952100984490965,1,8,8.0
Diggory Lovegood,0,0.02676170627662041,0,7,69.0
Diggory dear,0,0.0025729916517812884,0,1,2.0
Dursley,0,0.006719275688532846,0,3,9.0
Fawkes,0,0.01074048349672605,0,3,3.0
Frankly,0,0.004874985195597785,0,1,1.0
Furs,0,0.0022011299722321078,0,1,1.0
Granger Malfoy,0,0.032379954441357155,0,19,53.0
Halfblood Bellatrix,0,0.003761727574732511,0,2,4.0
Hippogriff,0,0.0026617942885022233,0,2,2.0
Howler Grünberg,0,0.0061858917299623985,1,5,7.0
Invisibility,0,0.002980104365025337,0,2,2.0
James,0,0.002360370333639186,0,1,1.0
Kafir boy,0,0.002294088780743714,0,1,1.0
L. B. Lee,1,0.007246287002784105,0,5,8.0
Lady Tina,0,0.002755956744165337,0,1,2.0
Little Quaffle,0,0.002619260154215419,0,1,1.0
Lord Animagus,0,0.007649770365523383,0,5,7.0
Lucius,0,0.010050096541441265,0,2,10.0
Lucius girl,0,0.010050096541441265,0,2,10.0
MEAD AND COMPANY,0,0.012195121951219511,0,3,3.0
Madame Keeper,0,0.014117132035979685,3,10,18.0
Mandrake,0,0.012195121951219513,0,1,1.0
Miss Diggory,0,0.0433176757955356,0,20,99.0
Miss Katie,0,0.015979754828146044,0,9,27.0
Miss Lovegood,0,0.015701630902020605,0,2,43.0
Mrs. Wizardry Bellatrix,0,0.012286088560968553,0,8,24.0
Muggle,0,0.0028278035832709244,0,1,1.0
NEW YORK,0,0.012195121951219511,0,3,3.0
Nymphadora,0,0.012195121951219513,0,1,1.0
Ollivander-Katie,0,0.00850685268413987,0,3,13.0
Peverell,0,0.012195121951219513,0,1,1.0
Potter,0,0.012195121951219513,0,1,1.0
Prince,0,0.002943596823735265,0,3,3.0
Professor Lovegood,0,0.0024680052751982874,0,1,2.0
Puffskein,0,0.03200514295128329,0,12,52.0
Puffskein Alastor,0,0.024863858073092167,1,10,41.0
Puffskein Hallows,0,0.01366832432346339,0,8,17.0
QUINN & BODEN COMPANY,0,0.012195121951219513,0,1,1.0
Quibbler,0,0.004874985195597785,0,1,1.0
RAHWAY,0,0.012195121951219513,0,1,1.0
Regulus,0,0.002352475299884952,0,1,1.0
Remus,0,0.012195121951219513,0,1,1.0
Rev. Viktor Ollivander,0,0.014577435766763213,0,11,27.0
Rhodesian,0,0.005691494125691326,0,3,5.0
Sir Dumbledore,0,0.05140084109544204,0,19,94.0
Sir Dumbledore Tina,0,0.022348265087709845,0,5,41.0
Sir Lawrence Fluffy,0,0.0032314576965753626,0,3,3.0
Sir Prisoner,0,0.011334162931726784,0,4,15.0
Sir Prisoner Fluffy,0,0.010380139013025386,0,3,13.0
Slytherin Fudge,0,0.0028134023587803765,0,2,2.0
Weasley,0,0.002796820025258893,0,1,1.0
Young Fluffy,0,0.003148713397461484,0,1,2.0
Young Hallows,0,0.0025127085808339506,0,1,1.0
butler,0,0.012195121951219513,0,1,1.0
gipsy,0,0.0028500940947299306,0,3,3.0
god,0,0.0036993526786647316,0,1,1.0
grey,0,0.008608357035263347,0,3,3.0
long,0,0.03322913414050806,0,19,45.0
nature,0,0.003474500821775713,0,3,3.0
ned,0,0.003246889219355804,0,2,2.0
race,0,0.00234858187071959,0,1,1.0
silver,0,0.006599882820052919,0,3,3.0
