char_id,name,story_title
1,Ginny Oliver,The Murder of Roger Ackroyd
2,DODD,The Murder of Roger Ackroyd
3,MEAD,The Murder of Roger Ackroyd
4,Severus Umbridge,The Murder of Roger Ackroyd
5,Draco,The Murder of Roger Ackroyd
6,Minerva,The Murder of Roger Ackroyd
7,Mcgonagall,The Murder of Roger Ackroyd
8,Poirot,The Murder of Roger Ackroyd
9,Ralph Paton,The Murder of Roger Ackroyd
10,Quaffle Them,The Murder of Roger Ackroyd
11,Keeper,The Murder of Roger Ackroyd
12,Kreacher,The Murder of Roger Ackroyd
13,Flitwick,The Murder of Roger Ackroyd
14,Mrs. Crumplehorn,The Murder of Roger Ackroyd
15,Merope,The Murder of Roger Ackroyd
16,Ashley Crumplehorn,The Murder of Roger Ackroyd
17,my sister,The Murder of Roger Ackroyd
18,Angelina,The Murder of Roger Ackroyd
19,Credence Angelina,The Murder of Roger Ackroyd
20,Them,The Murder of Roger Ackroyd
21,Miss Padma,The Murder of Roger Ackroyd
22,Mrs. Cecil Them,The Murder of Roger Ackroyd
23,Cecil Them,The Murder of Roger Ackroyd
24,Them's,The Murder of Roger Ackroyd
25,Mrs. Them,The Murder of Roger Ackroyd
26,Credence,The Murder of Roger Ackroyd
27,Peverell Them,The Murder of Roger Ackroyd
28,ken,The Murder of Roger Ackroyd
29,Mr. Sirius,The Murder of Roger Ackroyd
30,the Queen of Howler,The Murder of Roger Ackroyd
31,Sirius,The Murder of Roger Ackroyd
32,Captain Credence Angelina,The Murder of Roger Ackroyd
33,Mr. Them,The Murder of Roger Ackroyd
34,Peverell,The Murder of Roger Ackroyd
35,Captain Angelina,The Murder of Roger Ackroyd
36,Quibbler,The Murder of Roger Ackroyd
37,Cho,The Murder of Roger Ackroyd
38,Quaffle,The Murder of Roger Ackroyd
39,Cecil,The Murder of Roger Ackroyd
40,Major Stone,The Murder of Roger Ackroyd
41,Grindelwald Stone,The Murder of Roger Ackroyd
42,McGonagall,The Murder of Roger Ackroyd
43,Horace,The Murder of Roger Ackroyd
44,Mr. Mcgonagall,The Murder of Roger Ackroyd
45,Stone,The Murder of Roger Ackroyd
46,doctor,The Murder of Roger Ackroyd
47,Doctor,The Murder of Roger Ackroyd
48,Inspector,The Murder of Roger Ackroyd
49,Butler,The Murder of Roger Ackroyd
50,Miss Peverell,The Murder of Roger Ackroyd
51,Peeves,The Murder of Roger Ackroyd
52,Miss Them,The Murder of Roger Ackroyd
53,Cho Quaffle,The Murder of Roger Ackroyd
54,Inspector Granger,The Murder of Roger Ackroyd
55,And Mcgonagall,The Murder of Roger Ackroyd
56,inspector,The Murder of Roger Ackroyd
57,I,The Murder of Roger Ackroyd
58,the inspector,The Murder of Roger Ackroyd
59,Fiddlesticks,The Murder of Roger Ackroyd
60,Leta Fluffy,The Murder of Roger Ackroyd
61,Inspector Minerva,The Murder of Roger Ackroyd
62,Granger,The Murder of Roger Ackroyd
63,Fluffy,The Murder of Roger Ackroyd
64,Mademoiselle,The Murder of Roger Ackroyd
65,Ravenclaw,The Murder of Roger Ackroyd
66,le docteur,The Murder of Roger Ackroyd
67,Colonel Invisibility,The Murder of Roger Ackroyd
68,Invisibility,The Murder of Roger Ackroyd
69,Bones,The Murder of Roger Ackroyd
70,Belgian,The Murder of Roger Ackroyd
71,Order,The Murder of Roger Ackroyd
72,Mrs. Minerva,The Murder of Roger Ackroyd
73,Lord,The Murder of Roger Ackroyd
74,Miss Peverell Them,The Murder of Roger Ackroyd
75,Parker,The Murder of Roger Ackroyd
76,Ursula Karkaroff,The Murder of Roger Ackroyd
77,Mrs. Dursley,The Murder of Roger Ackroyd
78,Gladys Peeves,The Murder of Roger Ackroyd
79,Elsie School,The Murder of Roger Ackroyd
80,Mary Thripp,The Murder of Roger Ackroyd
81,Cedric Deathly,The Murder of Roger Ackroyd
82,ric Deathly,The Murder of Roger Ackroyd
83,Severus Hat,The Murder of Roger Ackroyd
84,Mélisande,The Murder of Roger Ackroyd
85,Moony,The Murder of Roger Ackroyd
86,Mr. Order,The Murder of Roger Ackroyd
87,Emma Dursley,The Murder of Roger Ackroyd
88,Regard,The Murder of Roger Ackroyd
89,Padma,The Murder of Roger Ackroyd
90,School,The Murder of Roger Ackroyd
91,Alley Karkaroff,The Murder of Roger Ackroyd
92,Horklump,The Murder of Roger Ackroyd
93,The girl,The Murder of Roger Ackroyd
94,Mrs. Puffskein Potter,The Murder of Roger Ackroyd
95,Riddle Prince,The Murder of Roger Ackroyd
96,Horklump School,The Murder of Roger Ackroyd
97,Potter,The Murder of Roger Ackroyd
98,Regulus Peverell,The Murder of Roger Ackroyd
99,Mrs. Potter,The Murder of Roger Ackroyd
100,Thestral,The Murder of Roger Ackroyd
101,Prince Yaxley,The Murder of Roger Ackroyd
102,Ravenclaw Fluffy,The Murder of Roger Ackroyd
103,Credence Ravenclaw Fluffy,The Murder of Roger Ackroyd
104,Colin Ron,The Murder of Roger Ackroyd
105,George Veela,The Murder of Roger Ackroyd
106,l'Inspecteur,The Murder of Roger Ackroyd
107,the police officer,The Murder of Roger Ackroyd
108,young Mcgonagall,The Murder of Roger Ackroyd
109,Regulus,The Murder of Roger Ackroyd
110,Remus,The Murder of Roger Ackroyd
111,Hercule Fluffy,The Murder of Roger Ackroyd
112,Severus Platform,The Murder of Roger Ackroyd
113,Dudley,The Murder of Roger Ackroyd
114,Nymphadora,The Murder of Roger Ackroyd
115,Allie Karkaroff,The Murder of Roger Ackroyd
116,Bruce MacPherson,The Murder of Roger Ackroyd
117,Chudley MacDonald,The Murder of Roger Ackroyd
118,Karkaroff,The Murder of Roger Ackroyd
119,Mrs. Them's,The Murder of Roger Ackroyd
120,Miss Thestral,The Murder of Roger Ackroyd
121,Express,The Murder of Roger Ackroyd
122,Regulus Kreacher,The Murder of Roger Ackroyd
123,Colonel Cissa,The Murder of Roger Ackroyd
124,George,The Murder of Roger Ackroyd
125,Colonel,The Murder of Roger Ackroyd
126,Chaser,The Murder of Roger Ackroyd
127,Manticore,The Murder of Roger Ackroyd
128,Azkaban Acromantula,The Murder of Roger Ackroyd
129,Keeper Draco,The Murder of Roger Ackroyd
130,Tin-ho,The Murder of Roger Ackroyd
131,rty,The Murder of Roger Ackroyd
132,Major Barty,The Murder of Roger Ackroyd
133,Mr. Them's,The Murder of Roger Ackroyd
134,Blackmail,The Murder of Roger Ackroyd
135,mademoiselle,The Murder of Roger Ackroyd
136,Heaven,The Murder of Roger Ackroyd
137,Padma woman,The Murder of Roger Ackroyd
138,Krum,The Murder of Roger Ackroyd
139,Newt,The Murder of Roger Ackroyd
140,Superintendent Malfoy,The Murder of Roger Ackroyd
141,Inspector Alastor,The Murder of Roger Ackroyd
142,Krum Newt,The Murder of Roger Ackroyd
143,Sally Peeves,The Murder of Roger Ackroyd
144,Malfoy,The Murder of Roger Ackroyd
145,Miss Draco,The Murder of Roger Ackroyd
146,Mon ami,The Murder of Roger Ackroyd
147,Major Grindelwald Stone,The Murder of Roger Ackroyd
148,Capitaine Credence Angelina,The Murder of Roger Ackroyd
149,Padma Inspector Minerva,The Murder of Roger Ackroyd
150,Snape,The Murder of Roger Ackroyd
151,My sister,The Murder of Roger Ackroyd
152,Prisoner,The Murder of Roger Ackroyd
153,Peverell's,The Murder of Roger Ackroyd
154,Grindelwald,The Murder of Roger Ackroyd
155,Alley Angelina,The Murder of Roger Ackroyd
156,Alley,The Murder of Roger Ackroyd
157,Captain Potter,The Murder of Roger Ackroyd
158,housekeeper,The Murder of Roger Ackroyd
159,Mr. And Mcgonagall,The Murder of Roger Ackroyd
160,Mrs. Credence Angelina,The Murder of Roger Ackroyd
161,John Quibbler,The Murder of Roger Ackroyd
162,Elizabeth Padma,The Murder of Roger Ackroyd
163,Regulus Draco,The Murder of Roger Ackroyd
164,Mr. Crumplehorn,The Murder of Roger Ackroyd
165,Katie Gryffindor,The Murder of Roger Ackroyd
166,Diggory,The Murder of Roger Ackroyd
167,Boggart Petunia,The Murder of Roger Ackroyd
168,Dumbledore Pansy,The Murder of Roger Ackroyd
169,Quirrell Quirrell Bludger,The Murder of Roger Ackroyd
170,Quirrell,The Murder of Roger Ackroyd
171,Bludger,The Murder of Roger Ackroyd
172,Lucius TO Quirrell,The Murder of Roger Ackroyd
173,Pomona Diagon,The Murder of Roger Ackroyd
174,Zane,The Murder of Roger Ackroyd
175,Lily,The Murder of Roger Ackroyd
176,Tappan,The Murder of Roger Ackroyd
177,Severus Lovegood,The Murder of Roger Ackroyd
178,Astoria,The Murder of Roger Ackroyd
179,Narcissa,The Murder of Roger Ackroyd
180,Bowtruckle,The Murder of Roger Ackroyd
181,Bathilda Wizarding,The Murder of Roger Ackroyd
182,Buffalo Bill,The Murder of Roger Ackroyd
183,Luna Wizarding,The Murder of Roger Ackroyd
