node,is_victim,pagerank,victim_connection_weight,degree,strength
Charles,0,0.022700015527272167,0,1,3.0
Miss Zane,0,0.10785897185823343,0,6,17.0
POIROT,0,0.06175128100963627,0,4,4.0
Parker,0,0.04533204560560326,0,3,3.0
RALPH PATON,0,0.04533204560560326,0,3,3.0
Uncle,0,0.017746987225899638,0,2,2.0
american,0,0.012210237109462636,0,1,1.0
black,0,0.014037123786560794,0,1,1.0
dagger,0,0.035367247497939444,0,3,4.0
desert,0,0.011914497929380579,0,1,1.0
dunlap,0,0.0632275277172314,0,4,10.0
elizabeth,0,0.043478260869565216,0,1,1.0
fernly,0,0.01964388652137999,0,1,1.0
flora,0,0.04533204560560326,0,3,3.0
grosset,0,0.0632275277172314,0,4,10.0
john,0,0.043478260869565216,0,1,1.0
m,0,0.07816880135846374,0,4,12.0
mademoiselle,0,0.02358723306751834,0,1,3.0
pond,0,0.012210237109462636,0,1,1.0
rafael,0,0.024098306841279993,0,3,3.0
sabatini,0,0.024098306841279993,0,3,3.0
son,0,0.017898735088490488,0,1,2.0
this,0,0.16730041723733668,0,8,25.0
