character1,character2,count
Mrs. Ralph Paton,Ralph,98
Mademoiselle Flora,Miss Flora Ackroyd,36
Ursula,Ursula Bourne,28
Miss Flora Ackroyd,Uncle Roger,22
Miss Flora Ackroyd,Roger Ackroyd,20
Roger Ackroyd,Uncle Roger,20
M. Hercule Poirot,this,17
Miss Flora Ackroyd,this,16
Mademoiselle Flora,Ralph,15
Hector,Hector Blunt,14
jong,mah,14
Hector Blunt,Mr. Geoffrey Raymond,13
M. Hercule Poirot,Mademoiselle,13
Mademoiselle Caroline,Miss Ganett,12
Miss Flora Ackroyd,Ralph,12
dunlap,grosset,12
Mademoiselle,Mademoiselle Flora,11
James,Mademoiselle Caroline,10
Ralph,Ursula,10
Hector Blunt,Mademoiselle Flora,9
M. Hercule Poirot,Mademoiselle Flora,9
Miss Flora Ackroyd,Mr. Geoffrey Raymond,9
Hector Blunt,Miss Flora Ackroyd,8
Mademoiselle Flora,this,8
Miss Flora Ackroyd,Mrs. Ralph Paton,8
John Parker,this,7
M. Hercule Poirot,Mademoiselle Caroline,7
M. Hercule Poirot,Ralph,7
Mademoiselle Flora,Mrs. Ralph Paton,7
Mrs. Ralph Paton,this,7
Elsie,Elsie Dale,6
Mademoiselle,Mrs. Ralph Paton,6
Mademoiselle,this,6
Mademoiselle Caroline,Ralph,6
Mademoiselle Caroline,jong,6
Mademoiselle Caroline,mah,6
Mademoiselle Caroline,this,6
Mademoiselle Flora,Mr. Geoffrey Raymond,6
Miss Ganett,this,6
Mrs. Ralph Paton,Ursula,6
Ashley Ferrars,Miss Flora Ackroyd,5
Caroline Sheppard,this,5
Charles Kent,M. Hercule Poirot,5
Hector,Mademoiselle Flora,5
Hector Blunt,M. Hercule Poirot,5
Inspector Raglan,M. Hercule Poirot,5
John Parker,M. Hercule Poirot,5
John Parker,Mademoiselle Flora,5
John Parker,Miss Flora Ackroyd,5
M. Hercule Poirot,Mrs. Ralph Paton,5
Mademoiselle Caroline,Mrs. Ralph Paton,5
Miss Flora Ackroyd,fernly,5
Miss Ganett,jong,5
Miss Ganett,mah,5
Ralph,this,5
Charles Kent,this,4
Elizabeth Russell,Mademoiselle Caroline,4
Inspector Raglan,this,4
M. Hercule Poirot,Miss Flora Ackroyd,4
Mademoiselle,Ralph,4
Mademoiselle Caroline,Miss Flora Ackroyd,4
Miss Flora Ackroyd,son,4
Mr. Geoffrey Raymond,this,4
Mrs. Ralph Paton,Ursula Bourne,4
Mrs. Ralph Paton,Ursula Paton,4
Ursula,Ursula Paton,4
Caroline Sheppard,M. Hercule Poirot,3
Caroline Sheppard,Mademoiselle Flora,3
Caroline Sheppard,Ralph,3
Cecil,Miss Flora Ackroyd,3
Cecil,Mrs. Cecil Ackroyd,3
Charles Kent,fernly,3
Chow,Miss Ganett,3
Elizabeth Russell,John Parker,3
Elizabeth Russell,Miss Flora Ackroyd,3
Elsie,fernly,3
John Parker,Melrose,3
John Parker,Mr. Geoffrey Raymond,3
John Parker,dagger,3
M. Hercule Poirot,Mr. Geoffrey Raymond,3
Mademoiselle,Mademoiselle Caroline,3
Mademoiselle Caroline,fernly,3
Mademoiselle Flora,Miss Ganett,3
Mademoiselle Flora,Uncle Roger,3
Miss Flora Ackroyd,Mrs. Cecil Ackroyd,3
Miss Flora Ackroyd,Ursula,3
Miss Ganett,Pung,3
Ralph,Uncle Roger,3
Ralph,son,3
Ursula,fernly,3
Ursula Bourne,Ursula Paton,3
Arthur Vane,Diana,2
Caroline Sheppard,dagger,2
Carter,Mademoiselle Caroline,2
Carter,this,2
Charles Kent,Elizabeth Russell,2
Clara,Miss Ganett,2
Elizabeth Russell,Inspector Raglan,2
Elizabeth Russell,M. Hercule Poirot,2
Elizabeth Russell,Mademoiselle Flora,2
Elizabeth Russell,Mr. Geoffrey Raymond,2
Elizabeth Russell,Mrs. Ralph Paton,2
Elizabeth Russell,Ralph,2
Elizabeth Russell,fernly,2
