canonical_name,alias_name
Abhay Tejasswi Zara,
Abhay Tejasswi Zara,Zara
Abhay Tejasswi Zara,Abhay Zara
Abhay Tejasswi Zara,Tejasswi Zara
Abhay Rajeev Mitali,
Abhay Rajeev Mitali,Mitali
Abhay Rajeev Mitali,Rajeev Mitali
Akanksha Lakshmi,
Akanksha Lakshmi,Lakshmi
Mrs. Lakshmi,
Mr. Lakshmi,
Mr. Sunny Virat,
Mr. Sunny Virat,Sunny Virat
Muskaan Lakshmi,
Ranjit Lakshmi,
Ranjit Ranveer,
Ranjit Ranveer,Ranveer
Abhay Tejasswi,
Abhay Tejasswi,Tejasswi
Ranjit Vikrant,
Ranjit Vikrant,Vikrant
Anirudh Amrita,
Anirudh Amrita,Amrita
Vishal Vikrant,
Vicky Ranveer,
Shafaq Kavita,
Rohan Lakshmi,
Akshay Shruti,
Akshay Shruti,Mr. Shruti
Mukesh Tushar,
Abhay Rajeev,
Abhay Rajeev,Rajeev
Abhay Mahesh,
Abhay Mahesh,Mahesh
Abhay Mahesh,Miss Mahesh
Meher Sakshi,
Meher Sakshi,Sakshi
Meher Sakshi,Mr. Sakshi
Naman Mitali,
Abhay Naman,
Abhay Naman,Naman
Saira Abir,
Alok Aditi,
Dr. Parth,
Dr. Parth,Parth
Sidharth,
Akanksha,
Anirudh,
Deepika,
Shabana,
Anushka,
Lakshya,
Darshan,
Muskaan,
Nandita,
Sameera,
Chandni,
Pallavi,
Aparna,
Ranjit,
Pramod,
Pranav,
Vipin,
Nidhi,
Manju,
Aamir,
Richa,
Divya,
Mansi,
Charu,
Mohit,
Abhay,
Kiara,
Payal,
Rohan,
Imran,
Vicky,
Jaya,
Ravi,
Yash,
Sameer,
Simran,
Nikita,
Pushkar,
Kiran,
Roshan,
Mithun,
Meenal,
Aditya,
Leena,
Chitrangada,
Tabu,
Javed,
Navya,
Ronak,
Arvind,
Parineeti,
Aadil,
Kavya,
Bipasha,
Dharmendra,
Pritam,
