node,is_victim,pagerank,victim_connection_weight,degree,strength
Agatha Christie,0,0.0028575495643209567,0,1,1.0
Auguste,0,0.004551134813142307,1,7,8.0
Bel,0,0.0035127724841058283,0,2,2.0
Cleopatra,0,0.017241379310344827,0,2,2.0
Denise,0,0.010174795581995971,0,4,4.0
Dulcie Duveen,0,0.004915452208444897,0,3,5.0
Gabriel Stonor,0,0.011523063799575408,3,10,35.0
Georges Conneau,0,0.011588512766296875,7,11,29.0
Hastings,0,0.014985718619556146,3,13,35.0
Japp,0,0.003764168525020556,0,2,4.0
Jeanne,0,0.0077705180819407655,0,4,13.0
Jeanne Beroldy,0,0.007033122345963176,0,4,11.0
Joseph Aarons,0,0.004714446833760139,0,3,8.0
Laverguier,0,0.003429498098289129,0,2,3.0
M. Bex,0,0.008053353227634131,0,5,18.0
M. Giraud,0,0.02817647648824215,7,13,95.0
M. Hercule Poirot,0,0.07367792472094656,7,27,219.0
M. Jack,0,0.08288397226646366,139,23,354.0
M. Jack Renauld,0,0.0645943583775917,112,20,281.0
M. Paul Renauld,1,0.11071472583195424,0,27,447.0
Mademoiselle,0,0.023487538660671717,5,14,70.0
Mademoiselle Bella,0,0.025188409241129247,9,14,86.0
Mademoiselle Bella Duveen,0,0.0221206817219958,4,15,69.0
Mademoiselle Cinderella,0,0.006510519105219978,0,7,11.0
Mademoiselle Dabreuil,0,0.0028714037455605684,0,1,1.0
Mademoiselle Dulcie,0,0.008290079363771434,0,8,11.0
Mademoiselle Marthe,0,0.03364753554380123,16,13,125.0
Mademoiselle Marthe Daubreuil,0,0.035495183404502875,20,17,129.0
Marchaud,0,0.003942890259872143,0,4,4.0
Masters,0,0.006968899296121022,3,6,17.0
Miss Robinson,0,0.002872181163535811,0,1,1.0
Monsieur,0,0.014571809971085127,2,12,41.0
Monsieur Beroldy,0,0.019086294937124382,1,14,50.0
Monsieur Hautet,0,0.006902226516361432,1,5,14.0
Papa Poirot,0,0.004588026765440328,0,1,7.0
Papa Renauld,0,0.0032446736347350987,1,3,3.0
Paul,0,0.0035574245148027035,3,2,4.0
Renaulds,0,0.0028575495643209567,0,1,1.0
Santiago,0,0.008227078128603162,2,7,21.0
a,0,0.1688708232158598,87,41,529.0
arthur,0,0.002950140521712859,0,1,1.0
ayres,0,0.012339946212355077,4,8,36.0
beroldys,0,0.0037398913787318835,0,2,4.0
buenos,0,0.012339946212355077,4,8,36.0
eh,0,0.00442785674775369,2,5,7.0
gallic,0,0.0027967272763445633,1,1,1.0
god,0,0.004079547857604346,0,2,5.0
greuze,0,0.0028575495643209567,0,1,1.0
helen,0,0.017241379310344827,0,2,2.0
jove,0,0.002872181163535811,0,1,1.0
lyons,0,0.005402818089613578,0,5,8.0
marguerite,0,0.006017280759983208,2,6,14.0
mary,0,0.017241379310344827,0,2,2.0
oulard,0,0.008265673035212275,0,2,2.0
sisters,0,0.008265673035212275,0,2,2.0
trapp,0,0.0028575495643209567,0,1,1.0
traveller,0,0.003982737695828647,1,5,6.0
victoria,0,0.0028575495643209567,0,1,1.0
