char_id,name,story_title
1,Knightley Bean,The Musgrave Ritual
2,Burnett,The Musgrave Ritual
3,Gaye,The Musgrave Ritual
4,Brooks Page,The Musgrave Ritual
5,Bean,The Musgrave Ritual
6,Brooks,The Musgrave Ritual
7,Mckellen,The Musgrave Ritual
8,Ellis Gad,The Musgrave Ritual
9,Smith Redford,The Musgrave Ritual
10,Page,The Musgrave Ritual
11,Mr. Page,The Musgrave Ritual
12,Richard Mckellen,The Musgrave Ritual
13,I,The Musgrave Ritual
14,Gad,The Musgrave Ritual
15,Kidman the First,The Musgrave Ritual
16,Kidman the Second,The Musgrave Ritual
17,Sir Ralph Page,The Musgrave Ritual
