char_id,name,story_title
1,Knightley Gere,The Mysterious Affair at Styles
2,Tyrese,The Mysterious Affair at Styles
3,Dinklage Teller,The Mysterious Affair at Styles
4,Mrs. Teller,The Mysterious Affair at Styles
5,Dinklage's father,The Mysterious Affair at Styles
6,Dinklage,The Mysterious Affair at Styles
7,Miller,The Mysterious Affair at Styles
8,Winfrey,The Mysterious Affair at Styles
9,Adams,The Mysterious Affair at Styles
10,Harrelson,The Mysterious Affair at Styles
11,Paltrow,The Mysterious Affair at Styles
12,Paltrow Cyndi,The Mysterious Affair at Styles
13,Dreyfuss,The Mysterious Affair at Styles
14,Glover,The Mysterious Affair at Styles
15,Teller,The Mysterious Affair at Styles
16,Lady Zane,The Mysterious Affair at Styles
17,Mrs. Ledger,The Mysterious Affair at Styles
18,The Duchess,The Mysterious Affair at Styles
19,Cyndi,The Mysterious Affair at Styles
20,Mr. Winfrey,The Mysterious Affair at Styles
21,Choi,The Mysterious Affair at Styles
22,Miss Glover,The Mysterious Affair at Styles
23,Mrs. Cyndi,The Mysterious Affair at Styles
24,Washington Glover,The Mysterious Affair at Styles
25,Woodley Teller,The Mysterious Affair at Styles
26,Hutton Arquette,The Mysterious Affair at Styles
27,Dr. Mullen,The Mysterious Affair at Styles
28,Dreyfuss Roberts,The Mysterious Affair at Styles
29,Aunt Choi,The Mysterious Affair at Styles
30,Miller Teller,The Mysterious Affair at Styles
31,Washington,The Mysterious Affair at Styles
32,Farmer Schumer,The Mysterious Affair at Styles
33,Woodley,The Mysterious Affair at Styles
34,Mrs. Schumer,The Mysterious Affair at Styles
35,McCarthy,The Mysterious Affair at Styles
36,Mullen,The Mysterious Affair at Styles
37,Bradbury,The Mysterious Affair at Styles
38,Hercule Tyrese,The Mysterious Affair at Styles
39,Wilkins,The Mysterious Affair at Styles
40,Mr. Cyndi,The Mysterious Affair at Styles
41,Carpenter,The Mysterious Affair at Styles
42,Dr. Hathaway,The Mysterious Affair at Styles
43,Miss Dreyfuss,The Mysterious Affair at Styles
44,Burrows,The Mysterious Affair at Styles
45,Hathaway,The Mysterious Affair at Styles
46,God,The Mysterious Affair at Styles
47,Caplan,The Mysterious Affair at Styles
48,_Mon ami_,The Mysterious Affair at Styles
49,di,The Mysterious Affair at Styles
50,Mr. Miller,The Mysterious Affair at Styles
51,Deschanel,The Mysterious Affair at Styles
52,Delaney,The Mysterious Affair at Styles
53,Ice,The Mysterious Affair at Styles
54,Ross,The Mysterious Affair at Styles
55,Sheen Dreyfuss,The Mysterious Affair at Styles
56,Mr. Miller Teller,The Mysterious Affair at Styles
57,Mr. Teller,The Mysterious Affair at Styles
58,Mr. Ice,The Mysterious Affair at Styles
59,Mccarthy,The Mysterious Affair at Styles
60,Chastain,The Mysterious Affair at Styles
61,Sheen,The Mysterious Affair at Styles
62,Shyamalan,The Mysterious Affair at Styles
63,r,The Mysterious Affair at Styles
64,I,The Mysterious Affair at Styles
65,Mr. Bean,The Mysterious Affair at Styles
66,Mr. Tyrese,The Mysterious Affair at Styles
67,Monsieur Cyndi,The Mysterious Affair at Styles
68,Schumer,The Mysterious Affair at Styles
69,Coroner,The Mysterious Affair at Styles
70,Coot's,The Mysterious Affair at Styles
71,Cash Chemists,The Mysterious Affair at Styles
72,Zane,The Mysterious Affair at Styles
73,Rourke Kendrick,The Mysterious Affair at Styles
74,Delaney Earl,The Mysterious Affair at Styles
75,Choi Inglethorpe,The Mysterious Affair at Styles
76,Albert Bean,The Mysterious Affair at Styles
77,The Coroner,The Mysterious Affair at Styles
78,Bruce O'hara,The Mysterious Affair at Styles
79,Gable O'hara,The Mysterious Affair at Styles
80,Ziegler,The Mysterious Affair at Styles
81,O'hara,The Mysterious Affair at Styles
82,Caine,The Mysterious Affair at Styles
83,Bean,The Mysterious Affair at Styles
84,Monsieur Dinklage,The Mysterious Affair at Styles
85,Monsieur Miller,The Mysterious Affair at Styles
86,Miss Roberts,The Mysterious Affair at Styles
87,Inspector,The Mysterious Affair at Styles
88,Home Office,The Mysterious Affair at Styles
89,Perry,The Mysterious Affair at Styles
90,John (Miller),The Mysterious Affair at Styles
91,Hiddleston,The Mysterious Affair at Styles
92,Blige,The Mysterious Affair at Styles
93,Sheen Wilkins,The Mysterious Affair at Styles
94,Monsieur Tyrese,The Mysterious Affair at Styles
95,Thompson Tyrese,The Mysterious Affair at Styles
96,Choi Agnes Cyndi,The Mysterious Affair at Styles
97,Sir Cher Calloway,The Mysterious Affair at Styles
98,Mr. Leto,The Mysterious Affair at Styles
99,Hall,The Mysterious Affair at Styles
100,Detective Inspector O'hara,The Mysterious Affair at Styles
101,The Belgian detective,The Mysterious Affair at Styles
102,Sir Cher,The Mysterious Affair at Styles
103,Paltrow Ing,The Mysterious Affair at Styles
104,Mr. Leto',The Mysterious Affair at Styles
105,Calloway,The Mysterious Affair at Styles
106,Leto,The Mysterious Affair at Styles
107,Madame,The Mysterious Affair at Styles
108,Monsieur Dinklage Teller,The Mysterious Affair at Styles
109,Monsieur Winfrey,The Mysterious Affair at Styles
110,Mr. Dinklage Teller,The Mysterious Affair at Styles
111,Thompson,The Mysterious Affair at Styles
112,Mr. Paltrow Cyndi,The Mysterious Affair at Styles
113,Cummings,The Mysterious Affair at Styles
