char_id,name,story_title
1,Cho Tonks,The Mysterious Affair at Styles
2,Snape,The Mysterious Affair at Styles
3,Luna,The Mysterious Affair at Styles
4,Ginny,The Mysterious Affair at Styles
5,Mrs. Hat,The Mysterious Affair at Styles
6,Vernon's father,The Mysterious Affair at Styles
7,Vernon,The Mysterious Affair at Styles
8,Moony,The Mysterious Affair at Styles
9,Pettigrew,The Mysterious Affair at Styles
10,Binns,The Mysterious Affair at Styles
11,Basilisk,The Mysterious Affair at Styles
12,Wizarding,The Mysterious Affair at Styles
13,Vernon Hat,The Mysterious Affair at Styles
14,Patronus,The Mysterious Affair at Styles
15,Mr. Binns,The Mysterious Affair at Styles
16,Miss Petunia,The Mysterious Affair at Styles
17,Scorpius Hat,The Mysterious Affair at Styles
18,Mrs. Diagon,The Mysterious Affair at Styles
19,The Princess,The Mysterious Affair at Styles
20,Lady Cattermole,The Mysterious Affair at Styles
21,The Duchess,The Mysterious Affair at Styles
22,Kreacher,The Mysterious Affair at Styles
23,Mr. And,The Mysterious Affair at Styles
24,Mrs. And,The Mysterious Affair at Styles
25,Parvati Petunia,The Mysterious Affair at Styles
26,Scorpius,The Mysterious Affair at Styles
27,Mrs Hat,The Mysterious Affair at Styles
28,Dr Ginny,The Mysterious Affair at Styles
29,Mr Binns,The Mysterious Affair at Styles
30,Patronus Manticore,The Mysterious Affair at Styles
31,Miss Manticore,The Mysterious Affair at Styles
32,Aunt Kreacher,The Mysterious Affair at Styles
33,Mrs.,The Mysterious Affair at Styles
34,And,The Mysterious Affair at Styles
35,Moony Hat,The Mysterious Affair at Styles
36,Parvati,The Mysterious Affair at Styles
37,Farmer Ron,The Mysterious Affair at Styles
38,The Wizarding (referring to Kreacher's husband),The Mysterious Affair at Styles
39,Dr. Ginny,The Mysterious Affair at Styles
40,Ron,The Mysterious Affair at Styles
41,Mrs. Ron,The Mysterious Affair at Styles
42,Rubeus,The Mysterious Affair at Styles
43,Hercule Luna,The Mysterious Affair at Styles
44,Fenrir,The Mysterious Affair at Styles
45,Hat,The Mysterious Affair at Styles
46,Wizarding And,The Mysterious Affair at Styles
47,Dr. Neville,The Mysterious Affair at Styles
48,Miss Patronus,The Mysterious Affair at Styles
49,Riddle,The Mysterious Affair at Styles
50,Mrs. And's own doctor,The Mysterious Affair at Styles
51,God,The Mysterious Affair at Styles
52,_Mon ami_,The Mysterious Affair at Styles
53,Mr. Hat,The Mysterious Affair at Styles
54,Mr. Moony,The Mysterious Affair at Styles
55,Mr. Tina,The Mysterious Affair at Styles
56,Ross,The Mysterious Affair at Styles
57,Mr. And's,The Mysterious Affair at Styles
58,Tom Patronus,The Mysterious Affair at Styles
59,Mr. Moony Hat,The Mysterious Affair at Styles
60,Tina,The Mysterious Affair at Styles
61,Acromantula,The Mysterious Affair at Styles
62,Gryffindor,The Mysterious Affair at Styles
63,Monsieur Luna,The Mysterious Affair at Styles
64,Neville,The Mysterious Affair at Styles
65,Tom,The Mysterious Affair at Styles
66,Mr. Wizarding And,The Mysterious Affair at Styles
67,I,The Mysterious Affair at Styles
68,Mr. Regulus,The Mysterious Affair at Styles
69,Monsieur And,The Mysterious Affair at Styles
70,Coroner,The Mysterious Affair at Styles
71,Teddy Earl,The Mysterious Affair at Styles
72,Viktor Alastor,The Mysterious Affair at Styles
73,Kreacher Inglethorpe,The Mysterious Affair at Styles
74,Albert Regulus,The Mysterious Affair at Styles
75,The Coroner,The Mysterious Affair at Styles
76,roner,The Mysterious Affair at Styles
77,Mr.,The Mysterious Affair at Styles
78,Detective Inspector Dobby Keeper of Scotland Yard-Fluffy Keeper,The Mysterious Affair at Styles
79,Mr. Luna,The Mysterious Affair at Styles
80,Baron Horklump,The Mysterious Affair at Styles
81,Detective-Inspector Keeper,The Mysterious Affair at Styles
82,Superintendent Crumplehorn,The Mysterious Affair at Styles
83,Keeper,The Mysterious Affair at Styles
84,Crumplehorn,The Mysterious Affair at Styles
85,Regulus,The Mysterious Affair at Styles
86,Monsieur Moony,The Mysterious Affair at Styles
87,Monsieur Vernon,The Mysterious Affair at Styles
88,Cattermole,The Mysterious Affair at Styles
89,ted,The Mysterious Affair at Styles
90,Paul George,The Mysterious Affair at Styles
91,John (Moony),The Mysterious Affair at Styles
92,T.,The Mysterious Affair at Styles
93,Animagus,The Mysterious Affair at Styles
94,Longbottom,The Mysterious Affair at Styles
95,Tom Fenrir,The Mysterious Affair at Styles
96,Fleur Luna,The Mysterious Affair at Styles
97,Scorpius Hat's,The Mysterious Affair at Styles
98,Kreacher Agnes And,The Mysterious Affair at Styles
99,Mr. Fawkes,The Mysterious Affair at Styles
100,Sir Nymphadora Minerva,The Mysterious Affair at Styles
101,Umbridge,The Mysterious Affair at Styles
102,Aberforth,The Mysterious Affair at Styles
103,Aberforth's,The Mysterious Affair at Styles
104,The Belgian detective,The Mysterious Affair at Styles
105,Snape Court,The Mysterious Affair at Styles
106,"Animagus. Hat, Esq.",The Mysterious Affair at Styles
107,Mr. Vernon Hat,The Mysterious Affair at Styles
108,Elizabeth Tina,The Mysterious Affair at Styles
109,Sir Nymphadora,The Mysterious Affair at Styles
110,Minerva,The Mysterious Affair at Styles
111,Monsieur Vernon Hat,The Mysterious Affair at Styles
112,Monsieur Binns,The Mysterious Affair at Styles
