canonical_name,alias_name
Monsieur John Cavendish,
Monsieur John Cavendish,Cavendish
Monsieur John Cavendish,John Cavendish
Mr. John Cavendish,
Mr. John Cavendish,Mr. Cavendish
Mrs. Cavendish,
Mrs. Cavendish,Mrs Cavendish
Sir Ernest Heavywether,
Sir Ernest Heavywether,Heavywether
Mr. Lawrence Cavendish,
Mr. Lawrence Cavendish,Lawrence Cavendish
Mr. Alfred Inglethorp,
Mr. Alfred Inglethorp,Inglethorp
Mr. Alfred Inglethorp,Mr. Inglethorp
Mr. Alfred Inglethorp,Alfred Inglethorp
Mademoiselle Cynthia,
Mademoiselle Cynthia,Cynthia
Mademoiselle Cynthia,Miss Cynthia
Monsieur Inglethorp,
Monsieur Inglethorp,Mrs Inglethorp
Monsieur Inglethorp,Mrs. Inglethorp
Emily Inglethorpe,
Monsieur Lawrence,
Monsieur Lawrence,LAWRENCE
Monsieur Lawrence,Lawrence
Monsieur Lawrence,Mr. Lawrence
Monsieur Hastings,
Monsieur Hastings,Hastings
Monsieur Hastings,Mr. Hastings
Agatha Christie,
Monsieur Poirot,
Monsieur Poirot,POIROT
Monsieur Poirot,Poirot
Monsieur Poirot,Mr. Poirot
Elizabeth Wells,
Elizabeth Wells,WELLS
Elizabeth Wells,Wells
Elizabeth Wells,Mr. Wells
Cynthia Murdoch,
Cynthia Murdoch,Miss Murdoch
Sherlock Holmes,
Ernest Philips,
Ernest Philips,Mr. Philips
Mary Cavendish,
Hercule Poirot,
Evelyn Howard,
Evelyn Howard,Miss Howard
Monsieur John,
Monsieur John,JOHN
Monsieur John,John
William Earl,
Albert Mace,
Albert Mace,Mace
Albert Mace,Mr. Mace
Papa Poirot,
Alfred Ing,
Alfred Ing,Ing...
Jimmy Japp,
Jimmy Japp,Japp
Amy Hill,
Superintendent Summerhaye,
Superintendent Summerhaye,Summerhaye
Lady Tadminster,
Mrs. Rolleston,
Dr. Bauerstein,
Dr. Bauerstein,Bauerstein
Dr. Bauerstein,Dr Bauerstein
Dr. Bauerstein,DR. BAUERSTEIN
Mrs. Crosbie,
Mrs. Raikes,
Mrs. Raikes,Raikes
Mrs. Raikes,Mrs Raikes
Dr. Wilkins,
Dr. Wilkins,Wilkins
Dr. Wilkins,Dr Wilkins
Sir Ernest,
William,
Moosier,
Manning,
Alfred,
Styles,
Dorcas,
Willum,
Evelyn,
Annie,
Annie,ANNIE
Emily,
Denby,
Baily,
Nibs,
Mary,
Evie,
abbotsbury,
inglethorps,
yessir,
haman,
court,
sacre,
james,
altara,
prys,
j,
l,
parkson,
jack,
counsel,
console,
