character1,character2,count
Alfred,Mr. Alfred Inglethorp,64
Monsieur John,Monsieur John Cavendish,43
Mary,Monsieur John Cavendish,38
Mary,Mary Cavendish,35
Mary Cavendish,Monsieur John Cavendish,35
Monsieur John Cavendish,Monsieur Lawrence,18
Evelyn,Evelyn Howard,17
Monsieur John Cavendish,Mr. Lawrence Cavendish,15
Monsieur Lawrence,Mr. Lawrence Cavendish,15
Monsieur John,Monsieur Poirot,12
Evelyn Howard,Mr. Alfred Inglethorp,10
Mademoiselle Cynthia,Mr. Alfred Inglethorp,10
Styles,court,10
Evelyn Howard,Monsieur John,9
Evelyn Howard,Monsieur Poirot,8
Hercule Poirot,Monsieur Poirot,8
Monsieur John,Monsieur Lawrence,8
Sir Ernest,Sir Ernest Heavywether,8
Dorcas,Monsieur Poirot,7
Mary,Mr. Alfred Inglethorp,7
Monsieur John,Mr. Alfred Inglethorp,7
Monsieur Lawrence,Monsieur Poirot,7
Cynthia Murdoch,Mademoiselle Cynthia,6
Jimmy Japp,Monsieur Poirot,6
Mademoiselle Cynthia,Monsieur Lawrence,6
Mary,Monsieur John,6
Monsieur Poirot,Mr. Alfred Inglethorp,6
Alfred,Evelyn Howard,5
Evelyn,Mr. Alfred Inglethorp,5
Mademoiselle Cynthia,Monsieur John,5
Mademoiselle Cynthia,Monsieur John Cavendish,5
Alfred,Monsieur John,4
Dr. Bauerstein,Monsieur John,4
Dr. Bauerstein,Monsieur Poirot,4
Elizabeth Wells,Monsieur John,4
Jimmy Japp,Superintendent Summerhaye,4
Mademoiselle Cynthia,Monsieur Poirot,4
Mademoiselle Cynthia,Nibs,4
Monsieur John Cavendish,Monsieur Poirot,4
Monsieur John Cavendish,Mr. Alfred Inglethorp,4
Dr. Bauerstein,Monsieur Lawrence,3
Elizabeth Wells,Monsieur John Cavendish,3
Evelyn Howard,Mademoiselle Cynthia,3
Evie,Monsieur John,3
Mademoiselle Cynthia,Mary,3
Manning,Monsieur John,3
Manning,William,3
Mary,Monsieur Lawrence,3
Monsieur Hastings,Monsieur John,3
Monsieur Poirot,Superintendent Summerhaye,3
Alfred,Evelyn,2
Alfred,Mary,2
Alfred,Monsieur Lawrence,2
Alfred,Monsieur Poirot,2
Dorcas,Monsieur John,2
Dorcas,Mr. Alfred Inglethorp,2
Emily,Mr. Alfred Inglethorp,2
Evelyn,Monsieur Poirot,2
Jimmy Japp,Styles,2
Mademoiselle Cynthia,Mary Cavendish,2
Mary,Monsieur Poirot,2
Mary,Styles,2
Mary Cavendish,Monsieur Lawrence,2
Monsieur John,Mr. Lawrence Cavendish,2
Monsieur John Cavendish,parkson,2
Monsieur Lawrence,Mr. Alfred Inglethorp,2
Monsieur Poirot,Papa Poirot,2
Monsieur Poirot,Styles,2
Mr. Alfred Inglethorp,Styles,2
William,William Earl,2
Agatha Christie,Styles,1
Albert Mace,Mary,1
Albert Mace,counsel,1
Alfred,Alfred Ing,1
Alfred,Emily,1
Alfred,Evie,1
Alfred,Styles,1
Amy Hill,Styles,1
Amy Hill,William,1
Amy Hill,William Earl,1
Cynthia Murdoch,Monsieur Hastings,1
Cynthia Murdoch,Monsieur John,1
Cynthia Murdoch,Monsieur Poirot,1
Denby,Dr. Wilkins,1
Dorcas,Manning,1
Dorcas,Monsieur Lawrence,1
Dr. Bauerstein,Dr. Wilkins,1
Dr. Bauerstein,Mary,1
Dr. Bauerstein,Mr. Alfred Inglethorp,1
Dr. Bauerstein,Styles,1
Elizabeth Wells,Styles,1
Emily,Emily Inglethorpe,1
Emily,Evelyn,1
Emily,Evelyn Howard,1
Emily,Mademoiselle Cynthia,1
Emily,Monsieur John,1
Emily,Monsieur John Cavendish,1
Emily,Mrs. Raikes,1
Evelyn,Mademoiselle Cynthia,1
Evelyn,Monsieur John,1
Evelyn,Mrs. Raikes,1
Evelyn,Styles,1
Evelyn,court,1
Evelyn Howard,Mary,1
Evelyn Howard,Monsieur Hastings,1
Evelyn Howard,Monsieur John Cavendish,1
Evelyn Howard,Mrs. Raikes,1
Evelyn Howard,prys,1
Evie,Mr. Alfred Inglethorp,1
Jimmy Japp,Monsieur John,1
Jimmy Japp,james,1
Lady Tadminster,abbotsbury,1
Mademoiselle Cynthia,Mrs. Raikes,1
Manning,Monsieur Poirot,1
Manning,William Earl,1
Manning,yessir,1
Mary,Mrs. Raikes,1
Mary,counsel,1
Mary,court,1
Mary Cavendish,Monsieur John,1
Mary Cavendish,Monsieur Poirot,1
Mary Cavendish,Mr. Alfred Inglethorp,1
Mary Cavendish,counsel,1
Monsieur Hastings,Monsieur Lawrence,1
Monsieur Inglethorp,Mr. Alfred Inglethorp,1
Monsieur John,Mrs. Raikes,1
Monsieur John,Sir Ernest,1
Monsieur John,Styles,1
Monsieur John Cavendish,Mrs. Raikes,1
Monsieur John Cavendish,counsel,1
Monsieur Lawrence,parkson,1
Monsieur Poirot,Sir Ernest,1
Mr. Alfred Inglethorp,Superintendent Summerhaye,1
Mr. Lawrence Cavendish,parkson,1
Styles,William,1
Styles,William Earl,1
