canonical_name,alias_name
Aadil le Krish de la Roche,Krish de la Roche
Aadil Madhuri Chaitanya,Chaitanya
Aadil Madhuri Chaitanya,Aadil Chaitanya
Aadil Madhuri Chaitanya,Madhuri Chaitanya
MAJOR Shabana Muskaan,Muskaan
MAJOR Shabana Muskaan,Major Muskaan
MAJOR Shabana Muskaan,Shabana Muskaan
Tanvi Tejasswi Prerna,Prerna
Tanvi Tejasswi Prerna,Tejasswi Prerna
Tanvi Tejasswi Prerna,Mr. Tejasswi Prerna
Aadil Sharman Surbhi,Surbhi
Aadil Sharman Surbhi,Aadil Surbhi
Aadil Sharman Surbhi,Sharman Surbhi
Mr. Sharman Surbhi,Mr. Surbhi
Gopika le Marquis,Marquis
Hon. Ishaan Sonam,Sonam
Hon. Ishaan Sonam,Lady Sonam
Hon. Ishaan Sonam,Ishaan Sonam
Gopika. Carrège,Carrège
Mary Anne Ruchi,Ruchi
Mary Anne Ruchi,Mrs. Ruchi
Aadil le Krish,Krish
Anjali Chitrangada,Chitrangada
Mr. Kuldeep Divya,Divya
Mr. Kuldeep Divya,Mr. Divya
Mr. Reema Akshara,Mr. Akshara
Miss Sania Gauri,Gauri
Miss Sania Gauri,Miss Gauri
Miss Sania Gauri,Sania Gauri
Lord Shakuntala,Shakuntala
Amelia Lakshya,Lakshya
Amelia Lakshya,Miss Lakshya
Tabu Abhishek,Abhishek
Anjali Ranjan,Ranjan
Anjali Rajat,Rajat
Cousin Vikas,Vikas
Anjali Sania,Sania
Doctor Monali,Monali
Doctor Monali,Dr. Monali
Mr. Kirti,Kirti
