node,is_victim,pagerank,victim_connection_weight,degree,strength
Aadil,0,0.03730670296753823,1,23,117.0
Aadil Madhuri Chaitanya,0,0.06118492994772672,0,27,181.0
Aadil Rajat,0,0.0076572421361127616,0,5,21.0
Aadil Sharman Surbhi,0,0.05362737932092879,24,26,185.0
Aadil Tejasswi Prerna,0,0.0460671155508976,3,32,137.0
Abhay,0,0.0033834161129132033,0,1,1.0
Akanksha,0,0.0028386657126326835,0,3,4.0
Akshay,0,0.007308487119004973,0,5,15.0
Anaya,0,0.0020011491144349544,0,1,1.0
Anil,0,0.011235955056179775,0,1,1.0
Anil Esha,0,0.011235955056179775,0,1,1.0
Anjali,0,0.022816680327317974,0,17,66.0
Anjali Chitrangada,0,0.01523121279675592,1,25,41.0
Anjali Gauri,0,0.0032495972220601375,0,3,5.0
Anjali Rajat,0,0.016655775363181132,1,26,50.0
Anjali Ranjan,0,0.0066605692756783715,0,6,17.0
Anjali Sania,0,0.04837546997023829,1,32,127.0
Aparna,0,0.011235955056179775,0,1,1.0
Asha,0,0.007431089202572398,1,19,19.0
Asha Rajat,0,0.007431089202572398,1,19,19.0
Bhumi,0,0.001989887899394022,0,1,1.0
Chiranjeevi,0,0.005076395391947097,0,5,7.0
Chiranjeevi Bandita,0,0.002621287712368168,0,2,2.0
Dharmendra,0,0.004394239871294369,0,2,3.0
Dhruv,0,0.0034281262513333076,0,2,2.0
Disha,0,0.003011260429618706,0,2,2.0
Doctor Monali,0,0.0023330187116387853,0,1,2.0
Gopika,0,0.015301043271281792,1,28,42.0
Hema,0,0.008755289658444944,0,2,2.0
Ishaan,0,0.01960735222233128,0,12,49.0
Ishaan Sonam,0,0.0064740207059860635,0,5,15.0
Kajol,0,0.012476287755047185,0,2,3.0
Karan,0,0.0020255228471970773,0,1,1.0
Kiara,0,0.012476287755047185,0,2,3.0
Kiran,0,0.008667431604842795,0,4,4.0
Krish,0,0.02518527817895381,1,19,67.0
Krish Nidhi,0,0.0031385561268800584,1,5,5.0
Leena,0,0.004785834114177217,0,3,4.0
Maanvi,0,0.001972696679087788,0,1,1.0
Madhuri,0,0.015088851600971877,0,9,46.0
Miss Lakshya,0,0.009016255372377832,0,5,11.0
Miss Sania Gauri,0,0.02675660101163572,1,30,66.0
Mithun,0,0.007431089202572398,1,19,19.0
Mr. Kuldeep Divya,0,0.002439678079943476,0,2,2.0
Mrs. Siddharth Ruchi,0,0.0043675329126769205,0,3,6.0
Mukesh,0,0.002009205985032876,0,1,1.0
Navya Rohit,0,0.0026774139814958802,0,2,3.0
Neeraj,0,0.0020299824682445825,0,1,1.0
Neerja,0,0.0035304915322127506,0,1,1.0
Neetu,0,0.011235955056179775,0,1,1.0
Nitin,0,0.0025920037584412905,0,2,3.0
Nushrat,0,0.0035304915322127506,0,1,1.0
Pallavi,0,0.008751384160566046,1,20,23.0
Pallavi Sonam,0,0.0266590889586707,1,25,70.0
Parth,0,0.006285856651831762,0,7,14.0
Pritam,0,0.0060142672170410425,0,4,9.0
Pritam Payal,0,0.0060142672170410425,0,4,9.0
Rajkummar,0,0.011235955056179775,0,1,1.0
Ranjit,0,0.011235955056179775,0,1,1.0
Ranveer,0,0.00591433911300018,0,3,5.0
Ritesh,0,0.015398182947244243,1,21,45.0
Ritesh Prerna,0,0.015398182947244243,1,21,45.0
Ronit,0,0.0030280014214127842,0,3,4.0
Saira Alia,0,0.011235955056179775,0,1,1.0
Sameera,0,0.0022385603541713885,0,2,2.0
Shabana Muskaan,0,0.033671299684062114,2,29,94.0
Shakuntala,0,0.007975443749428577,1,19,21.0
Shalini,0,0.003552009185231951,0,3,3.0
Sharman,0,0.03729787723453768,1,27,122.0
Shikha,0,0.007431089202572398,1,19,19.0
Shilpa,0,0.004581491441746452,0,3,5.0
Shriman,0,0.011235955056179775,0,1,3.0
Shriman Sidharth,0,0.011235955056179775,0,1,3.0
Shruti Sahil,0,0.001989887899394022,0,1,1.0
Tabu Abhishek,0,0.012417067681804981,1,20,29.0
Tabu Roshan,0,0.0020493250267467006,0,1,1.0
Tanisha,0,0.0059905576624199,0,3,3.0
Tanmay,0,0.011235955056179775,0,1,2.0
Tanmay Amol,0,0.011235955056179775,0,1,2.0
Tanvi,0,0.0298845964037672,24,26,95.0
Tanvi Surbhi,1,0.021687351870094927,0,23,72.0
Tanvi Tejasswi Prerna,0,0.0033733907094724413,0,4,6.0
Tushar,0,0.004418751147307292,0,3,7.0
Urmila,0,0.003903127630921867,0,2,3.0
Varun,0,0.0034281262513333076,0,2,2.0
Vikas,0,0.0039566549470399755,0,2,5.0
Vinay,0,0.004785834114177217,0,3,4.0
Vinita Neelam,0,0.011235955056179775,0,1,1.0
Yami,0,0.002656540528303913,0,1,3.0
