character1,character2,count
Regulus,_Regulus Severus_,293
Colin,and,219
Colin,Colin Dennis Seeker,214
Colin,_Regulus Severus_,198
_Regulus Severus_,and,190
Colin Pomona Queenie,and,155
Colin,_Colin Severus_,144
_Colin Severus_,_Regulus Severus_,144
Regulus,and,129
Colin Dennis,Colin Dennis Seeker,116
Colin Bludger,and,106
Colin Dennis Seeker,and,101
Colin,Colin Dennis,94
Dobby Boggart,and,91
_Colin Severus_,and,82
Colin,Colin Pomona Queenie,78
Colin,Regulus,73
Andromeda,Colin,69
Colin Dennis Seeker,_Regulus Severus_,48
Colin Dennis,and,45
Colin,Colin Bludger,44
Dobby Boggart,_Regulus Severus_,42
Colin,Dobby Boggart,40
Colin Dennis Seeker,Regulus,40
Colin Bludger,Colin Dennis Seeker,38
Colin Dennis Seeker,Colin Pomona Queenie,35
Dobby Boggart,_Colin Severus_,30
Riddle,and,30
Colin Bludger,_Regulus Severus_,28
Colin Bludger,Colin Pomona Queenie,25
Andromeda,and,24
Colin Pomona Queenie,_Regulus Severus_,24
Colin Dennis,_Regulus Severus_,23
Colin Bludger,Regulus,22
Colin Bludger,Dobby Boggart,19
Colin Dennis,Colin Pomona Queenie,19
Colin Dennis,Regulus,17
Colin Leta School,and,17
Colin Pomona Queenie,Regulus,17
Dobby Boggart,Regulus,17
Colin Bludger,Colin Dennis,16
Colin Bathilda,and,15
Dobby Grindelwald,and,15
Regulus,_Colin Severus_,15
Black,and,13
Colin,Colin Bathilda,13
Colin Pomona Queenie,Riddle,12
Dobby Pettigrew,and,12
Colin,Riddle,11
Colin,Colin Newt,9
Colin Dennis Seeker,_Colin Severus_,9
Colin Bludger,Teddy,8
Colin Bludger,_Colin Severus_,8
Colin Bathilda,Colin Pomona Queenie,7
Colin Dennis,_Colin Severus_,7
Colin Dennis Seeker,Dobby Boggart,7
Colin Dennis Seeker,Riddle,7
Riddle,_Regulus Severus_,7
Andromeda,Colin Dennis Seeker,6
Andromeda,_Regulus Severus_,6
Colin,Colin Leta School,6
Colin,Dobby Pettigrew,6
Colin Pomona Queenie,Dobby Boggart,6
Colin Pomona Queenie,Dobby Grindelwald,6
Hat,and,6
Andromeda,Colin Pomona Queenie,5
Colin Bludger,Riddle,5
Colin Dennis,Dobby Boggart,5
Colin Dennis,Riddle,5
Colin Dennis Seeker,Howler,5
Colin Pomona Queenie,_Colin Severus_,5
Colin Tonks Weasley,and,5
Teddy,_Regulus Severus_,5
Andromeda,Regulus,4
Andromeda,_Colin Severus_,4
Chaser Severus,_Regulus Severus_,4
Colin,Hat,4
Colin Bathilda,Colin Dennis,4
Colin Bathilda,Colin Dennis Seeker,4
Colin Leta School,Colin Pomona Queenie,4
Colin Leta School,_Regulus Severus_,4
Karkaroff,and,4
Regulus,Riddle,4
Teddy,and,4
Andromeda,Colin 'Binns Child',3
Colin,Colin 'Binns Child',3
Colin,Howler,3
Colin,Teddy,3
Colin Chudley,and,3
Colin Dennis,Hat,3
Colin Dennis,Howler,3
Colin Dennis Seeker,Colin Leta School,3
Colin Dennis Seeker,Hat,3
Colin Leta School,Dobby Grindelwald,3
Colin Leta School,Regulus,3
Colin Newt,and,3
Colin Pomona Queenie,Hat,3
Colin Tonks Weasley,Teddy,3
Andromeda,Colin Bludger,2
Andromeda,Colin Newt,2
Black,Dobby Boggart,2
Chaser Severus,and,2
Colin,Colin Boggart,2
Colin,Colin Chudley,2
Colin,Colin Tonks Weasley,2
Colin,Dobby Grindelwald,2
Colin Bathilda,Hat,2
Colin Bludger,Dobby Grindelwald,2
Colin Boggart,Dobby Boggart,2
Colin Boggart,and,2
Colin Chudley,Colin Pomona Queenie,2
Colin Dennis,Colin Leta School,2
Colin Dennis,Dobby Grindelwald,2
Colin Dennis Seeker,Teddy,2
Colin Leta School,_Colin Severus_,2
Colin Pomona Queenie,Dobby Pettigrew,2
Colin Tonks Weasley,_Colin Severus_,2
Colin Tonks Weasley,_Regulus Severus_,2
Dobby Boggart,Dobby Grindelwald,2
Dobby Boggart,Karkaroff,2
Dobby Grindelwald,_Colin Severus_,2
Dobby Grindelwald,_Regulus Severus_,2
Dobby Pettigrew,_Colin Severus_,2
Dobby Pettigrew,_Regulus Severus_,2
Hat,_Regulus Severus_,2
Howler,and,2
Narcissa,Weasley's,2
Narcissa,and,2
Nimbus Draco,and,2
Regulus,Teddy,2
Teddy,_Colin Severus_,2
Weasley's,and,2
Alley,and,1
Andromeda,Dobby Boggart,1
Black,Colin Pomona Queenie,1
Black,Dobby Grindelwald,1
Chaser Severus,Teddy,1
Colin,Lily,1
Colin,Tina,1
Colin 'Binns Child',Colin Pomona Queenie,1
Colin 'Binns Child',and,1
Colin Bathilda,_Colin Severus_,1
Colin Bathilda,_Regulus Severus_,1
Colin Bludger,Colin Leta School,1
Colin Bludger,Tina,1
Colin Boggart,Colin Pomona Queenie,1
Colin Boggart,Regulus,1
Colin Boggart,_Regulus Severus_,1
Colin Dennis,Teddy,1
Colin Dennis Seeker,Dobby Grindelwald,1
Colin Dennis Seeker,Tina,1
Colin Leta School,Dobby Boggart,1
Colin Leta School,Dobby Pettigrew,1
Colin Leta School,Riddle,1
Colin Leta School,Tina,1
Colin Newt,_Colin Severus_,1
Colin Newt,_Regulus Severus_,1
Colin Pomona Queenie,Niffler Patronus,1
Colin Pomona Queenie,Teddy,1
Crumplehorn Bowtruckle,Dobby Boggart,1
Crumplehorn Bowtruckle,Riddle,1
Crumplehorn Bowtruckle,and,1
Dobby Boggart,Dobby Pettigrew,1
Dobby Boggart,Riddle,1
Dobby Boggart,Tina,1
Dobby Grindelwald,Regulus,1
Dobby Grindelwald,Tina,1
Hat,Howler,1
Hat,Regulus,1
Hat,_Colin Severus_,1
Howler,Regulus,1
Howler,_Regulus Severus_,1
Lily,and,1
Peverell,and,1
Potter,and,1
Regulus,Tina,1
Riddle,_Colin Severus_,1
Tina,_Colin Severus_,1
Tina,_Regulus Severus_,1
Tina,and,1
