char_id,name,story_title
1,Joseph Rouletabille,The Mystery of the Yellow Room
2,Gaston Leroux,The Mystery of the Yellow Room
3,Monsieur Robert Darzac,The Mystery of the Yellow Room
4,Frédéric Larsan,The Mystery of the Yellow Room
5,Mademoiselle Stangerson,The Mystery of the Yellow Room
6,Stangerson,The Mystery of the Yellow Room
7,Professor Stangerson,The Mystery of the Yellow Room
8,Monsieur Stangerson,The Mystery of the Yellow Room
9,Mdlle. Stangerson,The Mystery of the Yellow Room
10,Daddy Jacques,The Mystery of the Yellow Room
11,Monsieur,The Mystery of the Yellow Room
12,Mademoiselle,The Mystery of the Yellow Room
13,Bernier,The Mystery of the Yellow Room
14,Louis Moustier,The Mystery of the Yellow Room
15,Monsieur de Marquet,The Mystery of the Yellow Room
16,Mother Angenoux,The Mystery of the Yellow Room
17,Rouletabille,The Mystery of the Yellow Room
18,Joseph Josephine,The Mystery of the Yellow Room
19,Sainclair,The Mystery of the Yellow Room
20,Robert Darzac,The Mystery of the Yellow Room
21,Maître Barbet Delatour,The Mystery of the Yellow Room
22,Monsieur Maleine,The Mystery of the Yellow Room
23,Monsieur de Maleine,The Mystery of the Yellow Room
24,Castigat Ridendo,The Mystery of the Yellow Room
25,my friend,The Mystery of the Yellow Room
26,Monsieur Rouletabille,The Mystery of the Yellow Room
27,Philip le Bel,The Mystery of the Yellow Room
28,Georges Philibert de Sequigny,The Mystery of the Yellow Room
29,Jean de Belmont,The Mystery of the Yellow Room
30,William Stangerson,The Mystery of the Yellow Room
31,Mathilde Stangerson,The Mystery of the Yellow Room
32,Monsieur Fred,The Mystery of the Yellow Room
33,Larsan,The Mystery of the Yellow Room
34,Monsieur Sainclair,The Mystery of the Yellow Room
35,Monsieur Darzac,The Mystery of the Yellow Room
36,Monsieur Robert,The Mystery of the Yellow Room
37,Monsieur Jacques,The Mystery of the Yellow Room
38,My friend,The Mystery of the Yellow Room
39,A,The Mystery of the Yellow Room
40,Q,The Mystery of the Yellow Room
41,M. Stangerson,The Mystery of the Yellow Room
42,Reporter,The Mystery of the Yellow Room
43,Fred,The Mystery of the Yellow Room
44,Monsieur Frédéric Larsan,The Mystery of the Yellow Room
45,Mathieu,The Mystery of the Yellow Room
46,Daddy Mathieu,The Mystery of the Yellow Room
47,Madame Mathieu,The Mystery of the Yellow Room
48,Madame Angenoux,The Mystery of the Yellow Room
49,Chief of the Sûreté,The Mystery of the Yellow Room
50,The Registrar,The Mystery of the Yellow Room
51,Madame Bernier,The Mystery of the Yellow Room
52,Monsieur Dax,The Mystery of the Yellow Room
53,Professor (no first name mentioned),The Mystery of the Yellow Room
54,Chief of the Sûreté (no first name mentioned),The Mystery of the Yellow Room
55,my child,The Mystery of the Yellow Room
56,Monsieur Joseph Rouletabille,The Mystery of the Yellow Room
57,Chief,The Mystery of the Yellow Room
58,the astonishing boy-journalist,The Mystery of the Yellow Room
59,the illustrious professor,The Mystery of the Yellow Room
60,M. A. T. H. S. N.,The Mystery of the Yellow Room
61,Mathilde,The Mystery of the Yellow Room
62,Jacques,The Mystery of the Yellow Room
63,Robert,The Mystery of the Yellow Room
64,Monsieur Cassette,The Mystery of the Yellow Room
65,Darzac,The Mystery of the Yellow Room
66,Mr. Arthur W Darzac,The Mystery of the Yellow Room
67,Mr. Arthur William Rance,The Mystery of the Yellow Room
68,Mr. Rance,The Mystery of the Yellow Room
69,Professor,The Mystery of the Yellow Room
70,I,The Mystery of the Yellow Room
71,the concierge,The Mystery of the Yellow Room
72,my young friend,The Mystery of the Yellow Room
73,Sylvia,The Mystery of the Yellow Room
74,Bête du bon Dieu,The Mystery of the Yellow Room
75,The man (of The Yellow Room),The Mystery of the Yellow Room
76,Arthur Rance,The Mystery of the Yellow Room
77,Mr. Arthur W. Rance,The Mystery of the Yellow Room
78,Monsieur Larsan,The Mystery of the Yellow Room
79,Mr. Arthur Rance,The Mystery of the Yellow Room
80,ille,The Mystery of the Yellow Room
81,Daddy Bernier,The Mystery of the Yellow Room
82,Frédé,The Mystery of the Yellow Room
83,Monsieur Robert Darzac's,The Mystery of the Yellow Room
84,de Marquet,The Mystery of the Yellow Room
85,Rance,The Mystery of the Yellow Room
86,Monsieur de Rocouz,The Mystery of the Yellow Room
87,the two Berniers,The Mystery of the Yellow Room
88,the two nurses,The Mystery of the Yellow Room
89,the steward,The Mystery of the Yellow Room
90,the employé of the Paris Post Office,The Mystery of the Yellow Room
91,the railway employé from Epinay,The Mystery of the Yellow Room
92,Maître Henri Robert,The Mystery of the Yellow Room
93,Maître André Hesse,The Mystery of the Yellow Room
94,President,The Mystery of the Yellow Room
95,Maître Robert,The Mystery of the Yellow Room
96,Monsieur President,The Mystery of the Yellow Room
97,Monsieur le Président,The Mystery of the Yellow Room
98,Ballmeyer,The Mystery of the Yellow Room
99,Henri Robert,The Mystery of the Yellow Room
100,Darcz,The Mystery of the Yellow Room
101,Myself,The Mystery of the Yellow Room
102,Jean Roussel,The Mystery of the Yellow Room
103,Monsieur Jean Rouletabille,The Mystery of the Yellow Room
104,Monsieur Ballmeyer,The Mystery of the Yellow Room
105,Joseph Roulet,The Mystery of the Yellow Room
106,Arthur William Rance,The Mystery of the Yellow Room
107,Monsieur Marquet,The Mystery of the Yellow Room
108,Frédérick Larsan,The Mystery of the Yellow Room
