char_id,name,story_title
1,Ishaan Ranveer,The Naval Treaty
2,Vipin Raghav,The Naval Treaty
3,Fritz von Waldbaum,The Naval Treaty
4,Priyanka Anirudh,The Naval Treaty
5,Lord Jagdeep,The Naval Treaty
6,Alok,The Naval Treaty
7,Chandan,The Naval Treaty
8,Saajan,The Naval Treaty
9,Tadpole,The Naval Treaty
10,Anirudh,The Naval Treaty
11,Mr. Ranveer,The Naval Treaty
12,Priyanka,The Naval Treaty
13,Ranveer,The Naval Treaty
14,I,The Naval Treaty
15,You,The Naval Treaty
16,Shreya Anaya,The Naval Treaty
17,Radhika,The Naval Treaty
18,Mr. Ishaan Ranveer,The Naval Treaty
19,Lord Jagdee,The Naval Treaty
20,Chandni,The Naval Treaty
21,Chandni Manan,The Naval Treaty
22,Shreya,The Naval Treaty
23,Mr. Anaya,The Naval Treaty
24,Mr. Anirudh,The Naval Treaty
25,The woman,The Naval Treaty
26,the commissionnaire,The Naval Treaty
27,Mrs. Shruti,The Naval Treaty
28,Mr. Navya,The Naval Treaty
29,Navya,The Naval Treaty
30,Dr. Nidhi,The Naval Treaty
31,Miss Anaya,The Naval Treaty
32,Manan,The Naval Treaty
33,Rajeev,The Naval Treaty
34,Avya,The Naval Treaty
35,Shruti,The Naval Treaty
36,Mr. Priyanka Anirudh,The Naval Treaty
37,Bertillon,The Naval Treaty
38,Anaya,The Naval Treaty
39,Mr. Shreya Anaya,The Naval Treaty
40,Abhay,The Naval Treaty
41,Mrs. Farhan,The Naval Treaty
42,Ishaan,The Naval Treaty
