character1,character2,count
Miss Anaya,Mr. Shreya Anaya,13
Mr. Priyanka Anirudh,Priyanka,8
Mr. Shreya Anaya,Shreya,8
Ishaan,Mr. Ishaan Ranveer,7
Miss Anaya,Mr. Ishaan Ranveer,4
Mr. Ishaan Ranveer,Mr. Shreya Anaya,4
Mr. Ishaan Ranveer,Mr. Priyanka Anirudh,3
Alok,Chandan,2
Alok,Mr. Ishaan Ranveer,2
Chandan,Mr. Ishaan Ranveer,2
Lord Jagdeep,Mr. Ishaan Ranveer,2
Lord Jagdeep,Saajan,2
Mr. Ishaan Ranveer,Priyanka,2
Alok,Mr. Priyanka Anirudh,1
Chandan,Mr. Shreya Anaya,1
Chandni,Chandni Manan,1
Fritz von Waldbaum,Vipin Raghav,1
Mr. Ishaan Ranveer,Mr. Navya,1
Mr. Priyanka Anirudh,Saajan,1
Mr. Priyanka Anirudh,Tadpole,1
Mr. Shreya Anaya,Priyanka,1
Mr. Shreya Anaya,Radhika,1
Mr. Shreya Anaya,charles,1
Priyanka,Radhika,1
Priyanka,Shreya,1
Radhika,Shreya,1
Saajan,Tadpole,1
Shreya,charles,1
