character1,character2
Mr. Shakuntala,Shubham Salman IN LONDON Gully Tabu
Shubham Salman IN LONDON Gully Tabu,Tabu senior
Mr. Shakuntala,Mr. Manisha Kavita
Mr. Manisha Kavita,Shubham Salman IN LONDON Gully Tabu
Mr. Bartholemew Nidhi,Vinita Nidhi
Mr. Bartholemew Nidhi,Mr. Shakuntala
Vinita Nidhi,Mr. Shakuntala
Miss Anjali,Anjali Hina
Miss Anjali,Pankaj Om
Anjali Hina,Pankaj Om
Miss Anjali,Mr. Shakuntala
Miss Anjali,Shubham Salman IN LONDON Gully Tabu
Mr. Shakuntala,Mr. Chaitanya
Miss Anjali,Tanisha Vikas
Mr. Shakuntala,Pankaj Om
Shubham Salman IN LONDON Gully Tabu,Mr. Manisha Kavita
Anjali Hina,Shubham Salman IN LONDON Gully Tabu
Anjali Hina,Mr. Shakuntala
Miss Anjali,Mr. Manisha Kavita
Shubham Salman IN LONDON Gully Tabu,Mr. Chaitanya
Tanisha Vikas,Pankaj Om
Anil Taapsee,Shubham Salman IN LONDON Gully Tabu
Mr. Bartholemew Nidhi,Pankaj Om
Vinita Nidhi,Pankaj Om
Anjali Hina,Mr. Kriti Siddharth
Miss Anjali,Alok Mohanlal
Shubham Salman IN LONDON Gully Tabu,Mr. Shakuntala
Shubham Salman IN LONDON Gully Tabu,Alok Mohanlal
Mr. Shakuntala,Alok Mohanlal
Alok Mohanlal,Mr. Chaitanya
Shubham Salman IN LONDON Gully Tabu,Mr. Kriti Siddharth
Miss Anjali,Mr. Kriti Siddharth
Aishwarya--Prerna Aishwarya,Anjali Hina
Aishwarya--Prerna Aishwarya,Mr. Kriti Siddharth
Miss Anjali,Aishwarya--Prerna Aishwarya
Anjali Hina,Aishwarya--Prerna Aishwarya
Aishwarya--Prerna Aishwarya,Tanisha Vikas
Anjali Hina,Tanisha Vikas
Aishwarya--Prerna Aishwarya,Mr. Shakuntala
Captain Swara,Mr. Manisha Kavita
Aishwarya--Prerna Aishwarya,Miss Anjali
Anjali Hina,Miss Anjali
Mr. Shakuntala,Mr. Kriti Siddharth
Miss Anjali,Miss Asin
Mr. Manisha Kavita,Alok Mohanlal
Aishwarya--Prerna Aishwarya,Miss Asin
Aishwarya--Prerna Aishwarya,Shubham Salman IN LONDON Gully Tabu
Mr. Shakuntala,Tabu senior
Tabu senior,Shubham Salman IN LONDON Gully Tabu
Miss Anjali,Mr. Chaitanya
Miss Anjali,Vinita Nidhi
Miss Anjali,Mr. Bartholemew Nidhi
Vinita Nidhi,Mr. Bartholemew Nidhi
Mrs. Sameera,Mr. Shakuntala
Anil Taapsee,Mr. Shakuntala
Anil Taapsee,Mrs. Sameera
Anil Taapsee,Alok Mohanlal
Mrs. Sameera,Alok Mohanlal
Lord Vidya Gauri,Lord Vidya
Lord Vidya Gauri,Mr. Manisha Kavita
Lord Vidya,Mr. Manisha Kavita
Mr. Kriti Siddharth,Mr. Manisha Kavita
Aishwarya--Prerna Aishwarya,Alok Mohanlal
Anjali Hina,Alok Mohanlal
Mr. Kriti Siddharth,Alok Mohanlal
Anjali Hina,Mr. Manisha Kavita
Miss Lara Anaya,Mr. Manisha Kavita
Aishwarya--Prerna Aishwarya,Miss Lara Anaya
Miss Lara Anaya,Mr. Shakuntala
Lord Vidya Gauri,Lady Ranjan Gauri
Lord Vidya Gauri,Lady Ranjan
Lady Ranjan Gauri,Lady Ranjan
Aishwarya--Prerna Aishwarya,Lord Vidya
Miss Lara Anaya,Miss Asin
Aishwarya--Prerna Aishwarya,Lord Vidya Gauri
Aishwarya--Prerna Aishwarya,Mr. Manisha Kavita
Mr. Shakuntala,Lord Vidya
Miss Asin,Lord Vidya
Lord Vidya,Shubham Salman IN LONDON Gully Tabu
Lord Vidya Gauri,Shubham Salman IN LONDON Gully Tabu
Lady Ranjan,Shubham Salman IN LONDON Gully Tabu
Miss Asin,Miss Anjali
Miss Asin,Alok Mohanlal
Miss Asin,Shubham Salman IN LONDON Gully Tabu
Aishwarya--Prerna Aishwarya,Lady Ranjan
Lady Ranjan,Anjali Hina
Pankaj Om,Mr. Kriti Siddharth
Pankaj Om,Alok Mohanlal
Aishwarya--Prerna Aishwarya,Captain Katrina Anushka
Mr. Kriti Siddharth,Captain Katrina Anushka
Captain Katrina Anushka,Alok Mohanlal
Mr. Shakuntala,Aishwarya--Prerna Aishwarya
Mr. Shakuntala,Lord Vidya Gauri
Mr. Shakuntala,Lady Ranjan Gauri
Mr. Shakuntala,Lady Ranjan
Aishwarya--Prerna Aishwarya,Lady Ranjan Gauri
Miss Asin,Mr. Manisha Kavita
Lord Vidya Gauri,Alok Mohanlal
Alok Mohanlal,Captain Katrina Anushka
Pankaj Om,Captain Katrina Anushka
Lady Ranjan,Mr. Manisha Kavita
Mr. Manisha Kavita,Anjali Hina
Mr. Manisha Kavita,Pankaj Om
Mr. Manisha Kavita,Captain Katrina Anushka
Miss Lara Anaya,Pankaj Om
Anil Taapsee,Vinita Nidhi
Anil Taapsee,Mr. Bartholemew Nidhi
Anjali Hina,Captain Katrina Anushka
Alok Mohanlal,Lord Vidya Gauri
Alok Mohanlal,Anjali Hina
Alok Mohanlal,Lady Ranjan Gauri
Alok Mohanlal,Lady Ranjan
Lord Vidya Gauri,Captain Katrina Anushka
Lord Vidya Gauri,Anjali Hina
Captain Katrina Anushka,Anjali Hina
Captain Katrina Anushka,Lady Ranjan Gauri
Captain Katrina Anushka,Lady Ranjan
Anjali Hina,Lady Ranjan Gauri
Anjali Hina,Lady Ranjan
Lady Ranjan Gauri,Captain Katrina Anushka
Lady Ranjan,Captain Katrina Anushka
Miss Lara Anaya,Alok Mohanlal
Miss Lara Anaya,Lord Vidya
Miss Pallavi,Mr. Manisha Kavita
Lord Vidya Gauri,Miss Lara Anaya
Miss Lara Anaya,Miss Anjali
Miss Lara Anaya,Anjali Hina
Miss Asin,Mr. Kriti Siddharth
Mr. Bartholemew Nidhi,Alok Mohanlal
Miss Asin,Anjali Hina
Lady Ranjan,Miss Asin
Mahesh Rohit,Mr. Shakuntala
Captain Katrina Anushka,Miss Asin
Anil Taapsee,Mr. Kriti Siddharth
Mrs. Sameera,Mr. Kriti Siddharth
Miss Anjali,Anil Taapsee
Mr. Ishaan,Shubham Salman IN LONDON Gully Tabu
Mr. Ishaan,Mr. Shakuntala
Mr. Ishaan,Mr. Kriti Siddharth
Mr. Ishaan,Alok Mohanlal
Aishwarya--Prerna Aishwarya,Mr. Ishaan
Anil Taapsee,Anjali Hina
Miss Asin,Mr. Shakuntala
Mr. Shakuntala,Captain Katrina Anushka
Aishwarya--Prerna Aishwarya,Anil Taapsee
Mr. Manisha Kavita,Mr. Kriti Siddharth
Miss Asin,Captain Katrina Anushka
Mahesh Rohit,Aishwarya--Prerna Aishwarya
Alok Mohanlal,Aishwarya--Prerna Aishwarya
Alok Mohanlal,Miss Anjali
Captain Katrina Anushka,Miss Anjali
Pankaj Om,Mr. Manisha Kavita
Miss Anjali,Mrs. Sameera
Anil Taapsee,Lady Ranjan
Anil Taapsee,Miss Asin
