node,is_victim,pagerank,victim_connection_weight,degree,strength
Adam,0,0.0023097411945330916,0,12,26.0
Adams Jett,0,0.0010922346826436114,0,3,3.0
Adams Jett Mckellen,0,0.04302940573480629,1,70,716.0
Adler,0,0.0010858891040581111,0,2,3.0
Anderson,0,0.001192924624752224,0,3,5.0
Astin Olsen,0,0.0014083454147415287,0,2,2.0
Barbra,0,0.0009894405855547538,0,1,1.0
Barlow,0,0.002028320625813932,0,10,21.0
Bartholemew Neeson,0,0.005192189743611119,0,20,69.0
Bean,0,0.001123334212375207,0,3,3.0
Beckinsale,0,0.00150379520488622,0,8,11.0
Bergman,0,0.001134454895744225,0,2,4.0
Bhats,0,0.00625,0,1,2.0
Bhungees,0,0.00625,0,1,2.0
Blige,0,0.0015035173460623424,0,4,4.0
Boomer,0,0.0009894405855547538,0,1,1.0
Brolin,0,0.0013717437115297003,2,6,9.0
Brosnan,0,0.02758727865196994,0,53,457.0
Brosnan Neeson,0,0.0012174361774893285,0,3,5.0
Brosnan O'hara,0,0.003394148898226145,0,17,44.0
Brown,0,0.002902750681426659,0,13,31.0
Burnett,0,0.001491366507806115,0,7,10.0
Cage,0,0.0009894405855547538,0,1,1.0
Caine,0,0.0014585209239797304,0,3,3.0
Cap'n Schumer,0,0.0009942066458086256,0,1,1.0
Captain Hawke,0,0.0009874825113220795,0,1,1.0
Captain Quaid Schumer,0,0.011342183789925296,4,38,170.0
Charles,0,0.000985657554349764,0,1,1.0
Choi,0,0.001725813811476518,0,2,2.0
Christchurch,0,0.004796558685662384,1,25,60.0
Clooney,0,0.0011967314009696237,0,3,5.0
Collette,0,0.0011913335555172235,0,3,5.0
Comte de la Tour,0,0.0010933217566642612,0,1,3.0
Corbin of Thuringia,0,0.001725813811476518,0,2,2.0
Count de la Tour,0,0.0012388529092693303,0,5,6.0
Cyndi,0,0.0012569661502566088,0,1,1.0
Dano,0,0.0010413811711095075,0,1,2.0
Dehaan Brooks,0,0.0010388129619428226,0,2,2.0
DiCaprio Gadot,0,0.024525834972798262,4,52,384.0
Diamonds,0,0.0014505335025835936,0,5,7.0
Diaz Teller,0,0.00625,0,1,1.0
Dickinson,0,0.0055431029621969136,2,29,81.0
Dickinson O'brien,0,0.006501342518955847,2,27,92.0
Dunst,0,0.010454159900380157,12,30,192.0
Elba,0,0.0015626804310903634,0,6,9.0
Elgort,0,0.0033658432630378965,0,17,36.0
Elgort Bailey,0,0.0021821136469332364,0,9,20.0
Elgort Heard,0,0.00877170145910867,0,34,149.0
Elgort Pitt,0,0.0016763478477807557,0,8,12.0
Ferrell,0,0.0011254625598231555,0,2,3.0
Fox Hutton,0,0.001814604393970473,0,3,6.0
Gadot senior,0,0.0026805290784849894,0,7,33.0
Garfunkel Schumer,0,0.0012716747982736182,0,4,6.0
Gere,0,0.006730350452541802,0,22,98.0
Glover,0,0.0037434926115949927,0,20,47.0
Gold,0,0.0031474417965965578,0,15,31.0
Goodman,0,0.010186530253078294,0,33,155.0
Goodman Brooks,0,0.0010960331437510403,0,3,3.0
Granny Gooding,0,0.003141955046039949,0,12,32.0
Grant,0,0.01689686208609043,67,37,322.0
Grant Bening,1,0.012919140038472898,1,28,245.0
Gwynne,0,0.012193574362357086,2,39,200.0
Gwynne Street,0,0.012193574362357086,2,39,200.0
Harris,0,0.0026956971625925284,0,9,27.0
Harris Brooks,0,0.0018642863071159723,0,6,14.0
Inspector Prince,0,0.0024549007399983763,0,9,20.0
Irwin,0,0.002208800640934098,0,9,24.0
Jackman Young,0,0.00144833745615197,0,3,3.0
Jagger,0,0.00104933090595745,0,1,2.0
James,0,0.0017216432175125816,0,2,2.0
Jes,0,0.001160339923684267,0,2,3.0
Johansson,0,0.0012506301628860234,0,4,6.0
Jolie,0,0.0013503144133080384,0,7,8.0
Jonah,0,0.0011412130244377566,0,4,4.0
Jordan Gadot,0,0.0010961811528210428,0,3,3.0
Jordan Tyler,0,0.0018853478960317333,0,9,17.0
Kel,0,0.0009933637381410257,0,1,1.0
Kendrick Bening,0,0.02726503243999847,67,43,526.0
Kendrick Norton,0,0.0016218151967875372,0,7,14.0
Kimmel,0,0.0062037692992838985,0,25,93.0
Knopfler,0,0.002140864158408997,0,7,20.0
Kutcher,0,0.0010359774478721124,0,2,2.0
Lady Tyson,0,0.007286455064609192,19,28,121.0
Lady Tyson Dorsey,1,0.004020562192417651,1,18,57.0
Little Bach,0,0.0015556153757519068,0,2,4.0
Lively,0,0.001401872183360904,0,8,9.0
Londing,0,0.00119377662982672,0,5,5.0
Lord Cummings,0,0.00434841180600785,0,17,60.0
Lord Cummings Dorsey,0,0.007833738337680321,18,31,124.0
McCarthy,0,0.00144833745615197,0,3,3.0
Mckellen Gadot,0,0.0020264817285851246,0,9,21.0
Meryl Parsons,0,0.00625,0,1,1.0
Miss Armstrong,0,0.0015323647852987614,0,5,9.0
Miss Bening,0,0.006546498584000443,0,16,117.0
Miss Garfunkel,0,0.011658988336161875,0,33,196.0
Miss Garfunkel Norton,0,0.035415045365875676,18,54,625.0
Miss Kendrick,0,0.035491807554757414,3,59,630.0
Miss Kimmel O'hara,0,0.007962721112719142,0,33,119.0
Mister Crowe,0,0.000986872376388069,0,1,1.0
Mother,0,0.012101636648674103,1,43,193.0
Mr. Dinklage,0,0.004354016197727407,1,19,53.0
Mr. Pryor Sutherland,0,0.005849541080430768,0,17,93.0
Mr. Rudd Arnold,0,0.013453175370064742,1,41,224.0
Mrs. Dunst Norton,0,0.009897224138980141,12,29,181.0
Nicholson,0,0.0014585209239797304,0,3,3.0
Nick,0,0.0012543117182859892,0,5,6.0
O'dowd,0,0.0010388129619428226,0,2,2.0
Opals,0,0.0017073774205056216,1,8,11.0
Pattinson,0,0.0011492372096429861,0,2,4.0
Plummer,0,0.0010469394517177433,0,2,2.0
Portman,0,0.0011820620543633936,0,2,2.0
Prince Elliott,0,0.0015036064049087367,0,3,6.0
Pryor,0,0.008696622011707116,0,22,130.0
Quaid,0,0.002201341881921774,2,16,23.0
Rapp,0,0.002267341175503261,0,7,25.0
Rapp Devine,0,0.025792109314222947,6,59,421.0
Rock',0,0.0020813940231672167,0,9,22.0
Rourke,0,0.001959285782627582,0,4,4.0
Sir Berry,0,0.0009943663527562756,0,1,1.0
Smith,0,0.0022039273919252688,0,12,22.0
Sutherland--Pryor Sutherland,0,0.02322619644200111,1,39,395.0
Swift Connelly,0,0.0010413811711095075,0,1,2.0
Terry,0,0.0012874229819306805,0,5,5.0
Theron,0,0.0010393033701510549,0,2,2.0
Thuggism,0,0.0011404879401988996,0,4,4.0
Travolta,0,0.0009895739953585832,0,1,1.0
Urban Capshaw,0,0.0009894405855547538,0,1,1.0
Walken,0,0.014076551101880257,1,34,214.0
Walken Neeson,0,0.003315342641083842,0,13,42.0
Wilkie Collins,0,0.0017216432175125816,0,2,2.0
Wilkins Ziegler,0,0.0012409691947395307,0,5,5.0
Winslet,0,0.001199161165976858,0,3,5.0
Woodley,0,0.0021024290122677322,0,8,18.0
Woodley Ice,0,0.002038991328199743,0,7,17.0
a,0,0.1323511118473582,18,116,2166.0
charming,0,0.0018212644447226757,0,8,8.0
commercial,0,0.001397028615399508,0,4,9.0
darling,0,0.003030801947075447,0,9,38.0
don,0,0.024840284152067866,3,51,430.0
englis,0,0.0010566988942532457,0,2,2.0
gad,0,0.0011228842170180992,1,4,4.0
goor,0,0.002254221729655348,0,5,6.0
green,0,0.0014100611660966618,0,5,7.0
hants,0,0.0014791155642851041,1,7,10.0
heaven,0,0.00208783568148419,0,9,14.0
hurd,0,0.0010405261241820778,0,2,2.0
i,0,0.11622768189504637,25,101,2001.0
lor,0,0.0014152094610233776,0,6,7.0
