character1,character2,count
Mr. Arthur,a,155
Miss Potter,a,131
Thestral senior (Fenrir),a,101
Mrs. Wands Andromeda,a,98
Miss Potter,Mr. Arthur,90
Mr. Peeves Seeker,a,90
Mr. Peverell Goblet,a,83
Arthur Thestral,a,77
Fred' (Pettigrew Child),a,70
Fred' (Pettigrew Child),Pettigrew,66
Granger OF GWYNNE STREET,Gwynne,65
a,woman,60
Miss Potter,Thestral senior (Fenrir),56
a,don,56
Fred' (Pettigrew Child),Miss Child,53
Miss Newt Andromeda,Mrs. Wands Andromeda,45
Mrs. Wands Andromeda,Wands,45
Fred' (Pettigrew Child),Mrs. Wands Andromeda,43
Mr. Triwizard Buckbeak,a,37
Pettigrew,a,36
Miss Newt,a,34
Beasts,Thestral senior (Fenrir),33
Miss Hogsmeade Lee,a,30
Mr. Peverell Goblet,Peverell,30
Captain Find Crimes,a,29
Miss Newt,Mrs. Wands Andromeda,29
Beasts,a,28
Mr. Arthur,Thestral senior (Fenrir),28
Captain,Captain Find Crimes,26
Fred' (Pettigrew Child),Miss Potter,26
Potion,a,26
Arthur Thestral,Mr. Arthur,25
Mr. Arthur,Mr. Peverell Goblet,24
Portkey,a,23
Mr. Arthur,don,22
Granger OF GWYNNE STREET,a,21
Gwynne,a,21
Miss Potter,Portkey,21
Arthur Thestral,Miss Potter,20
Mr. Peeves Seeker,Mrs. Wands Andromeda,20
Wizarding,a,20
Mr. Arthur,Mr. Peeves Seeker,19
Wizarding Mandrake,a,19
Arthur Thestral,Thestral senior,17
Captain Find Crimes,Mr. Peeves Seeker,17
Miss Potter,Mrs. Wands Andromeda,17
Mrs. Wands Andromeda,Pettigrew,17
Mrs. Wands Andromeda,woman,17
Beasts,Miss Potter,16
Captain Find Crimes,Mrs. Wands Andromeda,16
Lady Gryffindor,Lord Dennis Minerva,16
Lord Dennis Minerva,a,16
Fred' (Pettigrew Child),Mr. Peeves Seeker,15
Lady Gryffindor,Lady Gryffindor Minerva,15
Lady Gryffindor Minerva,Lord Dennis Minerva,15
Miss Child,a,15
Miss Newt,Miss Newt Andromeda,15
Miss Potter,don,15
Arthur Thestral,Mr. Peverell Goblet,14
Beasts,Mr. Bartholemew Chimaera,14
Fred' (Pettigrew Child),Wands,14
Hogsmeade,a,14
Lady Gryffindor,Mrs. Wands Andromeda,14
Mr. Quibbler,a,14
Mr. Triwizard Buckbeak,Mrs. Wands Andromeda,14
Peverell,a,14
Arthur Thestral,Fred' (Pettigrew Child),13
Arthur Thestral,don,13
Miss Newt,Miss Potter,13
Mr. Arthur,woman,13
Mr. Peeves Seeker,Potion,13
Thug,a,13
Wands,a,13
Wizarding,Wizarding Mandrake,13
a,policeman,13
Beasts,Beasts Chimaera,12
Beasts Chimaera,Mr. Bartholemew Chimaera,12
Fire,a,12
Fred' (Pettigrew Child),Mr. Arthur,12
Lord Dennis Minerva,Mr. Peverell Goblet,12
Mr. Arthur,Pettigrew,12
Mr. Peeves Seeker,don,12
Pettigrew,Wands,12
Arthur Thestral,Mr. Peeves Seeker,11
Granny Witchcraft,a,11
Miss Newt,Thestral senior (Fenrir),11
Mr. Arthur,Mrs. Wands Andromeda,11
Mr. Peeves Seeker,Mr. Triwizard Buckbeak,11
Arthur Thestral,Thestral senior (Fenrir),10
Beasts,don,10
Fred' (Pettigrew Child),Thestral senior (Fenrir),10
Granger OF GWYNNE STREET,Mr. Arthur,10
Gwynne,Mr. Arthur,10
Lord Dennis,a,10
Mr. Arthur,Peverell,10
Mr. Peeves Seeker,Mr. Peverell Goblet,10
Mr. Peverell Goblet,don,10
Mr. Triwizard Buckbeak,Thestral senior (Fenrir),10
Thestral senior (Fenrir),Wizarding Mandrake,10
Thestral senior (Fenrir),don,10
Beasts,Mr. Arthur,9
Fenrir Mandrake,Thestral senior (Fenrir),9
Fenrir Mandrake,Wizarding Mandrake,9
Indian,a,9
Lady Gryffindor,a,9
Lord Dennis,Mr. Peverell Goblet,9
Miss Newt,Wizarding,9
Mr. Peverell Goblet,Mrs. Wands Andromeda,9
a,master,9
Captain Find Crimes,Fire,8
Captain Find Crimes,Mr. Triwizard Buckbeak,8
Fred' (Pettigrew Child),Potter Child,8
Hogsmeade,Mr. Peverell Goblet,8
Miss Newt Andromeda,a,8
Miss Potter,Mr. Triwizard Buckbeak,8
Miss Potter,Pettigrew,8
Miss Potter,Potter Child,8
Mr. Peeves Seeker,woman,8
Mr. Peverell Goblet,Riddle,8
Mrs. Wands Andromeda,don,8
Ah,a,7
Beasts,Potion,7
Beasts,master,7
Captain Find Crimes,Lady Gryffindor,7
Fred' (Pettigrew Child),Mr. Peverell Goblet,7
Hogsmeade,Miss Hogsmeade Lee,7
Miss Hogsmeade Lee,Mr. Peverell Goblet,7
Miss Newt,Mr. Peeves Seeker,7
Mr. Arthur,Mr. Triwizard Buckbeak,7
Mr. Arthur,Thestral senior,7
Mr. Arthur,darling,7
Mr. Triwizard Buckbeak,Potion,7
Mrs. Wands Andromeda,Potion,7
Par,a,7
Thestral senior (Fenrir),master,7
don,woman,7
Arthur Thestral,Mr. Triwizard Buckbeak,6
Arthur Thestral,Mrs. Wands Andromeda,6
Arthur Thestral,Pettigrew,6
Captain,a,6
Fred' (Pettigrew Child),Lady Gryffindor,6
Fred' (Pettigrew Child),Mr. Triwizard Buckbeak,6
Fred' (Pettigrew Child),don,6
Granger OF GWYNNE STREET,Peverell,6
Granger OF GWYNNE STREET,Thestral senior (Fenrir),6
Gwynne,Peverell,6
Gwynne,Thestral senior (Fenrir),6
Hogsmeade,don,6
Inspector Prince,a,6
Lord Dennis Minerva,don,6
Miss Potter,Wizarding Mandrake,6
Miss Potter,woman,6
Mr. Arthur,Portkey,6
Mr. Bartholemew Chimaera,a,6
Mr. Peeves Seeker,Peeves,6
Mr. Peverell Goblet,Wizarding,6
Mrs. Wands Andromeda,Wizarding,6
Portkey,don,6
Potion,Thestral senior (Fenrir),6
Rubeus,a,6
Rubeus Eileen,a,6
a,darling,6
a,sharp,6
don,master,6
Ah,Mr. Arthur,5
Arthur Thestral,Granger OF GWYNNE STREET,5
Arthur Thestral,Gwynne,5
Arthur Thestral,Miss Newt,5
Arthur Thestral,Potion,5
Beasts,Fred' (Pettigrew Child),5
Captain Find Crimes,Fred' (Pettigrew Child),5
Fire,Mr. Peeves Seeker,5
Fire,Mrs. Wands Andromeda,5
Granger,Granger OF GWYNNE STREET,5
Granger,Gwynne,5
Granger OF GWYNNE STREET,Miss Potter,5
Granger OF GWYNNE STREET,Mr. Peeves Seeker,5
Granger OF GWYNNE STREET,Mr. Peverell Goblet,5
Granger OF GWYNNE STREET,Mrs. Wands Andromeda,5
Gwynne,Miss Potter,5
Gwynne,Mr. Peeves Seeker,5
Gwynne,Mr. Peverell Goblet,5
Gwynne,Mrs. Wands Andromeda,5
Lord Dennis,Lord Dennis Minerva,5
Miss Potter,Mr. Peeves Seeker,5
Miss Potter,darling,5
Mr. Bartholemew Chimaera,Thestral senior (Fenrir),5
Mr. Hat,a,5
Mr. Peeves Seeker,Pettigrew,5
Mr. Peeves Seeker,Thestral senior (Fenrir),5
Mr. Peeves Seeker,Wizarding,5
Pettigrew,Thestral senior (Fenrir),5
Ravenclaw,Ravenclaw Bailey,5
Rubeus,Rubeus Eileen,5
Thestral senior,a,5
Thestral senior (Fenrir),woman,5
Ah,Thestral senior (Fenrir),4
Arthur Thestral,Cattermole,4
Arthur Thestral,Lord Dennis,4
Beasts,Cattermole,4
Beasts,Pettigrew,4
Captain,Captain Find,4
Captain Find Crimes,Mr. Quibbler,4
Captain Find Crimes,Wizarding,4
Fenrir Mandrake,a,4
Fred',a,4
Fred' (Pettigrew Child),Granger OF GWYNNE STREET,4
Fred' (Pettigrew Child),Gwynne,4
Fred' (Pettigrew Child),woman,4
Granger,Mr. Arthur,4
Granger OF GWYNNE STREET,Mr. Triwizard Buckbeak,4
Granny Witchcraft,Mr. Arthur,4
