canonical_name,alias_name
Mr. Bartholemew Tawsey,
Mr. Bartholemew Tawsey,Tawsey
Mr. Bartholemew Tawsey,Mr. Tawsey
Lady Rachel Sandal,
Lady Rachel Sandal,Sandal
Lady Rachel Sandal,Rachel Sandal
Andrew Wainwright,
David Copperfield,
Miss Sylvia Krill,
Miss Sylvia Krill,Krill
Miss Sylvia Krill,Miss Krill
Miss Sylvia Krill,Sylvia Krill
Mrs. Krill/Jessop,
Mrs. Krill/Jessop,Jessop
Mrs. Krill/Jessop,Mrs Jessop
Mrs. Krill/Jessop,Mrs. Jessop
Mr. Lemuel Krill,
Mr. Lemuel Krill,Mr. Krill
Mr. Lemuel Krill,Lemuel Krill
Miss Aurora Qian,
Miss Aurora Qian,Qian
Miss Aurora Qian,MISS QIAN
Miss Aurora Qian,Miss Qian
Miss Aurora Qian,Aurora Qian
Mr. Paul Beecot,
Mr. Paul Beecot,Beecot
Mr. Paul Beecot,Mr. Beecot
Mr. Paul Beecot,Paul Beecot
Mr. Grexon Hay,
Mr. Grexon Hay,Hay
Mr. Grexon Hay,Mr. Hay
Mr. Grexon Hay,Grexon Hay
Mr. Jabez Pash,
Mr. Jabez Pash,PASH
Mr. Jabez Pash,Pash
Mr. Jabez Pash,Mr. Pash
Mr. Jabez Pash,Jabez Pash
Deborah Tawsey,
Deborah Tawsey,Mrs. Tawsey
Lillian Garner,
Lillian Garner,Garner
Mr. Billy Hurd,
Mr. Billy Hurd,Hurd
Mr. Billy Hurd,Mr. Hurd
Mr. Billy Hurd,Billy Hurd
Suzanne Shell,
George Sandal,
Jarvey Jessop,
Sylvia Norman,
Sylvia Norman,Norman
Miss Norman,
Mr. Norman,
Granny Clump,
Master Clump,
Aaron Norman,
Matilda Junk,
Matilda Junk,Miss Junk
Deborah Junk,
Simon Beecot,
Simon Beecot,Mrs Beecot
Simon Beecot,Mrs. Beecot
Simon Beecot,SIMON BEECOT
Julius Cezar,
Anne Beecot,
Granny Purr,
Granny Purr,Purr
Granny Purr,Mrs. Purr
Bart Tawsey,
Fergus Hume,
Maud Jessop,
Becky Sharp,
Henry Wood,
Tilly Junk,
Maud Krill,
Maud Krill,MRS. KRILL
Maud Krill,Mrs. Krill
Anne Tyler,
Paterfamilias,
Frankenstein,
Billingsgate,
Miss Sylvia,
Miss Sylvia,Sylvia
Lady Rachel,
Miss Stably,
Steerforth,
Miss Maud,
Miss Maud,Maud
Mr. Hokar,
Mr. Hokar,Hokar
Gaboriau,
Bhowanee,
Matilder,
Tupounee,
Dulcinea,
Falstaff,
Mr. Ford,
Mr. Ford,Ford
Mr. Paul,
Mr. Paul,PAUL
Mr. Paul,Paul
Matilda,
Lillian,
Goliath,
Sampson,
Jezebel,
Tempest,
Deborah,
Goethe,
Lemuel,
Aurora,
George,
Tinker,
Grexon,
Barty,
Hants,
Debby,
Jacko,
Kalee,
Scott,
Tilly,
Sahib,
Judas,
Aaron,
Billy,
Bart,
Tray,
Lor',
page,
i,
don,
quixote,
heaven,
thackeray,
balzac,
duenna,
god,
old,
baileys,
beatrice,
elizabeth,
unforeseen,
galahad,
jove,
wargrove,
louis,
quatorz,
othello,
joseph,
darling,
sunbeam,
yuss,
trays,
humph,
stowley,
policeman,
green,
herrick,
charming,
hawk,
wittington,
marie,
antoinette,
shakespeare,
gad,
stretchers,
quinze,
meadows,
taylor,
shylock,
hullo,
englis,
goor,
meadow,
zat,
commercial,
dorrit,
pish,
beechill,
bay,
a,
woman,
judson,
