char_id,name,story_title
1,John H. An,The Problem of Thor Bridge
2,Mr. Watson Pinto,The Problem of Thor Bridge
3,Mr. Grace J,The Problem of Thor Bridge
4,Cummings Bates,The Problem of Thor Bridge
5,Pinto,The Problem of Thor Bridge
6,Joyce Persano,The Problem of Thor Bridge
7,An,The Problem of Thor Bridge
8,MR. Watson Pinto,The Problem of Thor Bridge
9,Miss Maria,The Problem of Thor Bridge
10,J. NEIL GIBSON,The Problem of Thor Bridge
11,Watson Pinto,The Problem of Thor Bridge
12,Gibson,The Problem of Thor Bridge
13,Senator Persano,The Problem of Thor Bridge
14,Neil Sherlock,The Problem of Thor Bridge
15,Sherlock,The Problem of Thor Bridge
16,Persano,The Problem of Thor Bridge
17,Phillimore,The Problem of Thor Bridge
18,Mr. Persano,The Problem of Thor Bridge
19,Dunbar Lincoln,The Problem of Thor Bridge
20,Mr. Pinto,The Problem of Thor Bridge
21,Ferguson John,The Problem of Thor Bridge
22,Bluff,The Problem of Thor Bridge
23,Maria,The Problem of Thor Bridge
24,Coventry Marlow,The Problem of Thor Bridge
25,Miss Grace Maria,The Problem of Thor Bridge
26,Gold King,The Problem of Thor Bridge
27,God,The Problem of Thor Bridge
28,Mr. Joyce Persano,The Problem of Thor Bridge
29,Sergeant Isadora,The Problem of Thor Bridge
30,Dr. An,The Problem of Thor Bridge
31,Mrs. Persano,The Problem of Thor Bridge
32,G.,The Problem of Thor Bridge
33,Mr. Holmes James,The Problem of Thor Bridge
34,Mr. James,The Problem of Thor Bridge
