char_id,name,story_title
1,John H. Watson,The Problem of Thor Bridge
2,Mr. Sherlock Holmes,The Problem of Thor Bridge
3,Mr. James Phillimore,The Problem of Thor Bridge
4,Alicia,The Problem of Thor Bridge
5,Isadora Persano,The Problem of Thor Bridge
6,Holmes,The Problem of Thor Bridge
7,Watson,The Problem of Thor Bridge
8,Neil Gibson,The Problem of Thor Bridge
9,Sherlock Holmes,The Problem of Thor Bridge
10,Miss Dunbar,The Problem of Thor Bridge
11,J. NEIL GIBSON,The Problem of Thor Bridge
12,Senator Gibson,The Problem of Thor Bridge
13,Billy,The Problem of Thor Bridge
14,Mr. Marlow Bates,The Problem of Thor Bridge
15,Mr. Holmes,The Problem of Thor Bridge
16,Mr. Bates,The Problem of Thor Bridge
17,Mr. Gibson,The Problem of Thor Bridge
18,Mr. Ferguson,The Problem of Thor Bridge
19,Gibson,The Problem of Thor Bridge
20,Bates,The Problem of Thor Bridge
21,Dunbar,The Problem of Thor Bridge
22,Maria Pinto,The Problem of Thor Bridge
23,The Gold King,The Problem of Thor Bridge
24,Miss Grace Dunbar,The Problem of Thor Bridge
25,Gold King,The Problem of Thor Bridge
26,Coventry,The Problem of Thor Bridge
27,Mr. Neil Gibson,The Problem of Thor Bridge
28,Sergeant Coventry,The Problem of Thor Bridge
29,Joyce Cummings,The Problem of Thor Bridge
30,Mr. Cummings,The Problem of Thor Bridge
31,Cummings,The Problem of Thor Bridge
