char_id,name,story_title
1,Annie R. McGuire,The Riddle of the Purple Emperor
2,Ranjan Imran,The Riddle of the Purple Emperor
3,THOMAS W. HANSHEW,The Riddle of the Purple Emperor
4,Shalu Priyadarshan,The Riddle of the Purple Emperor
5,the Man of Forty Faces,The Riddle of the Purple Emperor
6,Surbhi Tia,The Riddle of the Purple Emperor
7,Lakshya,The Riddle of the Purple Emperor
8,Radhika,The Riddle of the Purple Emperor
9,Sanjeev,The Riddle of the Purple Emperor
10,Detective Sergeants,The Riddle of the Purple Emperor
11,Petrie,The Riddle of the Purple Emperor
12,Constable Roberts,The Riddle of the Purple Emperor
13,Dollops,The Riddle of the Purple Emperor
14,Lady Aditya Pavan,The Riddle of the Purple Emperor
15,Lord Pavan,The Riddle of the Purple Emperor
16,The Honourable Miss Pavan,The Riddle of the Purple Emperor
17,Sir Dhruv Farhan,The Riddle of the Purple Emperor
18,ted,The Riddle of the Purple Emperor
19,Miss Pavan,The Riddle of the Purple Emperor
20,Lady Aditya,The Riddle of the Purple Emperor
21,SIR Dhruv Farhan,The Riddle of the Purple Emperor
22,Hina Mohanlal,The Riddle of the Purple Emperor
23,Lara Mohanlal,The Riddle of the Purple Emperor
24,DOCTOR Anjali,The Riddle of the Purple Emperor
25,Mr. Ranjit Lakshya,The Riddle of the Purple Emperor
26,Prerna' Lumme,The Riddle of the Purple Emperor
27,Karun,The Riddle of the Purple Emperor
28,Hamilton Priyadarshan,The Riddle of the Purple Emperor
29,Priyadarshan,The Riddle of the Purple Emperor
30,Rat of a Cracksman,The Riddle of the Purple Emperor
31,Man of Forty Faces,The Riddle of the Purple Emperor
32,Richa Ramesh,The Riddle of the Purple Emperor
33,Hrithik,The Riddle of the Purple Emperor
34,Baron de Carjorac,The Riddle of the Purple Emperor
35,Lieutenant Hrithik,The Riddle of the Purple Emperor
36,Bhavesh,The Riddle of the Purple Emperor
37,Rohan,The Riddle of the Purple Emperor
38,Richa,The Riddle of the Purple Emperor
39,Miss Pallavi Mohanlal,The Riddle of the Purple Emperor
