canonical_name,alias_name
Lady Margaret Cheyne,
Lady Margaret Cheyne,Cheyne
Lady Margaret Cheyne,Margaret Cheyne
Miss Jennifer Wynne,
Miss Jennifer Wynne,Wynne
Miss Jennifer Wynne,Miss Wynne
Miss Jennifer Wynne,JENNIFER WYNNE
Miss Jennifer Wynne,Jennifer Wynne
Mr. Maverick Narkom,
Mr. Maverick Narkom,Narkom
Mr. Maverick Narkom,Mr Narkom
Mr. Maverick Narkom,Mr. Narkom
Mr. Maverick Narkom,Maverick Narkom
Mr. Maverick Narkom,MR. MAVERICK NARKOM
Mr. George Headland,
Mr. George Headland,Headland
Mr. George Headland,Mr. Headland
Mr. George Headland,George Headland
Sir Horace Wyvern,
Sir Edgar Brenton,
Sir Edgar Brenton,Brenton
Sir Edgar Brenton,Edgar Brenton
Sir Edgar Brenton,SIR EDGAR BRENTON
Miss Ailsa Lorne,
Miss Ailsa Lorne,Miss Lorne
Miss Ailsa Lorne,Ailsa Lorne
Hamilton Cleek,
Hamilton Cleek,Cleek
Hamilton Cleek,Mr. Cleek
Mr. Gunga Dall,
Mr. Gunga Dall,Mr. Dall
Mr. Gunga Dall,Gunga Dall
Jack Robinson,
Mr. Von Henri,
Marion Cheyne,
Marion Cheyne,Miss Cheyne
Edgar Verrall,
Edgar Verrall,Dr. Verrall
Edgar Verrall,DOCTOR VERRALL
Cheyne Cleek,
Cheyne Court,
Don Giovanni,
James Blake,
James Blake,Blake
Sammy Blake,
Bobby Wynne,
Bobby Wynne,BOBBY WYNNE
Dr. Wynne,
Mr. Wynne,
Peggy Wynne,
Sam Blake,
Mary E.,
Superintendent Narkom,
Inspector Headland,
Constable Roberts,
Constable Roberts,Roberts
Professor James,
Professor James,James
Miss Jennifer,
Miss Jennifer,Jennifer
Lady Margaret,
Lady Margaret,Margaret
Mr. Shallcott,
Mr. Shallcott,Shallcott
Lady Brenton,
Mr. Roberts,
Mrs. Malone,
Mr. Coroner,
Mr. Coroner,Coroner
Miss Marion,
Mr. Deland,
Mr. Deland,Deland
Sir Edgar,
Sir Edgar,Edgar
Policeman,
Woodward,
Hammond,
Lennard,
Dollops,
Petrie,
Beland,
Margot,
Graves,
Auntie,
Jenny,
Jimmy,
Peggy,
Bobby,
Aggie,
Timms,
Sammy,
Ailsa,
Jove,
Jack,
John,
Sam,
Jim,
Lor,
Jen,
Meg,
thomas,
hanshew,
cracksman,
lumme,
debrett,
romeo,
juliet,
superintendent,
constable,
shadows,
elise,
hupper,
emperor,
humm,
case,
hampton,
mater,
jock,
beauty,
hullo,
humn,
gawd,
brahma,
clheadland,
gad,
yessir,
shiva,
mother,
