character1,character2
Cousin Fawkes,Miss Fawkes Alastor
Miss Granger Dungbomb,Miss Weasley
Lieutenant Find Sirius,DEAR Voldemort
Miss Weasley,DEAR Voldemort
Mr. Luna Cattermole,Miss Weasley
Cousin Fawkes,DEAR Voldemort
Miss Fawkes Alastor,DEAR Voldemort
A. Hufflepuff,Miss Weasley
Cousin Fawkes,Miss Weasley
Miss Fawkes Alastor,Miss Weasley
Mr. Lee P. Umbridge,Miss Weasley
Mr. Lee P. Umbridge,DEAR Voldemort
Julius Lee,Miss Weasley
Mr. Lee P. Umbridge,Julius Lee
Miss Weasley,Cousin Fawkes
Miss Weasley,Miss Fawkes Alastor
Mrs. Nymphadora Snape,DEAR Voldemort
Aunt Dobby,Miss Janet Pansy
Sister Grindelwald,DEAR Voldemort
Mr. Luna Cattermole,DEAR Voldemort
Julius Lee,DEAR Voldemort
Aunt Dobby,Cousin Fawkes
Aunt Dobby,Miss Fawkes Alastor
Miss Janet Pansy,Miss Weasley
Sir Wizardry Astoria,Sir Wizardry Astoria Express
Sir Wizardry Astoria,Miss Weasley
Sir Wizardry Astoria Express,Miss Weasley
A. Hufflepuff,DEAR Voldemort
A. Hufflepuff,Julius Lee
Sir Wizardry Astoria,Julius Lee
Sir Wizardry Astoria Express,Julius Lee
Miss Janet Pansy,DEAR Voldemort
Mr. Lee P. Umbridge,Sir Wizardry Astoria
Mr. Lee P. Umbridge,Sir Wizardry Astoria Express
Cousin Fawkes,Inspector Ron
Inspector Ron,Miss Fawkes Alastor
Julius Lee,Inspector Ron
Julius Lee,Lieutenant Find Sirius
DEAR Voldemort,Miss Weasley
Julius Lee,Cousin Fawkes
Julius Lee,Miss Fawkes Alastor
Sir Wizardry Astoria,DEAR Voldemort
Sir Wizardry Astoria Express,DEAR Voldemort
Sir Wizardry Astoria,Inspector Ron
Sir Wizardry Astoria Express,Inspector Ron
Julius Lee,Monsieur Draco
Mr. Lee P. Umbridge,Monsieur Draco
Little Pomona,Julius Lee
Cousin Fawkes,Lieutenant Find Sirius
Lieutenant Find Sirius,Miss Fawkes Alastor
A. Hufflepuff,Lieutenant Find Sirius
Julius Lee,Miss Janet Pansy
Sir Wizardry Astoria,Lieutenant Find Sirius
Sir Wizardry Astoria Express,Lieutenant Find Sirius
