character1,character2,count
Miss Vandemeyer,Miss Vandemeyer Monsieur,79
Miss Mephistopheles,Wheeler,30
Mabel,Miss Mephistopheles,21
Mabel,Mr. Mabel Bond,21
Miss Mephistopheles,Sir Ritz,19
Sir Ritz,Sir Ritz Marjorie Lewis,19
Mabel,Sir Ritz,18
Mabel,Wheeler,16
Miss Mephistopheles,Miss Vandemeyer,16
Miss Mephistopheles,something,12
Wheeler,something,11
Mabel,Miss Vandemeyer,8
Number,Wheeler,8
Boris,Miss Mephistopheles,7
Miss Mephistopheles,Mr. Brown Annie,7
Miss Mephistopheles,d,7
Miss Vandemeyer,Wheeler,6
Miss Vandemeyer,d,6
Miss Vandemeyer Monsieur,Wheeler,6
Mr. Wales Kramenin,Sir Fishers Kramenin,6
d,something,6
Amos Monsieur,Miss Vandemeyer Monsieur,5
Boris,Wheeler,5
Chicken,Miss Chicken Conrad,5
Miss Vandemeyer Monsieur,Monsieur Potter,5
Mr. Brown Annie,Number,5
Wheeler,d,5
A. Willie,Wheeler,4
Inspector Napoleon,Mabel,4
Inspector Napoleon,Sir Ritz,4
Lyons,Priors,4
Lyons,Wheeler,4
Mabel,Sir Ritz Marjorie Lewis,4
Mabel,d,4
Mabel,something,4
Miss Vandemeyer Monsieur,Priors,4
Miss Vandemeyer Monsieur,d,4
Mr. Brown Annie,Wheeler,4
Mr. Mabel Bond,Sir Ritz,4
Sir Ritz,Wheeler,4
A. Willie,Miss Mephistopheles,3
Edgar,Mabel,3
Inspector Napoleon,Miss Vandemeyer,3
Inspector Napoleon,Miss Vandemeyer Monsieur,3
Johnnies,Johnnies Cross,3
Johnnies,Ready,3
Mabel,Miss Vandemeyer Monsieur,3
Miss Mephistopheles,Miss Vandemeyer Monsieur,3
Miss Mephistopheles,Mr. Mabel Bond,3
Miss Mephistopheles,Priors,3
Miss Mephistopheles,hall,3
Miss Vandemeyer,Priors,3
Miss Vandemeyer,Sir Ritz,3
Mr. Bradshaw,d,3
Mr. Brown Annie,something,3
Mr. Mabel Bond,Sir Ritz Marjorie Lewis,3
Mr. Mabel Bond,Wheeler,3
Number,d,3
Number,something,3
Sir Fishers Kramenin,Wheeler,3
hall,something,3
A. Willie,Mabel,2
A. Willie,something,2
Amos Monsieur,Miss Vandemeyer,2
Amos Monsieur,d,2
BERESFORD,Wheeler,2
Boris,Dr. Astley,2
Boris,Priors,2
Brown,Mr. Brown Annie,2
Chicken,Miss Mephistopheles,2
Cook,something,2
Danvers,d,2
Dr. Astley,Priors,2
James 14,Lyons,2
Mabel,Monsieur Potter,2
Mabel,Priors,2
Miss Carter,himmel,2
Miss Chicken Conrad,Miss Mephistopheles,2
Miss Mephistopheles,Sir Ritz Marjorie Lewis,2
Miss Vandemeyer,Sir Fishers Kramenin,2
Miss Vandemeyer Monsieur,Sir Fishers Kramenin,2
Miss Vandemeyer Monsieur,Sir Ritz,2
Monsieur Potter,something,2
Priors,d,2
Rita,hall,2
Rita,something,2
Sir Fishers Kramenin,Wheeler Kramenin,2
Sir Ritz,d,2
Sir Ritz,something,2
Wheeler,Wheeler Kramenin,2
Wheeler,y,2
A. Willie,Brown,1
A. Willie,Miss Chicken Conrad,1
A. Willie,Sir Fishers,1
A. Willie,Sir Fishers Kramenin,1
A. Willie,Sir Ritz,1
Adams,Cooper,1
Adams,Grieber,1
Adams,Henry,1
Adams,Miss Vandemeyer,1
Adams,Priors,1
Adams,something,1
Boris,Cook,1
Boris,Johnnies,1
Boris,Mabel,1
Boris,Ready,1
Boris,Westway,1
Boris,hall,1
Bown Greenbank,Wheeler,1
Brown,Mabel,1
Brown,Sir Ritz,1
Chicken,Chicken Amos,1
Chicken,Dr. Astley,1
Cook,Wheeler,1
Cooper,Grieber,1
Cooper,Henry,1
Cooper,Wheeler,1
Danvers,Wheeler,1
Darling,Mabel,1
Dr. Astley,Mabel,1
Dr. Astley,Miss Chicken Conrad,1
Dr. Astley,Sir Ritz,1
Dr. Astley,something,1
Edgar,d,1
Edgerton The,Miss Chicken Conrad,1
Edgerton The,Miss Vandemeyer,1
Edgerton The,Miss Vandemeyer Monsieur,1
Eleanor,Stepanov,1
Eleanor,Wheeler,1
Eleanor,japp,1
Finn,jane,1
Grieber,Henry,1
Inspector Napoleon,Sir Ritz Marjorie Lewis,1
James 14,Monsieur Potter,1
James 14,Wheeler,1
Johnnies,Miss Vandemeyer,1
Johnnies,Miss Vandemeyer Monsieur,1
Johnnies,Number,1
Julius,Miss Vandemeyer,1
Julius,Wheeler,1
Keith Chester,Wheeler,1
Lyons,Miss Vandemeyer Monsieur,1
Lyons,d,1
Lyons,something,1
Mabel,Rita,1
Mabel,Sir Fishers Kramenin,1
Mabel,hullo,1
Mabel,sole,1
Margaret,Miss Vandemeyer,1
Margaret,Miss Vandemeyer Monsieur,1
Miss Chicken Conrad,Sir Fishers,1
Miss Chicken Conrad,Sir Fishers Kramenin,1
Miss Chicken Conrad,something,1
Miss Mephistopheles,Ready,1
Miss Mephistopheles,Rysdale,1
Miss Mephistopheles,Westway,1
Miss Mephistopheles,melba,1
Miss Mephistopheles,y,1
Miss Mephistopheles,yaas,1
Miss Vandemeyer,Mr. Wales Kramenin,1
Miss Vandemeyer,something,1
Miss Vandemeyer,y,1
Miss Vandemeyer Monsieur,Mr. Wales Kramenin,1
Monsieur Potter,Mr. Mabel Bond,1
Mr. Mabel Bond,Peche Ivanovitch,1
Mr. Mabel Bond,Priors,1
Mr. Wales Kramenin,Wheeler,1
Number,Number Ivanovitch,1
Number,Sir Ritz,1
Number,Sir Ritz Marjorie Lewis,1
Priors,something,1
Rita,Wheeler,1
Rita,sole,1
Sir Fishers,Sir Fishers Kramenin,1
Sir Fishers Kramenin,Sir Ritz,1
Sir Fishers Kramenin,Sir Ritz Marjorie Lewis,1
Sir Fishers Kramenin,something,1
Sir Ritz Marjorie Lewis,Wheeler,1
Wheeler,japp,1
christie,d,1
christie,melba,1
d,felix,1
d,melba,1
garnaby,something,1
