node,is_victim,pagerank,victim_connection_weight,degree,strength
A. Niharika,0,0.010788168465234631,0,9,15.0
Abhay,0,0.002840973503678878,0,1,2.0
Amos Dhruv,0,0.0038413265513658488,0,3,5.0
Archdeacon Lavanya,0,0.007062884179112608,0,6,7.0
Ashok,0,0.0028704468379140624,0,2,2.0
Aunt Mansi,0,0.002553011926986739,0,1,1.0
Aunt Shakuntala,0,0.002524648443160677,0,1,2.0
Chaitanya,0,0.0025972422414590164,0,1,1.0
Chandan,0,0.011363636363636364,0,2,2.0
Cousin Shakuntala,0,0.003344751431775899,0,1,4.0
Dharmendra,0,0.007816624204195112,0,3,6.0
Disha,0,0.005817023807363604,0,4,4.0
Dr. Tanushree,0,0.004684395907195369,0,4,5.0
Gauri',0,0.0043523710990725824,0,2,2.0
Genelia Santhosh,0,0.003429691512467354,0,2,2.0
German,0,0.007351080577362741,0,4,7.0
Gladys Mary,0,0.011363636363636364,0,2,2.0
Gopika,0,0.023351302231857947,0,9,50.0
Imran Ranjit,0,0.002840973503678878,0,1,2.0
Inspector Kriti,0,0.0067896705006453345,0,6,12.0
Janet Tia,1,0.017444974323127433,0,10,21.0
Juhi Neetu,0,0.011363636363636364,0,1,1.0
Kalyani Nushrat,0,0.0864259745751913,5,24,151.0
Kareena,0,0.0022727594791121662,0,1,1.0
Kavita,0,0.002940656921743412,0,1,1.0
Lakshya,0,0.017584295546773033,0,9,22.0
Lieutenant Taapsee Sonali,0,0.013662696843035647,0,13,21.0
Little Harsh,0,0.06312383984521985,1,23,113.0
Little Siddharth,0,0.0031929282157645176,0,2,3.0
London,0,0.01340878930406998,1,11,20.0
Maanvi Shakuntala,0,0.06609312356614215,0,17,137.0
Manan,0,0.016841148883311,0,7,18.0
Manan Ivanovitch,0,0.0024998465207960404,0,1,1.0
Manan Something,0,0.0024998465207960404,0,1,1.0
Mansi Tia,0,0.006368267018100023,3,2,6.0
Meher Arjun,0,0.0022727594791121662,0,1,1.0
Miss Rahul Lavanya,0,0.014033316383659098,0,10,16.0
Miss Ravi,0,0.011363636363636364,0,1,3.0
Miss Shakuntala Dhruv,0,0.04985041392222443,0,12,107.0
Miss Tia,0,0.0038228676007761708,3,1,3.0
Mitali Udita,0,0.002640372601440457,0,1,2.0
Monsieur Prithvi,0,0.0046744086500300494,0,4,5.0
Mother,0,0.0056507081321686935,0,2,3.0
Mr. Harsh P. Ramesh,0,0.024221751285923503,0,9,44.0
Mr. Janhvi Akshaye,0,0.014125482648651874,0,4,21.0
Mr. Ramya,0,0.0038594847531183193,0,1,4.0
Nithya Pranav,0,0.00325610331264468,0,3,3.0
Piccadilly Circus,0,0.0024998465207960404,0,1,1.0
Pramod,0,0.011363636363636364,0,2,2.0
Prateek,0,0.015326206299106871,0,9,25.0
R Akshay,0,0.041847898134930554,0,15,86.0
Rahul,0,0.010248344120063221,0,5,10.0
Rahul Sidharth,0,0.0025756494339430154,0,1,1.0
Ranveer,0,0.0021910469259181042,0,1,1.0
Ready Mansi,0,0.010980223334464335,3,7,11.0
Richa,0,0.0033502291283985988,0,2,3.0
Riya,0,0.009865632554588832,0,6,13.0
Rohan,0,0.08690885262384414,2,33,130.0
Rohan BERESFORD,0,0.0022727594791121662,0,1,1.0
Rohan Sonali,0,0.0039469793351428984,0,2,4.0
Ruchika,0,0.007816624204195112,0,3,6.0
Saajan,0,0.0030480573941689074,0,2,2.0
Sameer,0,0.008528411372345274,0,4,7.0
Sir Akshay Gopika Sonakshi,0,0.026101868410563105,0,10,54.0
Sir Sakshi,0,0.005387957153777803,0,5,5.0
Sir Sakshi Sonali,0,0.005387957153777803,0,5,5.0
Sister Hema,0,0.0021910469259181042,0,1,1.0
Sister Madhavan,0,0.007338864798555257,0,3,3.0
Sister Shraddha,0,0.003784157074505871,0,1,1.0
Suman,0,0.011363636363636364,0,1,3.0
Uncle Vishal,0,0.003305644404332291,0,1,1.0
Varun,0,0.009659312906914398,0,5,9.0
Vidya,0,0.002179369422833378,0,1,1.0
Vipin 14,0,0.013846046553183581,0,5,12.0
Vipin Fourteen,0,0.0036693668286652253,0,1,2.0
Vipin One,0,0.007599009576904767,0,1,6.0
astley,0,0.005327571111758431,0,2,4.0
brandy,0,0.0021910469259181042,0,1,1.0
carter,0,0.011363636363636364,0,1,1.0
cook,0,0.0030900527486183178,1,2,2.0
cross,0,0.005109631577003912,0,5,5.0
d,0,0.03232460629419096,1,18,51.0
hall,0,0.004549557162736266,1,3,5.0
melba,0,0.004187389913022045,0,3,3.0
number,0,0.004571601898090277,0,5,6.0
peel,0,0.002115381960206365,0,1,1.0
priors,0,0.005327571111758431,0,2,4.0
sole,0,0.002179369422833378,0,1,1.0
