character1,character2,count
Mr. Barlow Jason,Mr. Irwin,24
Mr. Barlow Jason,Mr. Irwin Jason,24
Mr. Irwin,Mr. Irwin Jason,24
Brother Barlow,Mr. Barlow Jason,9
Burrows,Burrows Capshaw,9
Mr. Ledger Baldwin,Mr. Pryor Woodley,6
Collette,Collette Cobain,5
Miss Cummings Chappelle,Mr. Barlow Jason,5
Burrows,Collette,4
Collette,Murdoch Glover,4
Mr. Pryor Woodley,Taika O'brien,4
Burrows,Collette Cobain,3
Burrows,Murdoch Glover,3
Burrows Capshaw,Collette,3
Burrows Capshaw,Collette Cobain,3
Cummings,Miss Cummings Chappelle,3
Gadot,Mr. Pryor Woodley,3
Mr. Barlow Jason,Mr. Ledger Baldwin,3
Brother Barlow,Gadot,2
Burrows Capshaw,Murdoch Glover,2
Collette,Travolta Elba,2
Collette Cobain,Murdoch Glover,2
Day,Gere,2
Day,Kauffman,2
Dr. Moore,Mr. Ledger Baldwin,2
Gere,Kauffman,2
Gere,Miss Cummings Chappelle,2
Gere,Mr. Barlow Jason,2
Miss Cummings Chappelle,Taika O'brien,2
Mr. Ledger Baldwin,Taika O'brien,2
Bening,Day,1
Burrows,Taika O'brien,1
Burrows Capshaw,Taika O'brien,1
Cage,Palmer,1
Christenson,Elliott,1
Collette,Taika O'brien,1
Collette Cobain,Taika O'brien,1
Collette Cobain,Travolta Elba,1
Corbin Tyrese,Day,1
Corbin Tyrese,Mr. Ledger Baldwin,1
Corbin Tyrese,Wayans,1
D'arcy Penn,Mr. Ledger Baldwin,1
Day,Miss Cummings Chappelle,1
Day,Mr. Barlow Jason,1
Diaz,Mr. Arnold,1
Gadot,Gooding Fox,1
Gadot,Miss Cummings Chappelle,1
Gadot,Mr. Barlow Jason,1
Gadot,Taika O'brien,1
Gere,Teller,1
Gooding Fox,Mr. Pryor Woodley,1
Gooding Fox,Mrs. Giamatti,1
Gooding Young,Miss Cummings Chappelle,1
Kauffman,Travolta Elba,1
Mr. Barlow Jason,Mrs. Giamatti,1
Mr. Barlow Jason,Nixon Jason,1
Mr. Irwin,Mr. Ledger Baldwin,1
Mr. Irwin Jason,Mr. Ledger Baldwin,1
Mr. Ledger Baldwin,Turner Berry,1
Mr. Pryor Woodley,Oldman,1
Mr. Pryor Woodley,Waller,1
Murdoch Glover,Taika O'brien,1
Oldman,Waller,1
