node,is_victim,pagerank,victim_connection_weight,degree,strength
Abdullah,0,0.009146299641579366,0,2,2.0
Brother Thaddeus,0,0.03512966274043865,11,4,27.0
Brown,0,0.0066099856969747545,0,1,1.0
Dost,0,0.012233067838654913,0,3,5.0
Dr. Alison,0,0.00879542888928895,0,3,4.0
God Dawson,0,0.019458759315241644,0,5,10.0
Gregson Goethe,0,0.006391166773049654,0,2,2.0
Hudson,0,0.005143100655021993,0,1,1.0
Jack Villard,0,0.014950107513535829,0,4,7.0
Jim Greathed,0,0.03993713401074176,0,10,24.0
Jonathan Chowdar,0,0.01791703158121293,0,4,9.0
Jones,0,0.008992973413443107,0,1,1.0
Khan,0,0.010412981258345099,0,2,4.0
Lestrade Smith,0,0.0111688882899778,0,3,5.0
Lestrade Wiggins,0,0.005415163453140223,0,1,1.0
Mahomet,0,0.024390243902439025,0,1,1.0
Miss Khan Arthur,0,0.041333210211718534,0,10,20.0
Mordecai,0,0.03158984134120059,0,5,17.0
Mordecai Forrester,0,0.02633157985724402,0,5,14.0
Mr. Cecil,0,0.034192366839635085,0,4,27.0
Mr. Cecil Lal,0,0.08108636857790735,11,10,63.0
Mr. Francois Williams,0,0.04142503032193346,0,9,22.0
Mr. Holmes,0,0.0066099856969747545,0,1,1.0
Mr. Sholto Agra,0,0.09690701612746033,0,10,66.0
Mrs. Abel Atheney,0,0.011459442880160845,0,3,4.0
Nelson,0,0.022270696573124457,1,8,13.0
Rao,0,0.020833945797985684,0,3,6.0
Reade White,0,0.006154668821421176,0,1,2.0
Sahib,0,0.026752847940133398,0,6,12.0
Sholto,0,0.05712780346696102,0,7,42.0
Sir Aurora,0,0.024390243902439025,0,1,1.0
Smiths,0,0.005143100655021993,0,1,1.0
Thaddeus Lal,1,0.032281139337588444,0,4,25.0
This,0,0.13623008717069804,2,23,78.0
Toby,0,0.009146299641579366,0,2,2.0
Tonga Nana,0,0.005143100655021993,0,1,1.0
Wilson Morstan,0,0.012551358656455684,0,2,2.0
hope,0,0.01003485293901939,0,3,3.0
norwood,0,0.006509095626997512,0,2,2.0
small,0,0.012850410981801324,0,3,5.0
watson,0,0.005553511006430953,0,1,1.0
