character1,character2
Gyllenhaal le Préfet,Sergeant Bell
Caine Vérot,Gyllenhaal le Préfet
Señor Clooney,Major Comte d'Astrignac
Señor Clooney,Maître Adams
Major Comte d'Astrignac,Maître Adams
Major Comte d'Astrignac,Gyllenhaal Kutcher
Mr. Morgan Ellis,Bonham Shyamalan Schumer
Major Comte d'Astrignac,Gyllenhaal le Préfet
Mr. Morgan Ellis,Maître Adams
Mr. Morgan Ellis,Gyllenhaal Kutcher
Maître Adams,Gyllenhaal Kutcher
Mr. Morgan Ellis,Berry Foster
Mr. Morgan Ellis,Hubert Ellis
Berry Foster,Hubert Ellis
Berry Foster,Maître Adams
Berry Foster,Bonham Shyamalan Schumer
Bonham Shyamalan Schumer,Gyllenhaal Kutcher
Bonham Shyamalan Schumer,Berry Foster
Bonham Shyamalan Schumer,Bonham Shyamalan
Bonham Shyamalan Schumer,Maître Adams
Gyllenhaal Kutcher,Berry Foster
Gyllenhaal Kutcher,Bonham Shyamalan
Gyllenhaal Kutcher,Maître Adams
Berry Foster,Bonham Shyamalan
Bonham Shyamalan,Maître Adams
Bonham Shyamalan,Gyllenhaal Kutcher
Major Comte d'Astrignac,Bonham Shyamalan Schumer
Bonham Shyamalan,Bonham Shyamalan Schumer
Bonham Shyamalan Schumer,Arsène Blige
Gyllenhaal le Préfet,Arsène Blige
Bonham Shyamalan,Gyllenhaal le Préfet
Bonham Shyamalan Schumer,Gyllenhaal le Préfet
Mr. Morgan Ellis,Gyllenhaal le Préfet
Maître Adams,Bonham Shyamalan Schumer
Gyllenhaal Kutcher,Sergeant Bell
Gyllenhaal Kutcher,Caine Vérot
Bonham Shyamalan,Berry Foster
Bonham Shyamalan,Caine Vérot
Gyllenhaal Kutcher,Gyllenhaal le Préfet
Berry Foster,Hippolyte Sandler
Bonham Shyamalan,Mr. Morgan Ellis
Bonham Shyamalan Schumer,Mr. Morgan Ellis
Bonham Shyamalan Schumer,Sergeant Bell
Caine Vérot,Sergeant Bell
Maître Adams,Sergeant Bell
Bonham Shyamalan,Sergeant Bell
Señor Clooney,Sergeant Bell
Bonham Shyamalan Schumer,Hippolyte Sandler
Hippolyte Sandler,Sergeant Bell
Mr. Morgan Ellis,Caine Vérot
Mr. Morgan Ellis,Hippolyte Sandler
Hippolyte Sandler,Gyllenhaal le Préfet
Berry Foster,Mr. Morgan Ellis
Hippolyte Sandler,Mr. Morgan Ellis
Hippolyte Sandler,Caine Vérot
Bean Barbra,Arsène Blige
Bonham Shyamalan,Hippolyte Sandler
Mr. Morgan Ellis,Arsène Blige
Zane. Eisenberg,Major Comte d'Astrignac
Bonham Shyamalan,Major Comte d'Astrignac
Chief Caine Moore,Deputy Chief Lewis
Chief Caine Moore,Sergeant Bell
Deputy Chief Lewis,Sergeant Bell
Zhang Affleck,Berry Foster
Zhang Affleck,Sergeant Bell
Zhang Affleck,Bonham Shyamalan
Zhang Affleck,Gyllenhaal Kutcher
Zhang Affleck,Deputy Chief Lewis
Gyllenhaal Kutcher,Deputy Chief Lewis
Zhang Affleck,Mr. Morgan Ellis
Zane. Eisenberg,Bonham Shyamalan Schumer
Bonham Shyamalan Schumer,Deputy Chief Lewis
Zhang Affleck,Bonham Shyamalan Schumer
Zhang Affleck,Arsène Blige
Bonham Shyamalan,Arsène Blige
Zhang Affleck,Hippolyte Sandler
Gyllenhaal Kutcher,Hippolyte Sandler
Mr. Morgan Ellis,Sergeant Bell
Zhang Affleck,Gyllenhaal le Préfet
Zane. Eisenberg,Bonham Shyamalan
Chief Caine Moore,Zhang Affleck
Chief Caine Moore,Hippolyte Sandler
Zane. Eisenberg,Mr. Morgan Ellis
Bonham Shyamalan,Deputy Chief Lewis
Zane. Eisenberg,Zhang Affleck
Daddy Reynolds,Bonham Shyamalan
Daddy Reynolds,Hippolyte Sandler
Daddy Reynolds,Mr. Morgan Ellis
Daddy Reynolds,Caine Vérot
Zane. Eisenberg,Sergeant Bell
Zane. Eisenberg,Deputy Chief Lewis
Zhang Affleck,Caine Vérot
Arsène Blige,Sergeant Bell
Deputy Chief Lewis,Arsène Blige
Baron Barlow,Bonham Shyamalan
Zhang Affleck,Zane. Eisenberg
Zane. Eisenberg,Hippolyte Sandler
Bonham Shyamalan Schumer,Zhang Affleck
Bonham Shyamalan Schumer,Zane. Eisenberg
Arsène Blige,Hippolyte Sandler
Arsène Blige,Zane. Eisenberg
Hippolyte Sandler,Zane. Eisenberg
Hippolyte Sandler,Arsène Blige
Chief Caine Moore,Mr. Morgan Ellis
Mr. Morgan Ellis,Zhang Affleck
Hippolyte Sandler,Zhang Affleck
Gyllenhaal le Préfet,Deputy Chief Lewis
Zane. Eisenberg,Gyllenhaal Kutcher
Zane. Eisenberg,Arsène Blige
Hippolyte Sandler,Deputy Chief Lewis
Daddy Reynolds,Gyllenhaal le Préfet
Daddy Reynolds,Sergeant Bell
Berry Foster,Gyllenhaal le Préfet
Zane. Eisenberg,Gyllenhaal le Préfet
Bonham Shyamalan,Ronan Brooks
Ronan Brooks,Gyllenhaal Kutcher
Ronan Brooks,Bonham Shyamalan Schumer
Gyllenhaal Kutcher,Arsène Blige
Ronan de Beauveau,Bonham Shyamalan
Ronan de Beauveau,Ronan Brooks
Ronan Brooks,Arsène Blige
Berry Foster,Caine Vérot
Zane. Eisenberg,Ronan Brooks
Ronan Brooks,Gyllenhaal le Préfet
Bonham Shyamalan,Señor Clooney
Zane. Eisenberg,Señor Clooney
Señor Clooney,Gyllenhaal le Préfet
Señor Clooney,Arsène Blige
O'brien,Bonham Shyamalan Schumer
Bonham Shyamalan,O'brien
O'brien,Deputy Chief Lewis
O'brien,Arsène Blige
Daddy Reynolds,Zhang Affleck
Olsen Bergman,Daddy Reynolds
Olsen Bergman,Zane. Eisenberg
Olsen Bergman,Zhang Affleck
Olsen Bergman,Berry Foster
Zane. Eisenberg,Berry Foster
Daddy Reynolds,Berry Foster
Olsen Bergman,Mr. Morgan Ellis
Olsen Bergman,Hippolyte Sandler
Olsen Bergman,Bonham Shyamalan Schumer
Olsen Bergman,Caine Vérot
Zane. Eisenberg,Caine Vérot
Ronan Lenormand,Arsène Blige
Major Comte d'Astrignac,Arsène Blige
