character1,character2,count
Bonham,Bonham Shyamalan,597
Bonham,Bonham Shyamalan Schumer,107
Heard,Koshy Affleck,107
Heard,Heard Affleck,106
Heard Affleck,Koshy Affleck,106
Cruz,Cruz Eisenberg,92
Cruz,Zane. Eisenberg,92
Cruz Eisenberg,Zane. Eisenberg,92
Costner Sandler,Gadot,80
Costner,Costner Sandler,76
Morgan,Mr. Morgan Ellis,76
Costner Sandler,Gadot Sandler,75
Gadot,Gadot Sandler,75
Gadot,Koshy Affleck,48
Bonham,Sergeant Bell,47
Costner Sandler,Koshy Affleck,46
Bonham Shyamalan,Sergeant Bell,43
Bonham,Gyllenhaal,38
Bonham Shyamalan,Gyllenhaal,35
Costner Sandler,Heard,35
Costner Sandler,Heard Affleck,34
Cruz,Koshy Affleck,32
Gadot,Heard,29
Gadot Sandler,Koshy Affleck,29
Bonham,Cruz,27
Bonham,Bonham Blige,26
Gadot,Heard Affleck,26
Bonham Shyamalan Schumer,Sergeant Bell,22
Bonham,James Lewis,21
Bonham Shyamalan,Bonham Shyamalan Schumer,21
Bonham Shyamalan,Cruz,21
Gadot Sandler,Heard,21
Gadot Sandler,Heard Affleck,21
Costner Sandler,Mr. Morgan Ellis,20
Bonham Blige,Bonham Shyamalan Schumer,19
Bonham,Gyllenhaal Kutcher,18
Bonham Shyamalan,Gyllenhaal Kutcher,18
Costner Sandler,Dunst,18
Gyllenhaal,Sergeant Bell,18
Bonham Shyamalan,James Lewis,17
Cruz,Heard,16
Koshy Affleck,Mr. Morgan Ellis,16
Bonham Blige,Bonham Shyamalan,15
Cruz,Gadot,15
Costner Sandler,Morgan,14
Cruz,Heard Affleck,14
Heard,Mr. Morgan Ellis,14
Bonham,Day,13
Cruz Eisenberg,Koshy Affleck,13
Koshy Affleck,Zane. Eisenberg,13
Bonham,Heard,12
Bonham Shyamalan Schumer,Heard,12
Costner Sandler,Giamatti,12
Heard Affleck,Mr. Morgan Ellis,12
Bonham,Cruz Eisenberg,11
Bonham,Koshy Affleck,11
Bonham,Zane. Eisenberg,11
Bonham Blige,Ronan Brooks,11
Bonham Shyamalan,Day,11
Bonham Shyamalan Schumer,Gyllenhaal,11
Bonham Shyamalan Schumer,Koshy Affleck,11
Costner Sandler,Cruz,11
Gadot,Mr. Morgan Ellis,11
Gyllenhaal Kutcher,Sergeant Bell,11
Bonham Blige,Koshy Affleck,10
Costner,Dunst,10
Costner,Gadot,10
Costner,Mr. Morgan Ellis,10
Heard,Morgan,10
James Lewis,Sergeant Bell,10
Bonham Blige,Cruz,9
Costner Sandler,Ronan,9
Cruz,Gyllenhaal,9
Cruz,Olsen Bergman,9
Cruz Eisenberg,Heard,9
Gyllenhaal,Gyllenhaal Kutcher,9
Heard,Zane. Eisenberg,9
Koshy Affleck,Morgan,9
Bonham,Ronan,8
Bonham Shyamalan,Cruz Eisenberg,8
Bonham Shyamalan,Zane. Eisenberg,8
Bonham Shyamalan Schumer,Day,8
Costner Sandler,Reynolds,8
Cruz,James Lewis,8
Cruz,Sergeant Bell,8
Cruz Eisenberg,Heard Affleck,8
Dunst,Gadot,8
Gadot Sandler,Mr. Morgan Ellis,8
Heard,Sergeant Bell,8
Heard Affleck,Morgan,8
Heard Affleck,Zane. Eisenberg,8
Koshy Foster,Mr. Morgan Ellis,8
Ronan,Sergeant Bell,8
Bonham,Mr. Morgan Ellis,7
Bonham,Ronan Brooks,7
Bonham Blige,Heard,7
Bonham Shyamalan,Heard,7
Bonham Shyamalan,Koshy Affleck,7
Bonham Shyamalan,Ronan,7
Bonham Shyamalan Schumer,Cruz,7
Bonham Shyamalan Schumer,James Lewis,7
Costner,Gadot Sandler,7
Costner,Heard,7
Costner,Morgan,7
Costner Sandler,Cruz Eisenberg,7
Costner Sandler,Dunst Sandler,7
Costner Sandler,Zane. Eisenberg,7
Cruz,Gyllenhaal Kutcher,7
Day,Mr. Morgan Ellis,7
Dunst,Dunst Sandler,7
Dunst,Morgan,7
Dunst,Mr. Morgan Ellis,7
Gadot,Morgan,7
Gyllenhaal,James Lewis,7
Gyllenhaal,Ronan Brooks,7
Koshy,Koshy Foster,7
Berry Foster,Koshy Foster,6
Bonham,Costner Sandler,6
Bonham,Heard Affleck,6
Bonham,Morgan,6
Bonham Shyamalan,Ronan Brooks,6
Bonham Shyamalan Schumer,Gyllenhaal Kutcher,6
Bonham Shyamalan Schumer,Heard Affleck,6
Bonham Shyamalan Schumer,Zane. Eisenberg,6
Costner,Heard Affleck,6
Costner,Koshy Affleck,6
Costner Sandler,Day,6
Costner Sandler,Gyllenhaal,6
Cruz,Mr. Morgan Ellis,6
Dunst,Heard,6
Dunst,Koshy Affleck,6
Gadot Sandler,Morgan,6
Koshy Affleck,Sergeant Bell,6
Adams,Bonham Shyamalan Schumer,5
Black,Bonham,5
Black,Koshy Foster,5
Bonham,Koshy Foster,5
Bonham,O'brien,5
Bonham Blige,Cruz Eisenberg,5
Bonham Blige,Zane. Eisenberg,5
Bonham Shyamalan,O'brien,5
Bonham Shyamalan Schumer,Costner Sandler,5
Bonham Shyamalan Schumer,Depp,5
Bonham Shyamalan Schumer,Mr. Morgan Ellis,5
Bonham Shyamalan Schumer,Ronan,5
Costner,Dunst Sandler,5
Costner Sandler,Koshy Foster,5
Cruz,Gadot Sandler,5
Cruz Eisenberg,James Lewis,5
Dunst,Gadot Sandler,5
Dunst,Heard Affleck,5
Giamatti,Gyllenhaal Kutcher,5
Gyllenhaal,Heard,5
Gyllenhaal,Ronan,5
James Lewis,Zane. Eisenberg,5
Jett Foster,Koshy Foster,5
Koshy,Koshy Affleck,5
Koshy Foster,Morgan,5
