node,is_victim,pagerank,victim_connection_weight,degree,strength
Acker,0,0.002727362729122171,0,3,3.0
Adams,0,0.005870949224755737,3,17,34.0
Adele,0,0.004182314304570721,0,3,6.0
Anderson,0,0.00283409635073752,0,2,2.0
Banks Woodley,0,0.002228243049703382,0,2,4.0
Barlow,0,0.001912801351723264,0,5,5.0
Bassey,0,0.010101010101010102,0,1,1.0
Bean,0,0.0032263747369775096,0,2,4.0
Bean Barbra,0,0.006127430204724675,0,5,10.0
Behar,0,0.010101010101010102,0,1,2.0
Benning,0,0.001663536200424311,0,1,1.0
Berry Foster,0,0.00374888364228912,1,11,19.0
Black,0,0.004230694683585005,1,11,25.0
Black Foster,0,0.00289331939061078,1,7,13.0
Bonham,0,0.08689472580839933,9,40,1026.0
Bonham Blige,0,0.027754106707877226,5,36,159.0
Bonham Cheadle,0,0.0015871498617442265,0,1,1.0
Bonham Shyamalan,0,0.07187240298150376,4,37,866.0
Bonham Shyamalan Schumer,0,0.0314687945873388,6,37,304.0
Bradbury,0,0.00386766277868589,0,3,6.0
Brown,0,0.0031725626078364343,1,16,20.0
Bruce,0,0.010101010101010102,0,1,1.0
Cage,0,0.0028931631476004,0,2,2.0
Campbell Barr,0,0.010101010101010102,0,1,1.0
Charles Dano,0,0.010101010101010102,0,1,1.0
Chief Caine Moore,0,0.0033315453336777794,2,14,21.0
Cobain,0,0.0021537753136169546,0,5,7.0
Connelly,0,0.0016899993669130422,0,1,1.0
Costner,0,0.013338261343805327,17,23,165.0
Costner Sandler,0,0.039522124421724314,95,36,517.0
Criss,0,0.0028931631476004,0,2,2.0
Crowe,0,0.00283409635073752,0,2,2.0
Cruz,0,0.03212964584963748,11,30,409.0
Cruz Eisenberg,0,0.02189234790949004,5,26,282.0
D'Arcy,0,0.002237860136649721,0,1,1.0
Davidson,0,0.010101010101010102,0,2,2.0
Day,0,0.012386715301264981,9,27,92.0
Depp,0,0.00255100620743059,0,5,12.0
Dickinson,0,0.002541915426875188,2,7,11.0
Dorsey,0,0.004182314304570721,0,3,6.0
Dunaway,0,0.0016899993669130422,0,1,1.0
Dunst,0,0.00778405834104483,12,17,89.0
Dunst Sandler,0,0.004670255835274829,8,10,47.0
Elliott,0,0.010101010101010102,0,2,2.0
Gadot,0,0.024982274926031802,86,28,343.0
Gadot Sandler,1,0.019852097213732784,8,22,275.0
Giamatti,0,0.006461906042879397,1,19,52.0
Grant,0,0.0019711677754808,0,5,5.0
Gyllenhaal,0,0.025239379876101517,4,35,200.0
Gyllenhaal Kutcher,0,0.01223449697517145,2,28,108.0
Hall,0,0.0028982163342079733,0,10,17.0
Harrelson,0,0.0016224301803835041,0,1,1.0
Harris,0,0.0016114476623117764,0,1,1.0
Heard,0,0.03392738981113063,35,38,454.0
Heard Affleck,0,0.02865275714403951,33,30,395.0
Hemsworth,0,0.010101010101010102,0,2,2.0
Jackman Plummer,0,0.001663536200424311,0,1,1.0
James,0,0.0016106339632525825,0,1,1.0
James Lewis,0,0.011681703277226936,0,21,104.0
Jett Foster,0,0.0026780187628552762,0,4,9.0
Jordan,0,0.0018177041140819002,0,2,3.0
Kline Pitt,0,0.003819625260271112,0,3,4.0
Kline Pitt Rapp,0,0.002326831272612624,0,1,1.0
Knightley Jagger,0,0.001663536200424311,0,1,1.0
Koshy,0,0.004881909491599596,4,21,35.0
Koshy Affleck,0,0.038598286545370945,45,35,515.0
Koshy Foster,0,0.009788084341570632,8,23,74.0
McGregor,0,0.010101010101010102,0,3,3.0
Mcconaughey,0,0.001603146783617923,0,1,1.0
Meryl,0,0.0025139880137184864,0,8,9.0
Miller,0,0.010101010101010102,0,3,3.0
Morgan,0,0.016562615715142667,82,31,190.0
Mr. Morgan Ellis,1,0.021454631153386517,8,36,250.0
Nicholson,0,0.002375907891646295,0,2,2.0
O'brien,0,0.002559780196018455,0,5,13.0
O'neal Hill,0,0.010101010101010102,0,3,3.0
Olsen Bergman,0,0.004630339974477744,2,18,40.0
Page Tatum,0,0.010101010101010102,0,3,3.0
Paley,0,0.010101010101010102,0,1,2.0
Palmer,0,0.010101010101010102,0,1,2.0
Paltrow,0,0.00386766277868589,0,3,6.0
Penn Clooney,0,0.003701703388008507,0,10,15.0
Pryor,0,0.0042510764855455225,0,4,5.0
Pugh Caplan,0,0.001721402053327549,0,3,3.0
Reynolds,0,0.003978551995848664,2,18,31.0
Ronan,0,0.009548623276640349,4,25,74.0
Ronan Brooks,0,0.009461639754710212,0,13,46.0
Rourke,0,0.010101010101010102,0,1,2.0
Scott,0,0.010101010101010102,0,2,2.0
Sergeant Bell,0,0.02111026168609319,2,30,223.0
Sheen,0,0.004182314304570721,0,3,6.0
Taika,0,0.010101010101010102,0,2,2.0
Thomas,0,0.0016577047709568494,0,2,2.0
Washington,0,0.003032709895991161,0,3,6.0
Winfrey,0,0.010101010101010102,0,2,2.0
Zane,0,0.003569642986837638,1,13,24.0
Zane. Eisenberg,0,0.022392997808982983,5,27,287.0
Zhang,0,0.0027369218504095993,1,9,14.0
Zhang Affleck,0,0.0022991037386028796,0,7,9.0
