node,is_victim,pagerank,victim_connection_weight,degree,strength
Anderson,0,0.0018189162927719441,0,3,3.0
Aniston,0,0.0012828449189788717,0,1,1.0
Auntie,0,0.002007207692479627,0,5,5.0
Austin Moore,0,0.006756756756756757,0,1,1.0
Bar Koshy,0,0.0020160027091835394,0,5,5.0
Barbra,0,0.003523377395438278,0,4,5.0
Barbra Mendes,0,0.001612576378236254,0,1,1.0
Barlow,0,0.006104209554694802,0,8,9.0
Barlow Johansson,0,0.0018930122769442365,0,2,2.0
Barrymore,0,0.0024029275633806833,0,2,3.0
Bellona Club,0,0.0067758027821320085,0,10,21.0
Bening,0,0.006756756756756757,0,1,1.0
Bennett,0,0.006756756756756757,0,1,1.0
Berry Hemsworth,0,0.006756756756756757,0,1,1.0
Blige,0,0.006756756756756757,0,1,1.0
Blythe,0,0.0029794926508924817,0,9,9.0
Bohemian,0,0.002089094220838102,0,2,2.0
Bonham,0,0.002983521439526347,0,3,3.0
Brolin,0,0.0015521763244442297,0,1,2.0
Brown,0,0.002744826900571984,1,4,5.0
Brown Kidman,1,0.0016645003839583967,0,2,2.0
Captain,0,0.009737211677929528,0,18,35.0
Captain Winslet,0,0.023958277406323225,0,22,100.0
Captain Winslet Kidman,0,0.10781722630058761,1,58,497.0
Carrey,0,0.0015856952421544027,0,2,2.0
Charles,0,0.0011978846042387974,0,1,1.0
Collette,0,0.0013058342981911912,0,1,1.0
Colonel,0,0.008858541424702155,0,9,30.0
Colonel Dunst,0,0.007210437814068642,0,5,24.0
Costner,0,0.004218916508157749,0,4,7.0
Costner Sandler,0,0.0037821661771359327,0,4,6.0
Criss,0,0.007246214332658157,0,6,18.0
Criss O'brien,0,0.006692465467179283,0,5,17.0
Crowe,0,0.0031860972875994986,0,6,9.0
Cummins woman,0,0.006756756756756757,0,1,1.0
D'you,0,0.0019998456102998884,0,5,5.0
D. H. Lawrence,0,0.0070149257488580944,0,7,22.0
Death,0,0.012631709130576542,0,18,44.0
Detective-Inspector Devine,0,0.018375042526260245,0,22,56.0
Dookie Wood,0,0.006756756756756757,0,1,1.0
Dorothy Richardson,0,0.006756756756756757,0,1,1.0
Dover Street,0,0.001531758334256711,0,2,2.0
Dr. Deschanel,0,0.0018584372856660395,0,3,3.0
Dr. Irwin,0,0.016745240226239844,0,19,47.0
Elba Moore,0,0.006756756756756757,0,1,1.0
Fanning,0,0.002620877683513476,0,1,2.0
Father Meryl,0,0.0013163638366890447,0,1,1.0
Fortunate,0,0.0018550266476197606,0,2,3.0
Gable,0,0.007064907269860245,0,8,27.0
Gable Tyson,0,0.007317348797920859,0,9,28.0
General,0,0.059206549785812884,0,40,268.0
General Kidman,0,0.04521274499946259,0,31,217.0
