canonical_name,alias_name
Ar_mis_tice Day,
E. B. C. Jones,
Major Shilpa Alok,
Major Shilpa Alok,Alok
Major Shilpa Alok,Mrs. Alok
Major Shilpa Alok,Major Alok
Major Shilpa Alok,Shilpa Alok
DOROTHY L. SAYERS,
Lord Bhumi Swara,
Lord Bhumi Swara,Swara
Lord Bhumi Swara,Bhumi Swara
J. D. Beresford,
D. H. Lawrence,
W. J. Locke,
Detective-Inspector Meenal,
Detective-Inspector Meenal,Meenal
Inspector Meenal,
Mr. Meenal,
Miss Akanksha Tanmay,
Miss Akanksha Tanmay,Tanmay
Miss Akanksha Tanmay,Miss Tanmay
Miss Akanksha Tanmay,Akanksha Tanmay
Henry Disha----Rohit,
Darshan Chitrangada,
Priyanka Tanushree,
Dorothy Richardson,
Miss Mrunal Kavya,
Miss Mrunal Kavya,Kavya
Miss Mrunal Kavya,Miss Kavya
Miss Mrunal Kavya,Mrnal Kavya
Miss Mrunal Kavya,Mrunal Kavya
Jagdeep Siddharth,
Old Tejasswi-face,
Roshan MacStewart,
Roshan MacStewart,MacStewart
Aishwarya Radhika,
Sir Medha Shabana,
Sir Medha Shabana,Shabana
Tin-Tummy Riddhi,
Yashwant Kareena,
General Sonakshi,
General Sonakshi,Sonakshi
Kritika Taapsee,
Kalyani Zeeshan,
Mohanlal Urmila,
Irrfan Sushmita,
Irrfan Sushmita,Sushmita
Akshay Nandita,
Akshay Nandita,Nandita
Mrs. Nandita,
Mr. Nandita,
Colonel Ritesh,
Colonel Ritesh,Ritesh
Ranjan Anushka,
Captain Gaurav,
Captain Gaurav,Gaurav
Portman Square,
Nithya Akshara,
Varsha Prithvi,
Ronak Bhavesh,
Katrina Ruchi,
Cummins woman,
Akshaye Rahul,
Navya Amitabh,
Navya Amitabh,Amitabh
Charu Manisha,
Mr. J. Mukesh,
Mr. J. Mukesh,Mukesh
Mr. J. Mukesh,Mr. Mukesh
Mr. J. Mukesh,Jno. Mukesh
Soumya Riddhi,
Austin Urmila,
Sagar Monali,
Sagar Monali,Monali
Gaurav Robey,
Sharman Esha,
Arjun Kavita,
Shreya Sneha,
Aunt Nushrat,
Rohan Tushar,
Arjun Keshav,
Captain Alok,
General Alok,
Salman Alok,
Gaurav Alok,
Karun Abhay,
Karun Abhay,Abhay
Karun Abhay,Mrs. Abhay
Henry Disha,
Henry Disha,Disha
Henry Disha,Lady Disha
Pooja Ayush,
Rajesh Alia,
Rajesh Alia,Alia
Neerja Neha,
Henry Medha,
Henry Medha,Medha
Henry Medha,Sir Medha
Yash Mahesh,
Bar Shilpa,
Bar Shilpa,Shilpa
Kiran Alok,
Lord Bhumi,
Lord Bhumi,Bhumi
Ravi Manju,
Kajol Juhi,
St. Albans,
Zoya Alia,
Mrunal D.,
M. Divya,
M. Divya,Divya
Ma Abhay,
P. W.,
P. W.,P.W.
Professor Reema,
Mrs. Parvathy,
Mrs. Parvathy,Parvathy
Lady Shabana,
Father Sunny,
Mr. Madhuri,
Mr. Madhuri,Madhuri
Mrs. Anjali,
Mrs. Anjali,Anjali
Maeterlinck,
Mr. Pranav,
Mr. Pranav,Pranav
Mrs. Pavan,
Galsworthy,
Mrs. Krish,
Dr. Udita,
Dr. Udita,Udita
Dr. Gauri,
Dr. Gauri,Gauri
Mr. Karan,
Mr. Karan,Karan
Chaitanya,
Akanksha,
Grainger,
Mr. Amol,
Mr. Amol,Amol
Shraddha,
Santhosh,
-- Kiran,
-- Kiran,Kiran
Vikrant,
Kuldeep,
Juggins,
Guv'nor,
Shalini,
Anirudh,
Meeanal,
Prateek,
Sameera,
Genelia,
Captain,
Hrithik,
Bipasha,
Ranveer,
Shubham,
Muskaan,
General,
Pushkar,
Asha-oh,
Bennett,
Karisma,
Colonel,
Mitali,
Kirana,
Shafaq,
Roland,
Mithun,
Rajesh,
Sarika,
Surbhi,
Salman,
Maanvi,
Neeraj,
Akshay,
Parker,
Mrunal,
Ranjit,
Aditya,
Neelam,
Shruti,
Watson,
Vanity,
Gopika,
Vinita,
Sakshi,
Amrita,
D'you,
Mansi,
Richa,
Karun,
Death,
Kirti,
Mohit,
Tarun,
Rekha,
Major,
Komal,
Ronit,
Ashok,
Aadil,
Harsh,
Javed,
Saira,
Nidhi,
Navya,
Rohan,
Manan,
Naman,
Sahil,
Pooja,
Aamir,
Sagar,
Wells,
Zoya,
Abir,
Dita,
Lara,
Asin,
Hema,
Tabu,
Hina,
Riya,
Lord,
Jno.,
Yash,
Dis,
fleming,
wimsey,
fentiman,
whatsisname,
ormsby,
jerry,
fred,
marchbanks,
sheila,
george,
peter,
penberthy,
mossy,
dick,
challoner,
culyer,
james,
dormer,
wetheridge,
murbles,
bunter,
felicity,
arthur,
robert,
fentimans,
bart,
ann,
dorland,
pritchard,
bach,
parry,
rogers,
matthews,
weston,
briggs,
williamson,
piper,
woodward,
oliver,
steve,
lubbock,
saunders,
cocker,
crickett,
judit,
dougal,
clever,
munns,
charles,
billy,
collins,
swain,
fenton,
fennimore,
hinkins,
cabman,
margaux,
babcock,
hullo,
jove,
marjorie,
phelps,
bobby,
hobart,
schlitzers,
olga,
ulric,
fiennes,
oddenino,
barnwell,
trumps,
postlethwaite,
gatti,
harris,
dickens,
morpheus,
twist,
quarry,
horner,
naomi,
palmer,
cook,
sherlock,
holmes,
daddy,
ghoul,
aristotle,
means,
motive,
salcombe,
hardy,
barton,
sally,
god,
dixon,
mann,
taylor,
glaister,
rushworth,
voronoff,
whittington,
sligo,
yell,
waffles,
newton,
ambrose,
ledbury,
komski,
natasha,
walter,
mitcham,
somebody,
nellie,
armstrong,
william,
nurse,
quain,
rigor,
mortis,
pontius,
pilate,
macbeth,
fire,
joe,
jimmy,
rowe,
primrose,
ronnie,
true,
frobisher,
dykes,
maddison,
le,
queux,
conan,
doyle,
virginia,
woolf,
may,
sinclair,
katherine,
mansfield,
compton,
mackenzie,
storm,
jameson,
louis,
berman,
julian,
huxley,
freeman,
isabel,
ostrander,
edgar,
wallaces,
dante,
milo,
harley,
street,
napoleon,
ethel,
dell,
crippen,
neve,
wallace,
rose,
macaulay,
sauterne,
clerkenwell,
anstruther,
christmas,
