char_id,name,story_title
1,Shriman,Trent's Last Case
2,E.C. Bentley,Trent's Last Case
3,Gilbert,Trent's Last Case
4,Siddharth Vishal,Trent's Last Case
5,Abhay Vikrant,Trent's Last Case
6,Vikrant,Trent's Last Case
7,Ramesh,Trent's Last Case
8,Shubham,Trent's Last Case
9,Urmila,Trent's Last Case
10,Colossus,Trent's Last Case
11,Janhvi Aparna,Trent's Last Case
12,Hahn,Trent's Last Case
13,Howard B. Irrfan,Trent's Last Case
14,Irrfan,Trent's Last Case
15,Arjun,Trent's Last Case
16,Howard B.,Trent's Last Case
17,Muskaan,Trent's Last Case
18,Sir Karun Aditi,Trent's Last Case
19,Mr. Mrunal,Trent's Last Case
20,Calvin Tia,Trent's Last Case
21,Sigsbee Vikrant,Trent's Last Case
22,Shikha,Trent's Last Case
23,Tushar,Trent's Last Case
24,Sir Karun,Trent's Last Case
25,Tia,Trent's Last Case
26,Mrunal,Trent's Last Case
27,Kritika,Trent's Last Case
28,Nushrat,Trent's Last Case
29,Dr Ramesh,Trent's Last Case
30,Mr Kritika,Trent's Last Case
31,Mrs Vikrant,Trent's Last Case
32,Miss Nushrat,Trent's Last Case
33,Mr. Shriman,Trent's Last Case
34,Vipin,Trent's Last Case
35,Mr. Kritika,Trent's Last Case
36,Murat,Trent's Last Case
37,Fleet Street,Trent's Last Case
38,Aditi,Trent's Last Case
39,Bandita,Trent's Last Case
40,Mr. Shikha,Trent's Last Case
41,Sig Vikrant,Trent's Last Case
42,Abhay Vikrant Sir Karun,Trent's Last Case
43,Rajesh Neerja,Trent's Last Case
44,Mr. Neerja,Trent's Last Case
45,Dhruv,Trent's Last Case
46,Neerja,Trent's Last Case
47,Karthik,Trent's Last Case
48,Mrs. Vikrant,Trent's Last Case
49,Kavita Sameera,Trent's Last Case
50,Aditya,Trent's Last Case
51,Simran,Trent's Last Case
52,Kavita Shilpa,Trent's Last Case
53,Kiara Vinita,Trent's Last Case
54,Monali,Trent's Last Case
55,Heaven,Trent's Last Case
56,Shraddha Shriman,Trent's Last Case
57,Asha,Trent's Last Case
58,Hema Maanvi,Trent's Last Case
59,Bhavesh Amol,Trent's Last Case
60,Karun,Trent's Last Case
61,Arvind,Trent's Last Case
62,Mr. Vikrant,Trent's Last Case
63,Mr. Arvind,Trent's Last Case
64,Akshay,Trent's Last Case
65,Scotland Yard,Trent's Last Case
66,Mrs. Inspector Akshay,Trent's Last Case
67,Inspector,Trent's Last Case
68,Mr.,Trent's Last Case
69,Mr. Akshay,Trent's Last Case
70,Harunobu,Trent's Last Case
71,Suman,Trent's Last Case
72,Karisma,Trent's Last Case
73,Mr. Tia,Trent's Last Case
74,Sushmita,Trent's Last Case
75,Lord Reema Asin,Trent's Last Case
76,Dr. Ramesh,Trent's Last Case
77,Inspector Akshay,Trent's Last Case
78,Sameer,Trent's Last Case
79,Célestine,Trent's Last Case
80,monsieur,Trent's Last Case
81,Monsieur Vikrant,Trent's Last Case
82,nglish,Trent's Last Case
83,Abhishek,Trent's Last Case
84,Leena,Trent's Last Case
85,Calvin C. Tia,Trent's Last Case
86,Javed,Trent's Last Case
87,Young Tia,Trent's Last Case
88,Huckleberry Finn,Trent's Last Case
89,Tom Sawyer,Trent's Last Case
90,Rohan,Trent's Last Case
91,Brigham Young,Trent's Last Case
92,Mr Tia,Trent's Last Case
93,Ak,Trent's Last Case
94,Sir Akshaye Taapsee,Trent's Last Case
95,Neha,Trent's Last Case
96,Mr Neerja,Trent's Last Case
97,her,Trent's Last Case
98,the people,Trent's Last Case
99,he,Trent's Last Case
100,Kavita Arvind,Trent's Last Case
101,P.T. Shalini,Trent's Last Case
102,Manderson,Trent's Last Case
103,lain,Trent's Last Case
104,Martin,Trent's Last Case
105,Marlowe,Trent's Last Case
106,Gopika Dharmendra,Trent's Last Case
107,Navya,Trent's Last Case
108,Sohail,Trent's Last Case
109,Shalini,Trent's Last Case
110,H. T. Copper,Trent's Last Case
111,Citizen Manisha,Trent's Last Case
112,General Roshan,Trent's Last Case
113,Aditya Vikrant,Trent's Last Case
114,Briton,Trent's Last Case
115,Jack Arvind,Trent's Last Case
116,She,Trent's Last Case
117,Mrs. Pooja,Trent's Last Case
118,Gully,Trent's Last Case
119,Mr. Calvin Tia,Trent's Last Case
120,Uncle Nitin,Trent's Last Case
121,Jaya,Trent's Last Case
122,Mr. Marlowe,Trent's Last Case
123,Philip Shriman,Trent's Last Case
124,"Faithfully yours,_ Philip Shriman",Trent's Last Case
125,Shraddha,Trent's Last Case
126,Colonel Hrithik,Trent's Last Case
127,Kavya,Trent's Last Case
128,Nikolay Korchagin,Trent's Last Case
129,Dr. Manas,Trent's Last Case
130,Javed Karisma,Trent's Last Case
131,Ruchi,Trent's Last Case
132,Naman,Trent's Last Case
133,Christopher Vinay,Trent's Last Case
134,Anjali,Trent's Last Case
135,Disha,Trent's Last Case
136,Rekha,Trent's Last Case
137,Bishop of Bath,Trent's Last Case
138,Mr. Rekha,Trent's Last Case
139,Mukesh,Trent's Last Case
140,Kareena,Trent's Last Case
141,Kavita Masefield,Trent's Last Case
142,Jessie M'Pherson,Trent's Last Case
143,Rajeev,Trent's Last Case
144,THE END,Trent's Last Case
