canonical_name,alias_name
Mortimer Sanjay Bredon Saira,Saira
Miss Alexandra Katherine Akanksha,Akanksha
Miss Alexandra Katherine Akanksha,Miss Akanksha
Miss Alexandra Katherine Akanksha,K. Akanksha
Miss Alexandra Katherine Akanksha,Alexandra Akanksha
Miss Alexandra Katherine Akanksha,Alexandra K. Akanksha
Lord Ruchika Saira,Ruchika Saira
Pushkar Mrs. Asha,Asha
Detective-Ayush Mithun,Mithun
Detective-Ayush Mithun,Mr. Mithun
Mrs. Chiranjeevi Ruchi,Ruchi
Mrs. Chiranjeevi Ruchi,Mrs. Ruchi
Rev. Sameera Salman,Salman
Rev. Sameera Salman,Sameera Salman
Mrs. Shraddha Suman,Mrs. Suman
Sidharth Shakuntala,Miss Shakuntala
Sir Darshan Manisha,Manisha
Sir Pallavi Aparna,Aparna
Sir Pallavi Aparna,Pallavi Aparna
Miss Chandni Naman,Naman
Miss Chandni Naman,Miss Naman
Miss Chandni Naman,Chandni Naman
Dr. Lakshmi Pavan,Pavan
Dr. Lakshmi Pavan,Dr. Pavan
Mr. Pallavi Naman,Pallavi Naman
Miss Ashok Salman,Miss Salman
Miss Ashok Salman,Ashok Salman
Miss Harsh Akshay,Akshay
Miss Harsh Akshay,Miss Akshay
Miss Harsh Akshay,Harsh Akshay
Miss Gauri Naman,Gauri Naman
Arvind Siddharth,Siddharth
Arvind Siddharth,Mrs. Siddharth
Mr. Vipin Salman,Mr. Salman
Mr. Kiran Swara,Swara
Colonel Lakshya,Lakshya
Madhavan Monali,Monali
Sidharth Sneha,Sneha
Wilkie Tanisha,Tanisha
Nithya Ruchika,Ruchika
Cousin Sameera,Sameera
Cousin Sameera,Rev. Sameera
Farhan Amrita,Amrita
Farhan Amrita,Mrs. Amrita
Rahul Nandita,Nandita
Janhvi Irrfan,Irrfan
Darshan Naman,Mrs. Naman
Bishop Virat,Virat
Major Mrunal,Mrunal
Major Mrunal,Mrs. Mrunal
Thos. Ramya,Ramya
Thos. Ramya,Mr. Ramya
S. Onesimus,Onesimus
Old Aditya,Aditya
Ayush Rani,Rani
J. Varsha,Mrs. Varsha
M. W.,M. W
Superintendent Priyadarshan,Priyadarshan
Mrs. Bipasha,Bipasha
Rev. Darshan,Darshan
Mrs. Kalyani,Kalyani
Miss Chandni,Chandni
Miss Arvind,Arvind
Miss Vinita,Vinita
Mr. Kritika,Kritika
Mr. Kareena,Kareena
Mrs. Shalu,Shalu
Mr. Neelam,Neelam
Mr. Neerja,Neerja
Miss Ronak,Ronak
Miss Rahul,Rahul
Miss Harsh,Harsh
Mr. Simran,Simran
Mr. Vipin,Vipin
Mr. Divya,Divya
Miss Yami,Yami
Miss Jaya,Jaya
Dr Ranbir,Ranbir
Mr. Kriti,Kriti
Mr. Vicky,Vicky
Mr. Alia,Alia
Mrs. G.,Mrs. G
