char_id,name,story_title
1,DOROTHY L. SAYERS,Unnatural Death
2,Saira,Unnatural Death
3,Ruchika,Unnatural Death
4,Mortimer Sanjay Bredon Saira,Unnatural Death
5,Aditi Anushka,Unnatural Death
6,Meenal Tanushree,Unnatural Death
7,Vipin Pooja,Unnatural Death
8,Yami Pooja,Unnatural Death
9,Nithya Ruchika,Unnatural Death
10,Pritam,Unnatural Death
11,Neerja Tanushree,Unnatural Death
12,Gauri,Unnatural Death
13,Karisma,Unnatural Death
14,Sanjay,Unnatural Death
15,Saint-Esha,Unnatural Death
16,Cricket,Unnatural Death
17,Rajkummar,Unnatural Death
18,Disha,Unnatural Death
19,Prithvi,Unnatural Death
20,Dharmendra,Unnatural Death
21,Yash,Unnatural Death
22,Major Somebody,Unnatural Death
23,Darshan Mithun,Unnatural Death
24,Delagardie,Unnatural Death
25,Wimsey,Unnatural Death
26,Darshan,Unnatural Death
27,Tejasswi,Unnatural Death
28,Mrs Tabu,Unnatural Death
29,Dr Ranbir,Unnatural Death
30,Ranbir,Unnatural Death
31,Prince Rohit of Bohemia,Unnatural Death
32,Leena,Unnatural Death
33,Leena-reliant,Unnatural Death
34,Sir Saif Ranveer,Unnatural Death
35,Sir Saif,Unnatural Death
36,the niece,Unnatural Death
37,Kiran,Unnatural Death
38,Ishaan Zoya,Unnatural Death
39,Ayush Rani,Unnatural Death
40,Zeeshan,Unnatural Death
41,Aadil,Unnatural Death
42,Ayush,Unnatural Death
43,Pushkar,Unnatural Death
44,Sidharth,Unnatural Death
45,the old lady,Unnatural Death
46,the other doctor,Unnatural Death
47,Miss So-and-so,Unnatural Death
48,the flighty one who was dismissed,Unnatural Death
49,Mr. Kiran Swara,Unnatural Death
50,Lord Ruchika Saira,Unnatural Death
51,Detective-Ayush Mithun,Unnatural Death
52,Parvathy,Unnatural Death
53,Ed Mithun,Unnatural Death
54,Lord Ruchika,Unnatural Death
55,Mithun,Unnatural Death
56,Bhumi,Unnatural Death
57,Mr. Mithun,Unnatural Death
58,Miss Akanksha,Unnatural Death
59,Hamlet,Unnatural Death
60,Mrs. Meena,Unnatural Death
61,Akanksha,Unnatural Death
62,his lordship,Unnatural Death
63,Mrs. Prerna,Unnatural Death
64,King Vipin V,Unnatural Death
65,Dr. Pavan,Unnatural Death
66,Mrs. Chiranjeevi Ruchi,Unnatural Death
67,Ruchi,Unnatural Death
68,Pavan,Unnatural Death
69,Naman,Unnatural Death
70,Sidharth Shakuntala,Unnatural Death
71,Salman,Unnatural Death
72,Bipasha,Unnatural Death
73,Onesimus,Unnatural Death
74,Whittaker,Unnatural Death
75,Taapsee,Unnatural Death
76,Dawson,Unnatural Death
77,Ruchika Saira,Unnatural Death
78,Gopika Anirudh,Unnatural Death
79,Sanger,Unnatural Death
80,Sir Shalini Payal,Unnatural Death
81,Dr. Lakshmi Pavan,Unnatural Death
82,Miss Salman,Unnatural Death
83,Miss Naman,Unnatural Death
84,Arvind Siddharth,Unnatural Death
85,Rahul Siddharth,Unnatural Death
86,Siddharth,Unnatural Death
87,Arvind,Unnatural Death
88,Rahul,Unnatural Death
89,Gaurav,Unnatural Death
90,Sagar,Unnatural Death
91,Miss Shakuntala,Unnatural Death
92,Swara,Unnatural Death
93,Raghav,Unnatural Death
94,Hudibras,Unnatural Death
95,Miss Jaya,Unnatural Death
96,Leahampton,Unnatural Death
97,Protestantism,Unnatural Death
98,Provoking,Unnatural Death
99,Mrs. Bipasha,Unnatural Death
100,Nelson Avenue,Unnatural Death
101,Fairview,Unnatural Death
102,Wellington Avenue,Unnatural Death
103,Shriman,Unnatural Death
104,Parfitts,Unnatural Death
105,Kalyani,Unnatural Death
106,Tarun,Unnatural Death
107,Jaya,Unnatural Death
108,Mrs. Ruchi,Unnatural Death
109,Mrs. Kalyani,Unnatural Death
110,Gauri Naman,Unnatural Death
111,Aunt,Unnatural Death
112,Mrs. Ruchi's Aunt,Unnatural Death
113,Sneha,Unnatural Death
114,Akshay,Unnatural Death
115,Mrs. Akshay,Unnatural Death
116,S. Onesimus,Unnatural Death
117,Sonakshi,Unnatural Death
118,Miss Akshay,Unnatural Death
119,Shailesh Rekha,Unnatural Death
120,Ksha,Unnatural Death
121,Ravi,Unnatural Death
122,Mansi,Unnatural Death
123,Nitin,Unnatural Death
124,Pettigrew-Robinson,Unnatural Death
125,Ashok Salman,Unnatural Death
126,Simran,Unnatural Death
127,Augustine,Unnatural Death
128,Charu,Unnatural Death
129,Sushmita,Unnatural Death
130,Sir Hrithik Prateek,Unnatural Death
131,Tanisha,Unnatural Death
132,Sir Hrithik,Unnatural Death
133,Ayush Mithun,Unnatural Death
134,Madhavan Monali,Unnatural Death
135,Little Tushar,Unnatural Death
136,Madhavan,Unnatural Death
137,Monali,Unnatural Death
138,Mrs. Krish,Unnatural Death
139,Superintendent Priyadarshan,Unnatural Death
140,Superintendent,Unnatural Death
141,Priyadarshan,Unnatural Death
142,Sunny Varun,Unnatural Death
143,Ramesh,Unnatural Death
144,Shreya,Unnatural Death
145,Vinay,Unnatural Death
146,Rahul Nandita,Unnatural Death
147,Farhan Amrita,Unnatural Death
148,Mr. Simran,Unnatural Death
149,Mrs. Amrita,Unnatural Death
150,Miss Rahul,Unnatural Death
151,Alia Ironsides,Unnatural Death
152,Miss Arvind,Unnatural Death
153,Mrs. G.,Unnatural Death
154,Reema,Unnatural Death
155,Mrs. Nandita,Unnatural Death
156,Mr. Nandita,Unnatural Death
157,Zara,Unnatural Death
158,Alok,Unnatural Death
159,Mrs. Asha,Unnatural Death
160,Riya,Unnatural Death
161,Mrs. Varsha,Unnatural Death
162,Mr. Vicky,Unnatural Death
163,Madam,Unnatural Death
164,Mrs.,Unnatural Death
165,Asha,Unnatural Death
166,Lloyds Bank,Unnatural Death
167,Verry's,Unnatural Death
168,Juhi,Unnatural Death
169,Manan,Unnatural Death
170,Mukesh,Unnatural Death
171,Mrunal,Unnatural Death
172,Vicky,Unnatural Death
173,Major Mrunal,Unnatural Death
174,Mrs. Mrunal,Unnatural Death
175,Madhavan Pearson,Unnatural Death
176,Miss Alexandra Katherine Akanksha,Unnatural Death
