canonical_name,alias_name
Mrs. Marmaduke Murgatroyd,
Mrs. Marmaduke Murgatroyd,Mrs. Murgatroyd
Alexandra Stevensonian,
Alexandra Stevensonian,Stevensonian
Alexandra Stevensonian,Miss Stevensonian
Dr. Edward Pillington,
Dr. Edward Pillington,Pillington
Dr. Edward Pillington,Dr. Pillington
Miss Williams Collins,
Miss Williams Collins,Collins
Miss Williams Collins,Miss Collins
Miss Williams Collins,Williams Collins
Mr. Fletcher Sheridan,
Mr. Fletcher Sheridan,Sheridan
Mr. Fletcher Sheridan,Mr. Sheridan
Miss Lubbock Sheridan,
Miss Lubbock Sheridan,Miss Sheridan
Miss Lubbock Sheridan,Lubbock Sheridan
Miss Piggin Habbakuk,
Miss Piggin Habbakuk,Habbakuk
Miss Piggin Habbakuk,Miss Habbakuk
Miss Piggin Habbakuk,Piggin Habbakuk
Mr. Galahad Freeman,
Mr. Galahad Freeman,Freeman
Miss Wilkie Collins,
Miss Wilkie Collins,Wilkie Collins
Rev. Nippy Sheridan,
Rev. Nippy Sheridan,Nippy Sheridan
Miss Hadrian Marion,
Mr. Raustus Collins,
Mr. Raustus Collins,Raustus Collins
Sir Segrave Andrews,
Sir Segrave Andrews,Andrews
Wordsworth Voltaire,
Towkington Hawkshaw,
Towkington Hawkshaw,Hawkshaw
Mrs. Hawkshaw,
Mr. Hawkshaw,
Mr. Segrave Collins,
Mr. Segrave Collins,Segrave Collins
Sir Raustus Dorcas,
Sir Raustus Dorcas,Dorcas
Sir Lucasta Foxlaw,
Sir Helen Scaramel,
Tredgold Frederick,
Fletcher Voltaire,
Clemence Sheridan,
Sir Harriet James,
Towkington Agatha,
Towkington Agatha,Agatha
Towkington Agatha,Mrs. Agatha
Wilkie Cleveland,
Wilkie Cleveland,Cleveland
Freddy Arbuthnot,
Freddy Arbuthnot,Arbuthnot
Mr. Dumas Elinor,
Mr. Dumas Elinor,Elinor
Markham Sparkler,
Mrs. Sparkler,
Mr. Sparkler,
Lancelot Pearson,
Lancelot Pearson,Pearson
Cousin Williams,
Cousin Williams,Williams
Cousin Williams,Miss Williams
Lancelot Forbes,
Sambo Whittaker,
Sambo Whittaker,Miss Whittaker
Sir Edward Coke,
Sir Edward Coke,Coke
Allcock Forrest,
Dewsby Barbara,
Henry Adolphus,
Hopkins Taylor,
Bull Sheridan,
Cousin Thomas,
Andrew Brandy,
Andrew Brandy,Brandy
Andrew Brandy,Mr. Brandy
Martin Taylor,
Julius Caesar,
Biggers Burke,
Biggers Burke,Burke
Biggers Burke,Mrs. Burke
Siegfried God,
Clara Probyn,
Cousin Nippy,
Cousin Nippy,Nippy
Cousin Nippy,Rev. Nippy
Dove Juliet,
Dove Juliet,Juliet
Dove Juliet,Mr Juliet
Dove Juliet,Mr. Juliet
Agatha Coke,
Agatha Coke,Miss Coke
Parfitt The,
S. Onesimus,
S. Onesimus,Onesimus
Coke Agatha,
Grace Glyn,
Sambo John,
Sambo John,John
Wicked S.,
J.Charles,
J.Charles,Mrs Charles
Csar Peel,
Csar Peel,Peel
S. Csar,
S. Csar,Csar
Superintendent Hallelujah,
Superintendent Hallelujah,Hallelujah
Mr. Simms-Gaythorpe,
Mr. Simms-Gaythorpe,Simmsgaythorpe
Pettigrew-Robinson,
Pettigrew-Robinson,Pettigrewrobinson
Mrs. Shakespeare,
Mr. Saintgeorge,
Mrs. Worplesham,
Mrs. Worplesham,Worplesham
Miss Towkington,
Miss Towkington,Towkington
Miss Wordsworth,
Miss Wordsworth,Wordsworth
Miss Findlater,
Mrs. Mackenzie,
