node,is_victim,pagerank,victim_connection_weight,degree,strength
Agatha Coke,0,0.0020149248553855094,0,4,5.0
Alexandra Stevensonian,0,0.025017886201589793,3,23,130.0
Allcock Forrest,0,0.0023223395697324948,0,5,5.0
Andrew,0,0.0015842327737623594,0,3,4.0
Andrew Brandy,0,0.0035965387290107643,0,7,15.0
Aurora,0,0.0012843705940992758,0,2,2.0
Austin,0,0.005813953488372093,0,1,1.0
Barnabas,0,0.005813953488372093,0,2,2.0
Bearer,0,0.003284797395315098,0,6,9.0
Bertha,0,0.003398558330015057,0,2,9.0
Biggers Burke,0,0.0023932767660289843,0,3,8.0
Bredon,0,0.00397207356744558,0,6,8.0
Budge,0,0.0015985454551330144,0,1,1.0
Bull,0,0.0020037943684255814,0,3,5.0
Bull Sheridan,0,0.0020037943684255814,0,3,5.0
Clara,0,0.005813953488372093,0,1,3.0
Clara Probyn,0,0.005813953488372093,0,1,3.0
Clemence,0,0.004796597011119565,0,11,21.0
Clemence Sheridan,0,0.0032180676302875433,0,6,13.0
Coke Agatha,0,0.010184380222588324,2,15,62.0
Cousin Nippy,0,0.0154796182244559,1,23,69.0
Cousin Thomas,0,0.001043979272531071,0,1,1.0
Cousin Williams,0,0.02417268596511953,10,25,149.0
Csar Peel,0,0.0015847284531674299,0,3,3.0
Delagardie,0,0.001218969242339695,0,2,2.0
Dewsby Barbara,0,0.0010356499116752184,0,1,1.0
Dick,0,0.0012158655218063282,0,1,2.0
Dorrit,0,0.0010356499116752184,0,1,1.0
Dove,0,0.00620837684338917,0,10,28.0
Dove Juliet,0,0.03650195016258044,2,34,193.0
Dr. Crofton,0,0.0012158655218063282,0,1,2.0
Dr. Edward Pillington,0,0.003959220467892424,1,7,19.0
Dumas,0,0.0039735597093633265,0,2,4.0
Edmund,0,0.0015834216654693196,0,3,3.0
Eglamore,0,0.0028641708676023455,0,1,2.0
Epping,0,0.0025634988864301207,0,3,3.0
Esmeralda,0,0.002404408029729724,0,4,6.0
Father Martin,0,0.0010627673076046716,0,1,1.0
Fletcher Voltaire,0,0.0021341049848153278,0,2,2.0
