character1,character2
THOS. Sharman Lord Hrithik Krish,Lord Hrithik
Georgiana Vikrant,Lord Hrithik
Inspector Abhay,Lord Hrithik
Sir Swara Dharmendra,Edward Curzon Dharmendra
Georgiana Vikrant,Queen Aditi Mohanlal
Mervyn Kritika,Lord Hrithik
Mervyn Kritika,Detective Leena
Detective Leena,Queen Aditi Mohanlal
Georgiana Vikrant,Sir Aparna Amol
Georgiana Vikrant,Sir Aparna
Sir Aparna Amol,Sir Aparna
Inspector Abhay,Sir Aparna Amol
Inspector Abhay,Sir Aparna
Inspector Abhay,Detective Leena
Detective Leena,Tanmay Alia
Detective Leena,THOS. Sharman Lord Hrithik Krish
Mervyn Kritika,THOS. Sharman Lord Hrithik Krish
Inspector Abhay,Georgiana Vikrant
Georgiana Vikrant,THOS. Sharman Lord Hrithik Krish
Inspector Abhay,Queen Aditi Mohanlal
Detective Leena,Lord Hrithik
Duchess of Kuldeep,THOS. Sharman Lord Hrithik Krish
Duchess of Kuldeep,Lord Hrithik
Sir Aparna Amol,Lord Hrithik
Mervyn Kritika,Bandita Komal
Mervyn Kritika,Sir Aparna
Bandita Komal,Sir Aparna
Mr. Nidhi,THOS. Sharman Lord Hrithik Krish
Mr. Nidhi,Lord Hrithik
Mr. Nidhi,Detective Leena
Sir Aparna,Sir Aparna Amol
Sir Aparna,Lord Hrithik
Mervyn Kritika,Honourable Lavanya
Mervyn Kritika,Frederick Hema
Honourable Lavanya,Frederick Hema
Detective Leena,Sir Aparna Amol
Detective Leena,Sir Aparna
Honourable Lavanya,Lord Hrithik
Frederick Hema,Lord Hrithik
Honourable Lavanya,THOS. Sharman Lord Hrithik Krish
Mr. Chiranjeevi,Sir Aparna Amol
Mr. Chiranjeevi,Lord Hrithik
Mr. Chiranjeevi,THOS. Sharman Lord Hrithik Krish
Mr. Chiranjeevi,Dowager Duchess
Dowager Duchess,Lord Hrithik
Mr. Chiranjeevi,Mr. Disha
Mr. Disha,Lord Hrithik
Detective Leena,Sharman AND Monali
Detective Leena,Mr. Sharman
Sharman AND Monali,Mr. Sharman
Mr. Sharman,THOS. Sharman Lord Hrithik Krish
Mr. Sharman,Lord Hrithik
Sir Aparna Amol,THOS. Sharman Lord Hrithik Krish
Edward Curzon Dharmendra,Sir Aparna Amol
Edward Curzon Dharmendra,Lord Hrithik
Sharman AND Monali,THOS. Sharman Lord Hrithik Krish
Sharman AND Monali,Lord Hrithik
Inspector Abhay,THOS. Sharman Lord Hrithik Krish
Dowager Duchess,Duchess of Kuldeep
Detective Leena,Dowager Duchess
Detective Leena,Suman Riya
Georgiana Vikrant,Suman Riya
Inspector Abhay,Suman Riya
Shubham Aamir,Darshan Gaurav
Georgiana Vikrant,Shubham Aamir
Georgiana Vikrant,Darshan Gaurav
Shubham Aamir,Suman Riya
Sir Swara Dharmendra,Suman Riya
Suman Riya,Edward Curzon Dharmendra
Meher Genelia,Suman Riya
Meher Genelia,Sir Swara Dharmendra
Meher Genelia,Edward Curzon Dharmendra
Sir Swara Dharmendra,Dowager Duchess
Dowager Duchess,Edward Curzon Dharmendra
Sir Swara Dharmendra,Detective Leena
Detective Leena,Edward Curzon Dharmendra
Lord Hrithik,Dowager Duchess
Lord Hrithik,Duchess of Kuldeep
Mr. Chiranjeevi,Mervyn Kritika
Lord Hrithik,Lady Ronak
Dowager Duchess,Lady Ronak
Lady Ronak,Duchess of Kuldeep
Inspector Abhay,Dowager Duchess
Dowager Duchess,Sir Aparna Amol
Mr. Chiranjeevi,Duchess of Kuldeep
Sir Aparna Amol,Duchess of Kuldeep
Sharman AND Monali,Georgiana Vikrant
Georgiana Vikrant,Mr. Sharman
Edward Curzon Dharmendra,Detective Leena
Georgiana Vikrant,Dowager Duchess
Sir Swara Dharmendra,Prateek Riddhi
Prateek Riddhi,Edward Curzon Dharmendra
_Bunter_,Lord Hrithik
Mr. Keshav,Lord Hrithik
Georgiana Vikrant,Mr. Chiranjeevi
Georgiana Vikrant,Edward Curzon Dharmendra
Mr. Chiranjeevi,Edward Curzon Dharmendra
Mr. Chiranjeevi,Mr. Sharman
Edward Curzon Dharmendra,Mr. Sharman
Edward Curzon Dharmendra,Prateek Riddhi
Edward Curzon Dharmendra,THOS. Sharman Lord Hrithik Krish
Prateek Riddhi,THOS. Sharman Lord Hrithik Krish
Prateek Riddhi,Sir Aparna Amol
Dr. Prithvi,Edward Curzon Dharmendra
Sir Aparna Amol,Detective Leena
Sir Aparna Amol,Dowager Duchess
Detective Leena,Duchess of Kuldeep
Dr. Prithvi,Sir Aparna Amol
Dr. Prithvi,THOS. Sharman Lord Hrithik Krish
Dr. Prithvi,Lord Hrithik
Georgiana Vikrant,Duchess of Kuldeep
